"file","action","publish_year","target_year","from_year","to_path"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\D133D488__23_antlerless_drawing_odds_report.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\D133D488__23_antlerless_drawing_odds_report.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\D527742A__2023 ELK + OTHER BIG GAME.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\D527742A__2023 ELK + OTHER BIG GAME.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\FB56D764__23_dh_odds.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\FB56D764__23_dh_odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\60619D30__22_bg-odds.pdf","moved","2022","2023","2025","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\60619D30__22_bg-odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\AFB9D5C1__23_deer_odds (1).pdf","moved","2023","2024","2025","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\AFB9D5C1__23_deer_odds (1).pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\CA455989__General Season Deer Draw Odds.pdf","manual_review_no_filename_year","","","2025",""
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2025_Hunt_Expo_Draw_Permit_Successful_Applicants.pdf","already_correct","2025","2026","2026","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2025_Hunt_Expo_Draw_Permit_Successful_Applicants.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2025_Hunt_Expo_Draw_Permit_Successful_Applicants_short (2).pdf","already_correct","2025","2026","2026","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2025_Hunt_Expo_Draw_Permit_Successful_Applicants_short (2).pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\24_bg-draw-results.pdf","moved","2024","2025","2026","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\24_bg-draw-results.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2027\pdf\draw_odds\25_antlerless_drawing_odds_report.pdf","moved","2025","2026","2027","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\25_antlerless_drawing_odds_report.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2027\pdf\draw_odds\25_bg-odds.pdf","moved","2025","2026","2027","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\25_bg-odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2027\pdf\draw_odds\5895CB4C__25_youth_dh_odds.pdf","moved","2025","2026","2027","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\5895CB4C__25_youth_dh_odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2027\pdf\draw_odds\82B4290A__25_dh_odds.pdf","moved","2025","2026","2027","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\82B4290A__25_dh_odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2027\pdf\draw_odds\9CF15BD7__25_deer_odds.pdf","moved","2025","2026","2027","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\9CF15BD7__25_deer_odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2027\pdf\draw_odds\CB1425A7__draw_reality_engine.pdf","manual_review_no_filename_year","","","2027",""
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2027\pdf\draw_odds\CB58CE25__25_youth_antlerless_drawing_odds_report.pdf","moved","2025","2026","2027","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\CB58CE25__25_youth_antlerless_drawing_odds_report.pdf"
