filename,final_path,doc_type,doc_type_semantic,publish_year,reported_hunt_year_inferred,model_target_year,target_year_rule,year_mismatch_flag,needs_relocation,recommended_year_folder,recommended_path
0AD0E19F__escalante_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\0AD0E19F__escalante_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\0AD0E19F__escalante_bighorn_2014.pdf
0B284939__baretop_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\0B284939__baretop_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\0B284939__baretop_bighorn_2014.pdf
20175C2A__dirtydevil_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\20175C2A__dirtydevil_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\20175C2A__dirtydevil_bighorn_2014.pdf
3A23A26F__2014_gs_deer_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\3A23A26F__2014_gs_deer_hr.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\3A23A26F__2014_gs_deer_hr.pdf
586D15F7__sheepcreek_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\586D15F7__sheepcreek_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\586D15F7__sheepcreek_bighorn_2014.pdf
5C01A46D__westdaggett_redcanyon_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\5C01A46D__westdaggett_redcanyon_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\5C01A46D__westdaggett_redcanyon_bighorn_2014.pdf
5DAFBD36__southsanjuan_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\5DAFBD36__southsanjuan_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\5DAFBD36__southsanjuan_bighorn_2014.pdf
5E74FC14__avintaquin_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\5E74FC14__avintaquin_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\5E74FC14__avintaquin_bighorn_2014.pdf
62B883FF__2014_all_species_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\62B883FF__2014_all_species_hr.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\62B883FF__2014_all_species_hr.pdf
6A5A0322__northsanjuan_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\6A5A0322__northsanjuan_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\6A5A0322__northsanjuan_bighorn_2014.pdf
6AE90682__sanjuanriver_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\6AE90682__sanjuanriver_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\6AE90682__sanjuanriver_bighorn_2014.pdf
737D4E27__pinevalley_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\737D4E27__pinevalley_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\737D4E27__pinevalley_bighorn_2014.pdf
94140BEF__pilotmtn_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\94140BEF__pilotmtn_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\94140BEF__pilotmtn_bighorn_2014.pdf
9DBED702__2014_antlerless_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\9DBED702__2014_antlerless_hr.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\9DBED702__2014_antlerless_hr.pdf
A5C79130__lasalpotash_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\A5C79130__lasalpotash_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\A5C79130__lasalpotash_bighorn_2014.pdf
A72F6F1C__lockhart_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\A72F6F1C__lockhart_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\A72F6F1C__lockhart_bighorn_2014.pdf
B1FCCFD7__henrys_littlerockies_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\B1FCCFD7__henrys_littlerockies_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\B1FCCFD7__henrys_littlerockies_bighorn_2014.pdf
B41D81A1__newfoundland_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\B41D81A1__newfoundland_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\B41D81A1__newfoundland_bighorn_2014.pdf
D04E792F__2014_bhs_data.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\D04E792F__2014_bhs_data.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\D04E792F__2014_bhs_data.pdf
DB693FA5__goslinmtn_bighorn_2014.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\DB693FA5__goslinmtn_bighorn_2014.pdf,harvest_report,harvest_report,2014,2014,2015,draw_or_harvest_reported_year_plus_one,no,yes,2015,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\DB693FA5__goslinmtn_bighorn_2014.pdf
1592232F__NorthSlopeBaretop_bighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\1592232F__NorthSlopeBaretop_bighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\1592232F__NorthSlopeBaretop_bighorn_2015.pdf
20569E3D__SouthSanRafael_bighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\20569E3D__SouthSanRafael_bighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\20569E3D__SouthSanRafael_bighorn_2015.pdf
23C2211D__2015_antlerless_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\23C2211D__2015_antlerless_hr.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\23C2211D__2015_antlerless_hr.pdf
251794EF__2015_gs_deer_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\251794EF__2015_gs_deer_hr.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\251794EF__2015_gs_deer_hr.pdf
2CB58436__2015_BHS_Data.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\2CB58436__2015_BHS_Data.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\2CB58436__2015_BHS_Data.pdf
4F8E24C8__OquirrhStansburyBighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\4F8E24C8__OquirrhStansburyBighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\4F8E24C8__OquirrhStansburyBighorn_2015.pdf
60DAB81C__NorthSlopeSheepCreek_bighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\60DAB81C__NorthSlopeSheepCreek_bighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\60DAB81C__NorthSlopeSheepCreek_bighorn_2015.pdf
6744AEA9__NorthSanRafael_bighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\6744AEA9__NorthSanRafael_bighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\6744AEA9__NorthSanRafael_bighorn_2015.pdf
8CD72257__WasatchMtnsWest_bighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\8CD72257__WasatchMtnsWest_bighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\8CD72257__WasatchMtnsWest_bighorn_2015.pdf
94CBE76A__CentralMtnsNebo_bighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\94CBE76A__CentralMtnsNebo_bighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\94CBE76A__CentralMtnsNebo_bighorn_2015.pdf
9D3EBB50__Zion_bighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\9D3EBB50__Zion_bighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\9D3EBB50__Zion_bighorn_2015.pdf
9FB2707A__NorthSlopeGoslinMtn_bighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\9FB2707A__NorthSlopeGoslinMtn_bighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\9FB2707A__NorthSlopeGoslinMtn_bighorn_2015.pdf
D8032F87__NorthSlopeRedCanyon_bighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\D8032F87__NorthSlopeRedCanyon_bighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\D8032F87__NorthSlopeRedCanyon_bighorn_2015.pdf
E8CF3BEA__2015_le_oial_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\E8CF3BEA__2015_le_oial_hr.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\E8CF3BEA__2015_le_oial_hr.pdf
EA6B4005__KaiparowitsEastWest_bighorn_2015.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\EA6B4005__KaiparowitsEastWest_bighorn_2015.pdf,harvest_report,harvest_report,2015,2015,2016,draw_or_harvest_reported_year_plus_one,no,yes,2016,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\EA6B4005__KaiparowitsEastWest_bighorn_2015.pdf
11D93CAD__2016_n_slope_w_daggett_sheep_creek_bh.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\11D93CAD__2016_n_slope_w_daggett_sheep_creek_bh.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\11D93CAD__2016_n_slope_w_daggett_sheep_creek_bh.pdf
1414A3B6__2016_san_rafael_dirty_devil_bg.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\1414A3B6__2016_san_rafael_dirty_devil_bg.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\1414A3B6__2016_san_rafael_dirty_devil_bg.pdf
25AAAC37__2016_box_elder_newfoundlands_bh.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\25AAAC37__2016_box_elder_newfoundlands_bh.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\25AAAC37__2016_box_elder_newfoundlands_bh.pdf
2B13F427__2016_pine_valley_bighorn.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\2B13F427__2016_pine_valley_bighorn.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\2B13F427__2016_pine_valley_bighorn.pdf
4B2B58E6__Box_Elder_Newfoundland_bighorn_2016.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\4B2B58E6__Box_Elder_Newfoundland_bighorn_2016.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\4B2B58E6__Box_Elder_Newfoundland_bighorn_2016.pdf
4B871A48__2016_le_oial_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\4B871A48__2016_le_oial_hr.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\4B871A48__2016_le_oial_hr.pdf
6B279CB4__2016_henrys_little_rockies_rattlesnake_bh.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\6B279CB4__2016_henrys_little_rockies_rattlesnake_bh.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\6B279CB4__2016_henrys_little_rockies_rattlesnake_bh.pdf
82A75C66__2016_gs_deer_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\82A75C66__2016_gs_deer_hr.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\82A75C66__2016_gs_deer_hr.pdf
942386DD__2016_n_slope_three_corners_bh.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\942386DD__2016_n_slope_three_corners_bh.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\942386DD__2016_n_slope_three_corners_bh.pdf
B21D6549__2016_bhs_harvest_data.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\B21D6549__2016_bhs_harvest_data.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\B21D6549__2016_bhs_harvest_data.pdf
B564C9EC__2016_book_cliffs_rattlesnake_bh.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\B564C9EC__2016_book_cliffs_rattlesnake_bh.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\B564C9EC__2016_book_cliffs_rattlesnake_bh.pdf
CA218DB8__2016_n_slope_w_daggett_red_canyon_bh.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\CA218DB8__2016_n_slope_w_daggett_red_canyon_bh.pdf,harvest_report,harvest_report,2016,2016,2017,draw_or_harvest_reported_year_plus_one,no,yes,2017,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\CA218DB8__2016_n_slope_w_daggett_red_canyon_bh.pdf
