"source_path","filename","size_bytes","publish_year_detected","target_year","doc_type_guess","rule_applied","staged_path"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\23_black_bear_report.pdf","23_black_bear_report.pdf","2767514","2023","2023","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\other\26229CDE__23_black_bear_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\conservation_permit_report_2023.pdf","conservation_permit_report_2023.pdf","5009299","2023","2023","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\other\2020A1B2__conservation_permit_report_2023.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2022-24_conservation_permits.pdf","2022-24_conservation_permits.pdf","292968","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\9E134C35__2022-24_conservation_permits.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 DEER ODDS.pdf","2023 DEER ODDS.pdf","1028367","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\33C56D87__2023 DEER ODDS.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_bg_report.pdf","23_bg_report.pdf","10336886","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\EA5061F3__23_bg_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_bg-odds.pdf","23_bg-odds.pdf","3041049","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\33976145__23_bg-odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_deer_odds.pdf","23_deer_odds.pdf","463470","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\86B01066__23_deer_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_dh_odds.pdf","23_dh_odds.pdf","179888","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\FB56D764__23_dh_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_drawing_odds BEAR.pdf","23_drawing_odds BEAR.pdf","444780","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\C22FEBA4__23_drawing_odds BEAR.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_lifetime_deer.pdf","23_lifetime_deer.pdf","412919","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\C1465317__23_lifetime_deer.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_youth_antlerless_drawing_odds_report.pdf","23_youth_antlerless_drawing_odds_report.pdf","689163","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 ELK + OTHER BIG GAME.pdf","2023 ELK + OTHER BIG GAME.pdf","2111606","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\D527742A__2023 ELK + OTHER BIG GAME.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 sportsman permit odds.pdf","2023 sportsman permit odds.pdf","102242","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\A77CBEDF__2023 sportsman permit odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023_conservation_permits.pdf","2023_conservation_permits.pdf","292968","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\B0A10DB0__2023_conservation_permits.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023_cougar_odds_report.pdf","2023_cougar_odds_report.pdf","135475","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\AC1194F9__2023_cougar_odds_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023_youth_turkey_draw_results.pdf","2023_youth_turkey_draw_results.pdf","126549","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\F6517B6A__2023_youth_turkey_draw_results.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_antlerless_drawing_odds_report.pdf","23_antlerless_drawing_odds_report.pdf","770790","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\D133D488__23_antlerless_drawing_odds_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_bg_report.pdf","23_bg_report.pdf","10336886","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\F4FB9132__23_bg_report.pdf"
