path,filename,clean_title,section,year_folder,reported_year,target_year,year_method,issue
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\2B13F427__2016_pine_valley_bighorn.pdf,2B13F427__2016_pine_valley_bighorn.pdf,2016_pine_valley_bighorn.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\4B2B58E6__Box_Elder_Newfoundland_bighorn_2016.pdf,4B2B58E6__Box_Elder_Newfoundland_bighorn_2016.pdf,Box_Elder_Newfoundland_bighorn_2016.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\4B871A48__2016_le_oial_hr.pdf,4B871A48__2016_le_oial_hr.pdf,2016_le_oial_hr.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\6B279CB4__2016_henrys_little_rockies_rattlesnake_bh.pdf,6B279CB4__2016_henrys_little_rockies_rattlesnake_bh.pdf,2016_henrys_little_rockies_rattlesnake_bh.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\82A75C66__2016_gs_deer_hr.pdf,82A75C66__2016_gs_deer_hr.pdf,2016_gs_deer_hr.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\942386DD__2016_n_slope_three_corners_bh.pdf,942386DD__2016_n_slope_three_corners_bh.pdf,2016_n_slope_three_corners_bh.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\B21D6549__2016_bhs_harvest_data.pdf,B21D6549__2016_bhs_harvest_data.pdf,2016_bhs_harvest_data.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\B564C9EC__2016_book_cliffs_rattlesnake_bh.pdf,B564C9EC__2016_book_cliffs_rattlesnake_bh.pdf,2016_book_cliffs_rattlesnake_bh.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\CA218DB8__2016_n_slope_w_daggett_red_canyon_bh.pdf,CA218DB8__2016_n_slope_w_daggett_red_canyon_bh.pdf,2016_n_slope_w_daggett_red_canyon_bh.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\CBEBFE8C__2016_nine_mile_range_creek_bh.pdf,CBEBFE8C__2016_nine_mile_range_creek_bh.pdf,2016_nine_mile_range_creek_bh.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\F6DB57FB__2016_antlerless_hr.pdf,F6DB57FB__2016_antlerless_hr.pdf,2016_antlerless_hr.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\FD22B2D9__2016_n_slope_three_corners_goslin_bh.pdf,FD22B2D9__2016_n_slope_three_corners_goslin_bh.pdf,2016_n_slope_three_corners_goslin_bh.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\043488DC__2017_le_oial_hr.pdf,043488DC__2017_le_oial_hr.pdf,2017_le_oial_hr.pdf,harvest_report,2017,2017,2018,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\0FE6BFCA__2017_gs_deer_hr.pdf,0FE6BFCA__2017_gs_deer_hr.pdf,2017_gs_deer_hr.pdf,harvest_report,2017,2017,2018,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\17E33C4D__2017-LaSalPotash_bighorn.pdf,17E33C4D__2017-LaSalPotash_bighorn.pdf,2017-LaSalPotash_bighorn.pdf,harvest_report,2017,2017,2018,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\50D4A2A1__2017-OakCreek_bighorn.pdf,50D4A2A1__2017-OakCreek_bighorn.pdf,2017-OakCreek_bighorn.pdf,harvest_report,2017,2017,2018,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2017\pdf\harvest_report\6AECF376__2017-bighorn_harvest.pdf,6AECF376__2017-bighorn_harvest.pdf,2017-bighorn_harvest.pdf,harvest_report,2017,2017,2018,y4,model_year_mismatch
