"huntCode","species","sex","huntType","huntClass","area","unitCode","unitNames","weapon","conditions","permitCount","organizations","averageValue","sourceSpecies","sourceRowStart","sourceRowNumbers","matchedPermitRegister","matchedRegisterLabel","matchedCanonicalHunts","boundaryIds","sourceHuntCodes"
"CP-BLACK-BEAR-BOULDER-KAIPAROWITS-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Boulder/Kaiparowits","boulder-kaiparowits","System.Object[]","ALW","ALW","4","System.Object[]","3983.33","Bear","27","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-CHALK-CREEK-EAST-CANYON-MORGAN-SOUTH-RICH-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","DSC","Chalk Creek/East Canyon/Morgan-South Rich","chalk-creek-east-canyon-morgan-south-rich","System.Object[]","ALW","ALW","1","System.Object[]","2850","Bear","31","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-DIAMOND-MTN-VERNAL-BONANZA-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","Diamond Mtn/Vernal/Bonanza","diamond-mtn-vernal-bonanza","System.Object[]","ALW","ALW","1","System.Object[]","4875","Bear","32","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-DIAMOND-MTN-VERNAL-BONANZA-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Diamond Mtn/Vernal/Bonanza","diamond-mtn-vernal-bonanza","System.Object[]","ALW","ALW","1","System.Object[]","4875","Bear","33","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-FISHLAKE-THOUSAND-LAKES-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Fishlake/Thousand Lakes","fishlake-thousand-lakes","System.Object[]","ALW","ALW","1","System.Object[]","13833.33","Bear","34","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-KAMAS-NORTH-SLOPE-SUMMIT-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","Kamas/North Slope, Summit","kamas-north-slope-summit","System.Object[]","ALW","ALW","1","System.Object[]","4750","Bear","35","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-LA-SAL-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","La Sal","la-sal","System.Object[]","ALW","ALW","1","System.Object[]","8370.83","Bear","38","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-LA-SAL-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","La Sal","la-sal","System.Object[]","ALW","ALW","2","System.Object[]","8370.83","Bear","37","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-LA-SAL-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","UHA","La Sal","la-sal","System.Object[]","ALW","ALW","1","System.Object[]","8370.83","Bear","36","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-MANTI-NORTH-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","Manti-North","manti-north","System.Object[]","ALW","ALW","1","System.Object[]","5133.33","Bear","41","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-MANTI-NORTH-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Manti-North","manti-north","System.Object[]","ALW","ALW","1","System.Object[]","5133.33","Bear","42","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-MANTI-NORTH-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","UHA","Manti-North","manti-north","System.Object[]","ALW","ALW","1","System.Object[]","5133.33","Bear","40","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-MANTI-SOUTH-SAN-RAFAEL-NORTH-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","Manti-South/San Rafael, North","manti-south-san-rafael-north","System.Object[]","ALW","ALW","2","System.Object[]","9611.11","Bear","43","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-MANTI-SOUTH-SAN-RAFAEL-NORTH-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Manti-South/San Rafael, North","manti-south-san-rafael-north","System.Object[]","ALW","ALW","1","System.Object[]","9611.11","Bear","45","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-NEBO-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","UHA","Nebo","nebo","System.Object[]","ALW","ALW","1","System.Object[]","5266.67","Bear","46","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-NINE-MILE-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Nine Mile","nine-mile","System.Object[]","ALW","ALW","4","System.Object[]","2255.56","Bear","47","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-PANGUITCH-LAKE-ZION-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","Panguitch Lake/Zion","panguitch-lake-zion","System.Object[]","ALW","ALW","1","System.Object[]","6166.67","Bear","51","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-PAUNSAUGUNT-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Paunsaugunt","paunsaugunt","System.Object[]","ALW","ALW","1","System.Object[]","4000","Bear","52","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-SAN-JUAN-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","San Juan","san-juan","System.Object[]","ALW","ALW","1","System.Object[]","5320.83","Bear","56","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-SAN-JUAN-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","San Juan","san-juan","System.Object[]","ALW","ALW","2","System.Object[]","5320.83","Bear","54","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-SAN-JUAN-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","UHA","San Juan","san-juan","System.Object[]","ALW","ALW","1","System.Object[]","5320.83","Bear","53","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-STATEWIDE-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","Statewide","statewide","System.Object[]","ALW","ALW","1","System.Object[]","15666.67","Bear","64","System.Object[]","True","Statewide Black Bear Conservation","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-WASATCH-MTNS-AVINTAQUIN-CURRANT-CREEK-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Wasatch Mtns, Avintaquin/Currant Creek","wasatch-mtns-avintaquin-currant-creek","System.Object[]","ALW","ALW","2","System.Object[]","4333.33","Bear","57","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","Wasatch Mtns, West-Central","wasatch-mtns-west-central","System.Object[]","ALW","ALW","1","System.Object[]","4716.67","Bear","61","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Wasatch Mtns, West-Central","wasatch-mtns-west-central","System.Object[]","ALW","ALW","2","System.Object[]","4716.67","Bear","60","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","UAA","Wasatch Mtns, West-Central","wasatch-mtns-west-central","System.Object[]","ALW","ALW","1","System.Object[]","4716.67","Bear","59","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-YELLOWSTONE-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","WCF","Yellowstone","yellowstone","System.Object[]","ALW","ALW","1","System.Object[]","3500","Bear","63","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-DEER-BOOK-CLIFFS-BUCK-HUNTER-S-CHOICE","Deer","Buck","Conservation","MDF","Book Cliffs","book-cliffs","System.Object[]","ALW","ALW","1","System.Object[]","20875","Deer","91","System.Object[]","True","Book Cliffs Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-BOOK-CLIFFS-BUCK-MULTISEASON","Deer","Buck","Conservation","MDF","Book Cliffs","book-cliffs","System.Object[]","ALW","ALW","1","System.Object[]","23000","Deer","93","System.Object[]","True","Book Cliffs Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-BOOK-CLIFFS-BUCK-HUNTER-S-CHOICE","Deer","Buck","Conservation","SFW","Book Cliffs","book-cliffs","System.Object[]","ALW","ALW","1","System.Object[]","20875","Deer","90","System.Object[]","True","Book Cliffs Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-BOOK-CLIFFS-BUCK-MULTISEASON","Deer","Buck","Conservation","SFW","Book Cliffs","book-cliffs","System.Object[]","ALW","ALW","1","System.Object[]","23000","Deer","92","System.Object[]","True","Book Cliffs Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-BOOK-CLIFFS-BUCK-ARCHERY","Deer","Buck","Conservation","UAA","Book Cliffs","book-cliffs","System.Object[]","Archery","Archery","1","System.Object[]","8750","Deer","89","System.Object[]","True","Book Cliffs Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-BOOK-CLIFFS-BUCK-MUZZLELOADER","Deer","Buck","Conservation","UHA","Book Cliffs","book-cliffs","System.Object[]","Muzzleloader","Muzzleloader","1","System.Object[]","7375","Deer","94","System.Object[]","True","Book Cliffs Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-BOOK-CLIFFS-BUCK-ARCHERY","Deer","Buck","Conservation","WCF","Book Cliffs","book-cliffs","System.Object[]","Archery","Archery","1","System.Object[]","8750","Deer","88","System.Object[]","True","Book Cliffs Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-BOOK-CLIFFS-BUCK-MUZZLELOADER","Deer","Buck","Conservation","WCF","Book Cliffs","book-cliffs","System.Object[]","Muzzleloader","Muzzleloader","1","System.Object[]","7375","Deer","95","System.Object[]","True","Book Cliffs Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-DIAMOND-MTN-BUCK-ARCHERY","Deer","Buck","Conservation","MDF","Diamond Mtn","diamond-mtn","System.Object[]","Archery","Archery","1","System.Object[]","11500","Deer","96","System.Object[]","True","Diamond Mtn Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-DIAMOND-MTN-BUCK-HUNTER-S-CHOICE","Deer","Buck","Conservation","MDF","Diamond Mtn","diamond-mtn","System.Object[]","ALW","ALW","1","System.Object[]","12666.67","Deer","98","System.Object[]","True","Diamond Mtn Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-DIAMOND-MTN-BUCK-MULTISEASON","Deer","Buck","Conservation","MDF","Diamond Mtn","diamond-mtn","System.Object[]","ALW","ALW","2","System.Object[]","14000","Deer","99","System.Object[]","True","Diamond Mtn Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-DIAMOND-MTN-BUCK-HUNTER-S-CHOICE","Deer","Buck","Conservation","RMEF","Diamond Mtn","diamond-mtn","System.Object[]","ALW","ALW","1","System.Object[]","12666.67","Deer","97","System.Object[]","True","Diamond Mtn Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-DIAMOND-MTN-BUCK-MUZZLELOADER","Deer","Buck","Conservation","SFW","Diamond Mtn","diamond-mtn","System.Object[]","Muzzleloader","Muzzleloader","1","System.Object[]","9666.67","Deer","101","System.Object[]","True","Diamond Mtn Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-FILLMORE-OAK-CREEK-LE-BUCK-HUNTER-S-CHOICE","Deer","Buck","Conservation","MDF","Fillmore, Oak Creek LE","fillmore-oak-creek-le","System.Object[]","ALW","ALW","1","System.Object[]","71250","Deer","102","System.Object[]","True","Fillmore, Oak Creek LE Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-FILLMORE-OAK-CREEK-LE-BUCK-MULTISEASON","Deer","Buck","Conservation","MDF","Fillmore, Oak Creek LE","fillmore-oak-creek-le","System.Object[]","ALW","ALW","1","System.Object[]","78000","Deer","103","System.Object[]","True","Fillmore, Oak Creek LE Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-HENRY-MTNS-BUCK-MULTISEASON","Deer","Buck","Conservation","MDF","Henry Mtns","henry-mtns","System.Object[]","ALW","ALW","1","System.Object[]","114500","Deer","80","System.Object[]","True","Henry Mtns Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-HENRY-MTNS-BUCK-HUNTER-S-CHOICE","Deer","Buck","Conservation","SFW","Henry Mtns","henry-mtns","System.Object[]","ALW","ALW","1","System.Object[]","104166.67","Deer","79","System.Object[]","True","Henry Mtns Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-LA-SAL-DOLORES-TRIANGLE-BUCK-MULTISEASON","Deer","Buck","Conservation","SCI","La Sal, Dolores Triangle","la-sal-dolores-triangle","System.Object[]","ALW","ALW","1","System.Object[]","30000","Deer","104","System.Object[]","True","La Sal, Dolores Triangle Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-PAUNSAUGUNT-BUCK-HUNTER-S-CHOICE","Deer","Buck","Conservation","MDF","Paunsaugunt","paunsaugunt","System.Object[]","ALW","ALW","1","System.Object[]","74666.67","Deer","82","System.Object[]","True","Paunsaugunt Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-PAUNSAUGUNT-BUCK-MUZZLELOADER","Deer","Buck","Conservation","MDF","Paunsaugunt","paunsaugunt","System.Object[]","Muzzleloader","Muzzleloader","1","System.Object[]","40000","Deer","87","System.Object[]","True","Paunsaugunt Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-PAUNSAUGUNT-BUCK-ARCHERY","Deer","Buck","Conservation","NWTF","Paunsaugunt","paunsaugunt","System.Object[]","Archery","Archery","1","System.Object[]","68333.33","Deer","81","System.Object[]","True","Paunsaugunt Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-PAUNSAUGUNT-BUCK-MUZZLELOADER","Deer","Buck","Conservation","NWTF","Paunsaugunt","paunsaugunt","System.Object[]","Muzzleloader","Muzzleloader","1","System.Object[]","40000","Deer","86","System.Object[]","True","Paunsaugunt Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-PAUNSAUGUNT-BUCK-HUNTER-S-CHOICE","Deer","Buck","Conservation","SFW","Paunsaugunt","paunsaugunt","System.Object[]","ALW","ALW","1","System.Object[]","74666.67","Deer","83","System.Object[]","True","Paunsaugunt Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-PAUNSAUGUNT-BUCK-MULTISEASON","Deer","Buck","Conservation","SFW","Paunsaugunt","paunsaugunt","System.Object[]","ALW","ALW","2","System.Object[]","82000","Deer","84","System.Object[]","True","Paunsaugunt Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-MUZZLELOADER","Deer","Buck","Conservation","MDF","San Juan, Elk Ridge","san-juan-elk-ridge","System.Object[]","Muzzleloader","Muzzleloader","1","System.Object[]","42000","Deer","108","System.Object[]","True","San Juan, Elk Ridge Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-HUNTER-S-CHOICE","Deer","Buck","Conservation","SFW","San Juan, Elk Ridge","san-juan-elk-ridge","System.Object[]","ALW","ALW","1","System.Object[]","60666.67","Deer","106","System.Object[]","True","San Juan, Elk Ridge Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-MULTISEASON","Deer","Buck","Conservation","SFW","San Juan, Elk Ridge","san-juan-elk-ridge","System.Object[]","ALW","ALW","1","System.Object[]","67000","Deer","107","System.Object[]","True","San Juan, Elk Ridge Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-SAN-JUAN-ELK-RIDGE-BUCK-ARCHERY","Deer","Buck","Conservation","UAA","San Juan, Elk Ridge","san-juan-elk-ridge","System.Object[]","Archery","Archery","1","System.Object[]","42000","Deer","105","System.Object[]","True","San Juan, Elk Ridge Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-STATEWIDE-BUCK-ANY-LEGAL-WEAPON","Deer","Buck","Conservation","MDF","Statewide","statewide","System.Object[]","Any Legal Weapon",,"1","System.Object[]","288333.33","Deer","117","System.Object[]","True","Statewide Deer Conservation Permit","True","System.Object[]",
"CP-DEER-WEST-DESERT-VERNON-BUCK-MUZZLELOADER","Deer","Buck","Conservation","DSC","West Desert, Vernon","west-desert-vernon","System.Object[]","Muzzleloader","Muzzleloader","1","System.Object[]","14083.33","Deer","116","System.Object[]","True","West Desert, Vernon Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-WEST-DESERT-VERNON-BUCK-ARCHERY","Deer","Buck","Conservation","MDF","West Desert, Vernon","west-desert-vernon","System.Object[]","Archery","Archery","1","System.Object[]","14350","Deer","109","System.Object[]","True","West Desert, Vernon Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-WEST-DESERT-VERNON-BUCK-MULTISEASON","Deer","Buck","Conservation","MDF","West Desert, Vernon","west-desert-vernon","System.Object[]","ALW","ALW","1","System.Object[]","17000","Deer","114","System.Object[]","True","West Desert, Vernon Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-WEST-DESERT-VERNON-BUCK-MUZZLELOADER","Deer","Buck","Conservation","MDF","West Desert, Vernon","west-desert-vernon","System.Object[]","Muzzleloader","Muzzleloader","1","System.Object[]","14083.33","Deer","115","System.Object[]","True","West Desert, Vernon Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-WEST-DESERT-VERNON-BUCK-ARCHERY","Deer","Buck","Conservation","SFW","West Desert, Vernon","west-desert-vernon","System.Object[]","Archery","Archery","1","System.Object[]","14350","Deer","110","System.Object[]","True","West Desert, Vernon Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-WEST-DESERT-VERNON-BUCK-HUNTER-S-CHOICE","Deer","Buck","Conservation","SFW","West Desert, Vernon","west-desert-vernon","System.Object[]","ALW","ALW","2","System.Object[]","15416.67","Deer","111","System.Object[]","True","West Desert, Vernon Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DEER-WEST-DESERT-VERNON-BUCK-MULTISEASON","Deer","Buck","Conservation","SFW","West Desert, Vernon","west-desert-vernon","System.Object[]","ALW","ALW","1","System.Object[]","17000","Deer","113","System.Object[]","True","West Desert, Vernon Conservation Permit","True","System.Object[]","System.Object[]"
"CP-DESERT-BIGHORN-SHEEP-KAIPAROWITS-EAST-RAM-ANY-LEGAL-WEAPON","Desert Bighorn Sheep","Ram","Conservation","UWSF","Kaiparowits, East","kaiparowits-east","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","88333.33","Desert Bighorn Sheep","71","System.Object[]","True","Kaiparowits East Conservation","True","System.Object[]","System.Object[]"
"CP-DESERT-BIGHORN-SHEEP-KAIPAROWITS-ESCALANTE-RAM-ANY-LEGAL-WEAPON","Desert Bighorn Sheep","Ram","Conservation","UWSF","Kaiparowits, Escalante","kaiparowits-escalante","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","71666.67","Desert Bighorn Sheep","72","System.Object[]","True","Kaiparowits Escalante East/West Conservation","True","System.Object[]","System.Object[]"
"CP-DESERT-BIGHORN-SHEEP-KAIPAROWITS-WEST-RAM-ANY-LEGAL-WEAPON","Desert Bighorn Sheep","Ram","Conservation","UWSF","Kaiparowits, West","kaiparowits-west","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","77500","Desert Bighorn Sheep","73","System.Object[]","True","Kaiparowits West Conservation","True","System.Object[]","System.Object[]"
"CP-DESERT-BIGHORN-SHEEP-LA-SAL-POTASH-SOUTH-CISCO-RAM-ANY-LEGAL-WEAPON","Desert Bighorn Sheep","Ram","Conservation","SFW","La Sal, Potash/South Cisco","la-sal-potash-south-cisco","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","60833.33","Desert Bighorn Sheep","74","System.Object[]","True","San Rafael Dirty Devil Conservation","True","System.Object[]","DS6604"
"CP-DESERT-BIGHORN-SHEEP-PINE-VALLEY-BEAVER-DAM-RAM-ANY-LEGAL-WEAPON","Desert Bighorn Sheep","Ram","Conservation","UWSF","Pine Valley, Beaver Dam","pine-valley-beaver-dam","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","73214.29","Desert Bighorn Sheep","75","System.Object[]","True","Pine Valley Beaver Dam Conservation","True","System.Object[]","DS6621"
"CP-DESERT-BIGHORN-SHEEP-SAN-RAFAEL-DIRTY-DEVIL-RAM-ANY-LEGAL-WEAPON","Desert Bighorn Sheep","Ram","Conservation","SCI","San Rafael, Dirty Devil","san-rafael-dirty-devil","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","73333.33","Desert Bighorn Sheep","76","System.Object[]","True","San Rafael Dirty Devil Conservation","True","System.Object[]","System.Object[]"
"CP-DESERT-BIGHORN-SHEEP-SAN-RAFAEL-SOUTH-RAM-ANY-LEGAL-WEAPON","Desert Bighorn Sheep","Ram","Conservation","UWSF","San Rafael, South","san-rafael-south","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","60833.33","Desert Bighorn Sheep","77","System.Object[]","True","San Rafael South Conservation","True","System.Object[]","System.Object[]"
"CP-DESERT-BIGHORN-SHEEP-STATEWIDE-RAM-ANY-LEGAL-WEAPON","Desert Bighorn Sheep","Ram","Conservation","SFW","Statewide","statewide","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","140000","Desert Bighorn Sheep","78","System.Object[]","True","Statewide Bighorn Conservation","True","System.Object[]","System.Object[]"
"CP-ELK-BEAVER-EAST-BULL-MULTISEASON","Elk","Bull","Conservation","MDF","Beaver, East","beaver-east","System.Object[]","ALW","ALW","1","System.Object[]","184166.67","Elk","121","System.Object[]","True","Beaver, East Conservation Permit","True","System.Object[]","System.Object[]"
"CP-ELK-BEAVER-EAST-BULL-ANY-LEGAL-WEAPON","Elk","Bull","Conservation","SFW","Beaver, East","beaver-east","System.Object[]","Any Legal Weapon","Any Legal Weapon, late","1","System.Object[]","99000","Elk","118","System.Object[]","True","Beaver, East Conservation Permit","True","System.Object[]","System.Object[]"
"CP-ELK-BEAVER-EAST-BULL-HUNTER-S-CHOICE","Elk","Bull","Conservation","SFW","Beaver, East","beaver-east","System.Object[]","ALW","ALW","1","System.Object[]","123333.33","Elk","120","System.Object[]","True","Beaver, East Conservation Permit","True","System.Object[]","System.Object[]"
"CP-ELK-BEAVER-EAST-BULL-ARCHERY","Elk","Bull","Conservation","UAA","Beaver, East","beaver-east","System.Object[]","Archery","Archery","1","System.Object[]","74000","Elk","119","System.Object[]","True","Beaver, East Conservation Permit","True","System.Object[]","System.Object[]"
"CP-ELK-BOOK-CLIFFS-BITTER-CREEK-EAST-BULL-HUNTER-S-CHOICE","Elk","Bull","Conservation","DSC","Book Cliffs, Bitter Creek/East","book-cliffs-bitter-creek-east","System.Object[]","ALW","ALW","1","System.Object[]","14250","Elk","124","System.Object[]","True","Book Cliffs, Bitter Creek/East Conservation Permit","True","System.Object[]","System.Object[]"
