hunt_code,species,hunt_name,hunt_type,weapon,hunt_class,access_type,permits_2026_total,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,unsuccessful_2025,composite_score
DB1304,Deer,Two Bear CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,3,4.4,0,0.9014
EL3144,Elk,"West Desert, Deep Creek",Limited Entry - Private Land Only,Archery,Private Land Only,Private,0,1,1,100,6,5,0,0.9008
DB1288,Deer,Scofield West CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,15,15,100,3.2,4.4,0,0.898
EB3545,Elk,Cactus Ranch LLC CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,9,9,100,3.2,4.4,0,0.8948
EB3519,Elk,Ensign Ranches CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,26,26,100,3.6,4.5,0,0.8945
DA1042,Deer,"San Juan, Monticello",General Season,Archery,Antlerless,Public,5,4,4,100,1.7,4,0,0.8943
DB0009,Deer,Antelope Island - Conservation/Expo,Premium Limited Entry,Any Legal Weapon,Premium Limited Entry,Public,0,1,1,100,2,4,0,0.891
EB3028,Elk,"Book Cliffs, Little Creek Roadless",Limited Entry,Any Legal Weapon,Mature Bull,Public,3,2,2,100,1,4,0,0.8905
EB3553,Elk,Soldier Summit CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,16,16,100,6.8,5,0,0.8899
EA1165,Elk,Skull Crack CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,14,13,92.9,1.1,5,1,0.8888
DB1018,Deer,"Book Cliffs, South",Limited Entry,Any Legal Weapon,Limited Entry,Public,38,31,31,100,3.7,4.5,0,0.8881
EB3546,Elk,Roan Cliffs CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,9,9,100,7.5,5,0,0.8843
EB3166,Elk,"Book Cliffs, Bitter Creek/East",Limited Entry,Muzzleloader,Mature Bull,Public,14,13,13,100,3.3,4.3,0,0.884
LO1547,Deer,Pine Valley,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,2,2,100,7,5,0,0.8833
LO1614,Deer,"Beaver, West",General Season - Private Land Only,Archery,Private Land Only,Private,0,1,1,100,7,5,0,0.8833
EB3604,Elk,Double R Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,3.4,4.3,0,0.881
EB3502,Elk,Bear Mountain CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,8,8,100,8.3,5,0,0.8793
EB3531,Elk,Johnson Mountain Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,15,15,100,4.4,4.6,0,0.8784
EA1271,Elk,Manti (Conservation),Conservation,Any Legal Weapon,Conservation,Public,0,3,3,100,2.3,4,0,0.8757
EL3000,Elk,"Beaver, East",Limited Entry - Private Land Only,Archery,Private Land Only,Private,0,1,1,100,9,5,0,0.8744
DB1252,Deer,Ingham Peak CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,32,32,100,4,4.5,0,0.8733
DB0007,Deer,Buck Deer - Statewide Permit,Statewide,Any Legal Weapon,Statewide Permit,Public,0,2,2,100,8.5,5,0,0.8692
EB3115,Elk,"North Slope, Three Corners",Limited Entry,Multiseason,Mature Bull,Public,1,2,2,100,10.5,5,0,0.8668
DB1280,Deer,Promontory Point CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,9,90,2.3,5,1,0.8664
DB1020,Deer,Dolores Triangle,Limited Entry,Any Legal Weapon,Limited Entry,Public,15,12,12,100,4,4.4,0,0.8637
DB1109,Deer,Thousand Lakes,Limited Entry,Restricted Multiseason,Limited Entry,Public,2,2,2,100,3.5,4,0,0.8567
EB1000,Elk,Elk - Statewide Permit,Statewide,Any Legal Weapon,Statewide Permit,Public,0,2,2,100,26,5,0,0.8507
EA1143,Elk,Circle E Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,35,34,97.1,2,4.8,1,0.8497
DB1281,Deer,Rattlesnake Pass CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,15,15,100,4.5,4.4,0,0.8467
DB1237,Deer,Ensign Ranches CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,31,28,90.3,3.3,5,3,0.8448
DB1227,Deer,Deer Haven CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,13,13,100,5.8,4.6,0,0.8415
EB3509,Elk,Coldwater Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,22,21,95.5,2.9,4.8,1,0.8359
EL3065,Elk,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,1,1,100,4,4,0,0.8358
EB3520,Elk,Folley Ridge CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,19,18,94.7,3.1,4.9,1,0.8348
DB1323,Deer,Rock House CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,4,4,100,9,4.8,0,0.8319
EB3514,Elk,Deseret CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,118,105,89,3.4,5,13,0.8318
DB1217,Deer,Causey Spring CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,13,12,92.3,3,4.9,1,0.8278
EA1146,Elk,Jump Creek CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,13,12,92.3,2.7,4.8,1,0.8258
EA1156,Elk,Preston Nutter Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,20,16,80,2.1,5,4,0.8231
EA1079,Elk,Fishlake/Thousand Lakes East,General Season,Any Legal Weapon,Antlerless,Public,65,60,56,93.3,2.5,4.6,4,0.8204
EB3111,Elk,La Sal Mtns,Limited Entry,Multiseason,Mature Bull,Public,5,7,7,100,10.4,4.7,0,0.8203
DB1090,Deer,"Book Cliffs, Floy Canyon",Limited Entry,Archery,Limited Entry,Public,7,7,7,100,6,4.4,0,0.8193
DB1033,Deer,Nine Mile,Limited Entry,Muzzleloader,Limited Entry,Public,7,6,6,100,4.5,4,0,0.8193
EB3153,Elk,"Box Elder, Grouse Creek",Limited Entry,Muzzleloader,Mature Bull,Public,3,3,3,100,4.7,4,0,0.819
EL3126,Elk,Manti,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,3,3,100,4.7,4,0,0.819
DB1248,Deer,Heaston East CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,20,18,90,3,4.8,2,0.8187
EA1164,Elk,SJ Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,6,5,83.3,3.3,5,1,0.8166
EA1137,Elk,Grazing Pasture CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,15,13,86.7,2.6,4.9,2,0.8145
DB1289,Deer,Sharp Mountain CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,16,14,87.5,3.6,5,2,0.8138
EA1170,Elk,Strawberry Ridge CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,9,90,2,4.6,1,0.8126
DB1309,Deer,West Willow Creek Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,23,22,95.7,2.8,4.5,1,0.8121
DB1211,Deer,Blue Spring Hills CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,4.8,4,0,0.8101
EB3555,Elk,Spring Creek/Dodge CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,13,12,92.3,3.7,4.9,1,0.81
DB1003,Deer,Henry Mtns,Premium Limited Entry,Any Legal Weapon,Premium Limited Entry,Public,27,26,26,100,3.5,3.6,0,0.8079
DB1204,Deer,Bally Watts CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,9,7,77.8,1.8,5,2,0.8055
DB1308,Deer,West Hills CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,14,13,92.9,3.3,4.7,1,0.805
EB3557,Elk,Strawberry Ridge CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,20,19,95,4.3,4.9,1,0.8044
DB1008,Deer,Paunsaugunt,Premium Limited Entry,Multiseason,Premium Limited Entry,Public,4,6,6,100,22,4.7,0,0.8038
EA1124,Elk,Chimney Rock CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,15,14,93.3,3.3,4.6,1,0.8036
DB1230,Deer,Double R Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,16,14,87.5,3,4.9,2,0.8034
DB1236,Deer,Engineer Springs CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,1,1,100,5,4,0,0.8031
LO1594,Deer,Panguitch Lake,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,2,2,100,5,4,0,0.8031
EB3171,Elk,"Cache, South",Limited Entry,Any Legal Weapon,Mature Bull,Public,12,10,10,100,5.8,4,0,0.7982
EB3121,Elk,San Juan Bull Elk,Limited Entry,Multiseason,Mature Bull,Public,4,4,4,100,14,4.5,0,0.7963
DB1229,Deer,Dilly Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,9,90,3.7,4.8,1,0.7958
EB3148,Elk,Boulder,Limited Entry,Any Legal Weapon,Mature Bull,Public,14,14,13,92.9,2.4,4.3,1,0.7958
DB1026,Deer,"Cache, Crawford Mtn",Limited Entry,Muzzleloader,Limited Entry,Public,9,8,8,100,4.8,3.9,0,0.7938
EB3558,Elk,Summit Point CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,4,4,100,16,4.5,0,0.793
EB3619,Elk,Weber Florence Creek/Stillman Creek CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,99,87,87.9,3.4,4.8,12,0.7905
DB1007,Deer,Henry Mtns,Premium Limited Entry,Multiseason,Premium Limited Entry,Public,1,2,2,100,11,4.5,0,0.7898
EB3523,Elk,Guildersleeve CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,19,16,84.2,2,4.6,3,0.7897
DB1331,Deer,Raft River CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,9,90,4.8,5,1,0.7888
DB1294,Deer,Spring Creek Acres CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,4,3,75,2.3,5,1,0.7878
EB3056,Elk,Panguitch Lake,Limited Entry,Any Legal Weapon,Mature Bull,Public,8,12,11,91.7,3.3,4.5,1,0.7875
DB1113,Deer,Oquirrh/Tintic,Limited Entry,Muzzleloader,Limited Entry,Public,11,11,11,100,4.8,3.8,0,0.7872
EA1201,Elk,Mountain Sky Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,9,90,3.2,4.5,1,0.7869
DB1031,Deer,Dolores Triangle,Limited Entry,Muzzleloader,Limited Entry,Public,5,4,4,100,6.5,4,0,0.7865
DA1011,Deer,George Creek CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,5,4,80,1.4,4.6,1,0.7778
DB1209,Deer,Blind Springs CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,5,4,80,3,4.8,1,0.7767
DA1033,Deer,"San Juan, Monticello",General Season,Archery,Antlerless,Public,10,5,4,80,1.8,4.6,1,0.7752
DB1030,Deer,Kamas,Limited Entry,Muzzleloader,Limited Entry,Public,5,6,6,100,5.5,3.8,0,0.775
EA1142,Elk,Indian Head CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,12,10,83.3,3.2,4.7,2,0.7741
EB3122,Elk,Diamond Mtn,Limited Entry,Multiseason,Mature Bull,Public,3,4,4,100,8.3,4,0,0.7732
EA1160,Elk,Sand Creek CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,4,3,75,1.8,4.8,1,0.7723
DB1342,Deer,Faust Valley CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,4,4,100,3,3.3,0,0.772
DB1251,Deer,Indian Head CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,14,12,85.7,3.5,4.8,2,0.7716
DB1322,Deer,Pahvant Ensign CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,8,80,3.3,4.9,2,0.7712
EB3534,Elk,Little Red Creek CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,14,12,85.7,3.7,4.7,2,0.7705
EB3050,Elk,Mt Dutton,Limited Entry,Any Legal Weapon,Mature Bull,Public,15,15,14,93.3,4.4,4.5,1,0.7703
DB1282,Deer,Redd Ranches CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,15,14,93.3,3.6,4.4,1,0.769
EB3208,Elk,Morgan-South Rich,Limited Entry,Any Legal Weapon,Mature Bull,Public,10,10,9,90,2.7,4.2,1,0.7685
EL3183,Elk,"La Sal, La Sal Mtns",Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,1,1,100,9,4,0,0.7682
DB1242,Deer,Grass Valley/Clark Canyon CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,102,93,91.2,3.7,4.5,9,0.7675
DB1228,Deer,Deseret CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,83,70,84.3,3.2,4.7,13,0.7663
DB1295,Deer,Spring Creek/Dodge CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,56,50,89.3,3.3,4.5,6,0.7663
EB3053,Elk,"North Slope, Three Corners",Limited Entry,Any Legal Weapon,Mature Bull,Public,10,11,10,90.9,3.4,4.3,1,0.7649
DB1014,Deer,"San Juan, Elk Ridge",Limited Entry,Archery,Limited Entry,Public,17,17,17,100,5.3,3.7,0,0.7647
DB1023,Deer,Diamond Mtn,Limited Entry,Any Legal Weapon,Limited Entry,Public,68,64,62,96.9,3.4,4.1,2,0.7635
DB1000,Deer,Henry Mtns,Premium Limited Entry,Archery,Premium Limited Entry,Public,9,9,9,100,10.3,4.1,0,0.7621
DB1298,Deer,Strawberry Ridge CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,5,4,80,4.3,5,1,0.7612
EB3048,Elk,Monroe,Limited Entry,Any Legal Weapon,Mature Bull,Public,15,15,14,93.3,4.1,4.3,1,0.7604
DB1341,Deer,Dry Creek CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,8,80,2.3,4.5,2,0.7594
EL3194,Elk,San Juan Bull Elk,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,2,2,100,11,4,0,0.759
DA1013,Deer,Mt Carmel CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,4,3,75,2,4.8,1,0.7571
LO1516,Deer,Panguitch Lake,General Season - Private Land Only,Archery,Private Land Only,Private,0,2,2,100,10,4,0,0.7569
EB3147,Elk,"Box Elder, Grouse Creek",Limited Entry,Any Legal Weapon,Mature Bull,Public,7,7,6,85.7,2.5,4.2,1,0.7554
DB1047,Deer,Diamond Mtn,Limited Entry,Multiseason,Limited Entry,Public,4,5,5,100,7.6,3.8,0,0.7536
EA1180,Elk,La Sal (Conservation),Conservation,Any Legal Weapon,Conservation,Public,1,2,2,100,1,3,0,0.7527
EL3068,Elk,Diamond Mtn,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,1,1,100,1,3,0,0.7527
DB1039,Deer,Yellowstone,Limited Entry,Muzzleloader,Limited Entry,Public,7,7,7,100,5.1,3.6,0,0.7525
EB3049,Elk,Mt Dutton,Limited Entry,Any Legal Weapon,Mature Bull,Public,9,8,7,87.5,2.4,4.1,1,0.7524
EA2036,Elk,"Oquirrh-Stansbury, East",General Season,Any Legal Weapon,Antlerless,Public,70,58,53,91.4,4.3,4.4,5,0.7503
DB1219,Deer,Chimney Rock CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,15,13,86.7,3.7,4.6,2,0.7494
DB1044,Deer,Book Cliffs,Limited Entry,Multiseason,Limited Entry,Public,9,9,9,100,15.3,4,0,0.7491
