hunt_code,column,truth_value,built_value
BI6529,permits_2026_total,8,8.0
BI6529,has_harvest,True,1
BI6529,has_bonus_draw,False,0
BI6529,has_antlerless_draw,False,0
BI6529,permit_overlay_source,2026_bison_cow_only.xlsx,hunt_join_2025.1.csv
BI6531,sex_type,Hunters Choice,Hunter's Choice
BI6531,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6531,youth_flag,False,0
BI6531,permits_2026_res,10,10.0
BI6531,permits_2026_nr,0,0.0
BI6531,permits_2026_total,10,10.0
BI6531,has_harvest,True,1
BI6531,has_bonus_draw,False,0
BI6531,has_antlerless_draw,False,0
BI6531,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6532,sex_type,Hunters Choice,Hunter's Choice
BI6532,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6532,youth_flag,False,0
BI6532,permits_2026_res,6,5.0
BI6532,permits_2026_nr,0,0.0
BI6532,permits_2026_total,6,5.0
BI6532,has_harvest,True,1
BI6532,has_bonus_draw,False,0
BI6532,has_antlerless_draw,False,0
BI6532,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6534,sex_type,Hunters Choice,Hunter's Choice
BI6534,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6534,youth_flag,False,0
BI6534,permits_2026_res,10,10.0
BI6534,permits_2026_nr,0,0.0
BI6534,permits_2026_total,10,10.0
BI6534,has_harvest,True,1
BI6534,has_bonus_draw,False,0
BI6534,has_antlerless_draw,False,0
BI6534,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6535,sex_type,Hunters Choice,Hunter's Choice
BI6535,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6535,youth_flag,False,0
BI6535,permits_2026_res,8,8.0
BI6535,permits_2026_nr,0,0.0
BI6535,permits_2026_total,8,8.0
BI6535,has_harvest,True,1
BI6535,has_bonus_draw,False,0
BI6535,has_antlerless_draw,False,0
BI6535,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6536,sex_type,Cow Only,Antlerless
BI6536,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6536,youth_flag,False,0
BI6536,permits_2026_res,15,15.0
BI6536,permits_2026_nr,0,0.0
BI6536,permits_2026_total,15,15.0
BI6536,has_harvest,True,1
BI6536,has_bonus_draw,False,0
BI6536,has_antlerless_draw,False,0
BI6536,permit_overlay_source,2026_bison_cow_only.xlsx,hunt_join_2025.1.csv
BI6537,sex_type,Hunters Choice,Hunter's Choice
BI6537,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6537,youth_flag,False,0
BI6537,permits_2026_res,8,8.0
BI6537,permits_2026_nr,7,7.0
BI6537,permits_2026_total,15,15.0
BI6537,has_harvest,True,1
BI6537,has_bonus_draw,False,0
BI6537,has_antlerless_draw,False,0
BI6537,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6538,sex_type,Hunters Choice,Hunter's Choice
BI6538,youth_flag,False,0
BI6538,permit_status,NO_QUOTA_PUBLISHED,MISSING
BI6538,permit_overlay_source,2026_bison_either-sex.xlsx,
BI6538,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_GENERAL_SOURCE
BI6539,sex_type,Cow Only,Antlerless
BI6539,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6539,youth_flag,False,0
BI6539,permits_2026_res,11,11.0
BI6539,permits_2026_nr,0,0.0
BI6539,permits_2026_total,11,11.0
BI6539,permit_overlay_source,2026_bison_cow_only.xlsx,hunt_join_2025.1.csv
BR1000,youth_flag,False,0
BR1000,permits_2026_total,1,
BR1000,permit_status,TOTAL_ONLY,MISSING
BR1000,permit_overlay_source,8C1294DD__2025-27_conservation_permits.pdf,
BR1000,data_status,COMPLETE_TOTAL_ONLY,MISSING_STATEWIDE_SOURCE
BR1007,youth_flag,False,0
BR1007,permit_status,NO_QUOTA_PUBLISHED,MISSING
BR1007,permit_overlay_source,2026_black_bear_pursuit.xlsx,
BR1007,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_PURSUIT_SOURCE
CG9999,youth_flag,False,0
CG9999,permits_2026_res,0,
CG9999,permits_2026_nr,0,
CG9999,permits_2026_total,0,
CG9999,permit_status,FULL_SPLIT,MISSING
CG9999,permit_overlay_source,2026_COUGAR_STATEWIDE.xlsx,
CG9999,data_status,COMPLETE,MISSING_STATEWIDE_SOURCE
DA1001,weapon,"Archery, Muzzleloader, Shotgun",Archery
DA1001,youth_flag,False,0
DA1001,permits_2026_total,30,30.0
DA1001,has_harvest,True,1
DA1001,has_bonus_draw,False,0
DA1001,has_antlerless_draw,True,1
DA1001,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1002,weapon,"Archery, Muzzleloader, Shotgun",Archery
DA1002,youth_flag,False,0
DA1002,permits_2026_total,30,30.0
DA1002,has_harvest,True,1
DA1002,has_bonus_draw,False,0
DA1002,has_antlerless_draw,True,1
DA1002,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1003,weapon,"Archery, Muzzleloader, Shotgun",Archery
DA1003,youth_flag,False,0
DA1003,permits_2026_total,15,15.0
DA1003,has_harvest,True,1
DA1003,has_bonus_draw,False,0
DA1003,has_antlerless_draw,True,1
DA1003,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1009,youth_flag,False,0
DA1009,permits_2026_total,25,20.0
DA1009,has_harvest,True,1
DA1009,has_bonus_draw,False,0
DA1009,has_antlerless_draw,True,1
DA1009,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1011,youth_flag,False,0
DA1011,permits_2026_res,,0.0
DA1011,permits_2026_nr,,0.0
DA1011,permits_2026_total,5,0.0
DA1011,permit_status,TOTAL_ONLY,FULL_SPLIT
DA1011,has_harvest,True,1
DA1011,has_bonus_draw,False,0
DA1011,has_antlerless_draw,True,1
DA1011,permit_overlay_source,2026_deer_antlerless_cwmu.csv,25_antlerless_drawing_odds_report.pdf
DA1011,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DA1012,youth_flag,False,0
DA1012,permits_2026_res,,0.0
DA1012,permits_2026_nr,,0.0
DA1012,permits_2026_total,15,0.0
DA1012,permit_status,TOTAL_ONLY,FULL_SPLIT
DA1012,has_harvest,True,1
DA1012,has_bonus_draw,False,0
DA1012,has_antlerless_draw,True,1
DA1012,permit_overlay_source,2026_deer_antlerless_cwmu.csv,25_antlerless_drawing_odds_report.pdf
DA1012,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DA1013,youth_flag,False,0
DA1013,permits_2026_res,,0.0
DA1013,permits_2026_nr,,0.0
DA1013,permits_2026_total,5,0.0
DA1013,permit_status,TOTAL_ONLY,FULL_SPLIT
DA1013,has_harvest,True,1
DA1013,has_bonus_draw,False,0
DA1013,has_antlerless_draw,True,1
DA1013,permit_overlay_source,2026_deer_antlerless_cwmu.csv,25_antlerless_drawing_odds_report.pdf
DA1013,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DA1018,weapon,"Archery, Muzzleloader, Shotgun",Archery
DA1018,youth_flag,False,0
DA1018,permits_2026_total,20,15.0
DA1018,has_harvest,True,1
DA1018,has_bonus_draw,False,0
DA1018,has_antlerless_draw,True,1
DA1018,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1027,youth_flag,False,0
DA1027,permits_2026_total,30,30.0
DA1027,has_harvest,True,1
DA1027,has_bonus_draw,False,0
DA1027,has_antlerless_draw,True,1
DA1027,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1030,youth_flag,False,0
DA1030,permits_2026_total,25,25.0
DA1030,has_harvest,True,1
DA1030,has_bonus_draw,False,0
DA1030,has_antlerless_draw,True,1
DA1030,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1031,youth_flag,False,0
DA1031,permits_2026_total,20,20.0
DA1031,has_harvest,True,1
DA1031,has_bonus_draw,False,0
DA1031,has_antlerless_draw,True,1
DA1031,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1033,youth_flag,False,0
DA1033,permits_2026_total,5,10.0
DA1033,has_harvest,True,1
DA1033,has_bonus_draw,False,0
DA1033,has_antlerless_draw,True,1
DA1033,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1041,youth_flag,False,0
DA1041,permits_2026_total,15,15.0
DA1041,has_harvest,True,1
DA1041,has_bonus_draw,False,0
DA1041,has_antlerless_draw,True,1
DA1041,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1042,youth_flag,False,0
DA1042,permits_2026_total,5,5.0
DA1042,has_harvest,True,1
DA1042,has_bonus_draw,False,0
DA1042,has_antlerless_draw,True,1
DA1042,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1045,youth_flag,False,0
DA1045,permits_2026_total,20,20.0
DA1045,has_harvest,True,1
DA1045,has_bonus_draw,False,0
DA1045,has_antlerless_draw,True,1
DA1045,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1046,weapon,"Archery, Muzzleloader, Shotgun",Archery
DA1046,youth_flag,False,0
DA1046,permits_2026_total,25,25.0
DA1046,has_harvest,True,1
DA1046,has_bonus_draw,False,0
DA1046,has_antlerless_draw,True,1
DA1046,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1047,youth_flag,False,0
DA1047,permits_2026_total,25,25.0
DA1047,has_harvest,True,1
DA1047,has_bonus_draw,False,0
DA1047,has_antlerless_draw,True,1
DA1047,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1048,youth_flag,False,0
DA1048,permits_2026_total,15,15.0
DA1048,has_harvest,True,1
DA1048,has_bonus_draw,False,0
DA1048,has_antlerless_draw,True,1
DA1048,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1049,youth_flag,False,0
DA1049,permits_2026_total,35,35.0
DA1049,has_harvest,True,1
DA1049,has_bonus_draw,False,0
DA1049,has_antlerless_draw,True,1
DA1049,permit_overlay_source,2026_deer_antlerless_general.csv,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf
DA1050,youth_flag,False,0
DA1050,permits_2026_res,,0.0
DA1050,permits_2026_nr,,0.0
DA1050,permits_2026_total,8,0.0
DA1050,permit_status,TOTAL_ONLY,FULL_SPLIT
DA1050,has_harvest,True,1
DA1050,has_bonus_draw,False,0
DA1050,has_antlerless_draw,True,1
DA1050,permit_overlay_source,2026_deer_antlerless_cwmu.csv,25_antlerless_drawing_odds_report.pdf
DA1050,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB0001,youth_flag,False,0
DB0001,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0001,permit_overlay_source,2026_buck_deer_total.pdf,
DB0001,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_TRIBAL_SOURCE
DB0002,youth_flag,False,0
DB0002,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0002,permit_overlay_source,2026_buck_deer_total.pdf,
DB0002,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_TRIBAL_SOURCE
DB0003,youth_flag,False,0
DB0003,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0003,permit_overlay_source,2026_buck_deer_total.pdf,
DB0003,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_TRIBAL_SOURCE
DB0004,youth_flag,False,0
DB0004,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0004,permit_overlay_source,2026_buck_deer_total.pdf,
DB0004,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_TRIBAL_SOURCE
DB0005,youth_flag,False,0
DB0005,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0005,permit_overlay_source,2026_buck_deer_total.pdf,
DB0005,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_TRIBAL_SOURCE
DB0006,youth_flag,False,0
DB0006,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0006,permit_overlay_source,2026_buck_deer_total.pdf,
DB0006,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_TRIBAL_SOURCE
DB0007,youth_flag,False,0
DB0007,permits_2026_total,1,
DB0007,permit_status,TOTAL_ONLY,MISSING
DB0007,has_harvest,True,1
DB0007,has_bonus_draw,False,0
DB0007,has_antlerless_draw,False,0
DB0007,permit_overlay_source,2026_deer_buck_statewide.csv,
DB0007,data_status,COMPLETE_TOTAL_ONLY,MISSING_STATEWIDE_SOURCE
DB0008,sex_type,Hunters Choice,Hunter's Choice
DB0008,youth_flag,False,0
DB0008,permits_2026_total,2000,2000.0
DB0008,has_harvest,True,1
DB0008,has_bonus_draw,False,0
DB0008,has_antlerless_draw,False,0
DB0008,permit_overlay_source,2026_deer_hunter_choice.csv,
DB0009,youth_flag,False,0
DB0009,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0009,has_harvest,True,1
DB0009,has_bonus_draw,False,0
DB0009,has_antlerless_draw,False,0
DB0009,permit_overlay_source,2026_deer_buck_premium_limited_entry.csv,
DB0009,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_SOURCE
DB0010,youth_flag,False,0
DB0010,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0010,permit_overlay_source,2026_buck_deer_total.pdf,
DB0010,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_TRIBAL_SOURCE
DB0011,youth_flag,False,0
DB0011,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0011,permit_overlay_source,2026_buck_deer_total.pdf,
DB0011,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_TRIBAL_SOURCE
DB0012,youth_flag,False,0
DB0012,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0012,permit_overlay_source,2026_buck_deer_total.pdf,
DB0012,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_TRIBAL_SOURCE
DB0013,youth_flag,False,0
DB0013,permit_status,NO_QUOTA_PUBLISHED,MISSING
DB0013,permit_overlay_source,2026_buck_deer_total.pdf,
DB0013,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_TRIBAL_SOURCE
DB1000,youth_flag,False,0
DB1000,permits_2026_res,9,8.0
DB1000,permits_2026_nr,,1.0
DB1000,permits_2026_total,9,9.0
DB1000,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1000,has_harvest,True,1
DB1000,has_bonus_draw,True,1
DB1000,has_antlerless_draw,False,0
DB1000,permit_overlay_source,2026_deer_buck_premium_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1000,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1001,youth_flag,False,0
DB1001,permits_2026_res,29,26.0
DB1001,permits_2026_nr,,3.0
DB1001,permits_2026_total,29,29.0
DB1001,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1001,has_harvest,True,1
DB1001,has_bonus_draw,True,1
DB1001,has_antlerless_draw,False,0
DB1001,permit_overlay_source,2026_deer_buck_premium_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1001,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1002,youth_flag,False,0
DB1002,permits_2026_res,1,1.0
DB1002,permits_2026_nr,,0.0
DB1002,permits_2026_total,1,1.0
DB1002,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1002,has_harvest,True,1
DB1002,has_bonus_draw,True,1
DB1002,has_antlerless_draw,False,0
DB1002,permit_overlay_source,2026_deer_buck_premium_limited_entry.csv,hunt_join_2025.1.csv
DB1002,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1003,youth_flag,False,0
DB1003,permits_2026_res,27,24.0
DB1003,permits_2026_nr,,3.0
DB1003,permits_2026_total,27,27.0
DB1003,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1003,has_harvest,True,1
DB1003,has_bonus_draw,True,1
DB1003,has_antlerless_draw,False,0
DB1003,permit_overlay_source,2026_deer_buck_premium_limited_entry.csv,hunt_join_2025.1.csv
DB1003,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1004,youth_flag,False,0
DB1004,permits_2026_res,83,75.0
DB1004,permits_2026_nr,,8.0
DB1004,permits_2026_total,83,83.0
DB1004,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1004,has_harvest,True,1
DB1004,has_bonus_draw,True,1
DB1004,has_antlerless_draw,False,0
DB1004,permit_overlay_source,2026_deer_buck_premium_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1004,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1005,youth_flag,False,0
DB1005,permits_2026_res,9,8.0
DB1005,permits_2026_nr,,1.0
DB1005,permits_2026_total,9,9.0
DB1005,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1005,has_harvest,True,1
DB1005,has_bonus_draw,True,1
DB1005,has_antlerless_draw,False,0
DB1005,permit_overlay_source,2026_deer_buck_premium_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1005,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1006,youth_flag,False,0
DB1006,permits_2026_res,29,26.0
DB1006,permits_2026_nr,,3.0
DB1006,permits_2026_total,29,29.0
DB1006,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1006,has_harvest,True,1
DB1006,has_bonus_draw,True,1
DB1006,has_antlerless_draw,False,0
DB1006,permit_overlay_source,2026_deer_buck_premium_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1006,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1007,youth_flag,False,0
DB1007,permits_2026_res,1,1.0
DB1007,permits_2026_nr,,0.0
DB1007,permits_2026_total,1,1.0
DB1007,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1007,has_harvest,True,1
DB1007,has_bonus_draw,True,1
DB1007,has_antlerless_draw,False,0
DB1007,permit_overlay_source,2026_deer_buck_premium_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1007,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1008,youth_flag,False,0
DB1008,permits_2026_res,4,3.0
DB1008,permits_2026_nr,,1.0
DB1008,permits_2026_total,4,4.0
DB1008,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1008,has_harvest,True,1
DB1008,has_bonus_draw,True,1
DB1008,has_antlerless_draw,False,0
DB1008,permit_overlay_source,2026_deer_buck_premium_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1008,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1009,youth_flag,False,0
DB1009,permits_2026_res,10,10.0
DB1009,permits_2026_nr,,1.0
DB1009,permits_2026_total,11,11.0
DB1009,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1009,has_harvest,True,1
DB1009,has_bonus_draw,True,1
DB1009,has_antlerless_draw,False,0
DB1009,permit_overlay_source,2026_deer_buck_limited_entry_management_buck.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1009,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1010,youth_flag,False,0
DB1010,permits_2026_res,30,30.0
DB1010,permits_2026_nr,,3.0
DB1010,permits_2026_total,33,33.0
DB1010,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1010,has_harvest,True,1
DB1010,has_bonus_draw,True,1
DB1010,has_antlerless_draw,False,0
DB1010,permit_overlay_source,2026_deer_buck_limited_entry_management_buck.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1010,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1011,youth_flag,False,0
DB1011,permits_2026_res,61,55.0
DB1011,permits_2026_nr,,6.0
DB1011,permits_2026_total,61,61.0
DB1011,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1011,has_harvest,True,1
DB1011,has_bonus_draw,True,1
DB1011,has_antlerless_draw,False,0
DB1011,permit_overlay_source,2026_deer_buck_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1011,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1012,youth_flag,False,0
DB1012,permits_2026_res,13,12.0
DB1012,permits_2026_nr,,1.0
DB1012,permits_2026_total,13,13.0
DB1012,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1012,has_harvest,True,1
DB1012,has_bonus_draw,True,1
DB1012,has_antlerless_draw,False,0
DB1012,permit_overlay_source,2026_deer_buck_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1012,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1013,youth_flag,False,0
DB1013,permits_2026_res,5,5.0
DB1013,permits_2026_nr,,0.0
DB1013,permits_2026_total,5,5.0
DB1013,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1013,has_harvest,True,1
DB1013,has_bonus_draw,True,1
DB1013,has_antlerless_draw,False,0
DB1013,permit_overlay_source,2026_deer_buck_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1013,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1014,youth_flag,False,0
DB1014,permits_2026_res,17,15.0
DB1014,permits_2026_nr,,2.0
DB1014,permits_2026_total,17,17.0
DB1014,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1014,has_harvest,True,1
DB1014,has_bonus_draw,True,1
DB1014,has_antlerless_draw,False,0
DB1014,permit_overlay_source,2026_deer_buck_limited_entry.csv,hunt_join_2025.1.csv; 25_bg-odds.pdf
DB1014,data_status,COMPLETE_TOTAL_ONLY,COMPLETE
DB1015,youth_flag,False,0
DB1015,permits_2026_res,24,22.0
DB1015,permits_2026_nr,,2.0
DB1015,permits_2026_total,24,24.0
DB1015,permit_status,TOTAL_ONLY,FULL_SPLIT
DB1015,has_harvest,True,1
DB1015,has_bonus_draw,True,1
DB1015,has_antlerless_draw,False,0
