"row_number","species","area","condition","average_value","source_row","organization","hunt_class"
"72","Desert Bighorn Sheep","Kaiparowits, Escalante","Any Legal Weapon","71666.67","72","UWSF","UWSF"
"73","Desert Bighorn Sheep","Kaiparowits, West","Any Legal Weapon","77500","73","UWSF","UWSF"
"74","Desert Bighorn Sheep","La Sal, Potash/South Cisco","Any Legal Weapon","60833.33","74","SFW","SFW"
"75","Desert Bighorn Sheep","Pine Valley, Beaver Dam","Any Legal Weapon","73214.29","75","UWSF","UWSF"
"76","Desert Bighorn Sheep","San Rafael, Dirty Devil","Any Legal Weapon","73333.33","76","SCI","SCI"
"77","Desert Bighorn Sheep","San Rafael, South","Any Legal Weapon","60833.33","77","UWSF","UWSF"
"78","Desert Bighorn Sheep","Statewide","Any Legal Weapon","140000","78","SFW","SFW"
"79","Deer","Henry Mtns","Hunter's Choice","104166.67","79","SFW","SFW"
"80","Deer","Henry Mtns","Multiseason","114500","80","MDF","MDF"
"81","Deer","Paunsaugunt","Archery","68333.33","81","NWTF","NWTF"
"82","Deer","Paunsaugunt","Hunter's Choice","74666.67","82","MDF","MDF"
"83","Deer","Paunsaugunt","Hunter's Choice","74666.67","83","SFW","SFW"
"84","Deer","Paunsaugunt","Multiseason","82000","84","SFW","SFW"
"85","Deer","Paunsaugunt","Multiseason","82000","85","SFW","SFW"
"86","Deer","Paunsaugunt","Muzzleloader","40000","86","NWTF","NWTF"
"87","Deer","Paunsaugunt","Muzzleloader","40000","87","MDF","MDF"
"88","Deer","Book Cliffs","Archery","8750","88","WCF","WCF"
"89","Deer","Book Cliffs","Archery","8750","89","UAA","UAA"
"90","Deer","Book Cliffs","Hunter's Choice","20875","90","SFW","SFW"
"91","Deer","Book Cliffs","Hunter's Choice","20875","91","MDF","MDF"
"92","Deer","Book Cliffs","Multiseason","23000","92","SFW","SFW"
"93","Deer","Book Cliffs","Multiseason","23000","93","MDF","MDF"
"94","Deer","Book Cliffs","Muzzleloader","7375","94","UHA","UHA"
"95","Deer","Book Cliffs","Muzzleloader","7375","95","WCF","WCF"
"96","Deer","Diamond Mtn","Archery","11500","96","MDF","MDF"
"97","Deer","Diamond Mtn","Hunter's Choice","12666.67","97","RMEF","RMEF"
"98","Deer","Diamond Mtn","Hunter's Choice","12666.67","98","MDF","MDF"
"99","Deer","Diamond Mtn","Multiseason","14000","99","MDF","MDF"
"100","Deer","Diamond Mtn","Multiseason","14000","100","MDF","MDF"
"101","Deer","Diamond Mtn","Muzzleloader","9666.67","101","SFW","SFW"
"102","Deer","Fillmore, Oak Creek LE","Hunter's Choice","71250","102","MDF","MDF"
"103","Deer","Fillmore, Oak Creek LE","Multiseason","78000","103","MDF","MDF"
"104","Deer","La Sal, Dolores Triangle","Multiseason","30000","104","SCI","SCI"
"105","Deer","San Juan, Elk Ridge","Archery","42000","105","UAA","UAA"
"106","Deer","San Juan, Elk Ridge","Hunter's Choice","60666.67","106","SFW","SFW"
"107","Deer","San Juan, Elk Ridge","Multiseason","67000","107","SFW","SFW"
"108","Deer","San Juan, Elk Ridge","Muzzleloader","42000","108","MDF","MDF"
"109","Deer","West Desert, Vernon","Archery","14350","109","MDF","MDF"
"110","Deer","West Desert, Vernon","Archery","14350","110","SFW","SFW"
"111","Deer","West Desert, Vernon","Hunter's Choice","15416.67","111","SFW","SFW"
"112","Deer","West Desert, Vernon","Hunter's Choice","15416.67","112","SFW","SFW"
"113","Deer","West Desert, Vernon","Multiseason","17000","113","SFW","SFW"
"114","Deer","West Desert, Vernon","Multiseason","17000","114","MDF","MDF"
"115","Deer","West Desert, Vernon","Muzzleloader","14083.33","115","MDF","MDF"
"116","Deer","West Desert, Vernon","Muzzleloader","14083.33","116","DSC","DSC"
"117","Deer","Statewide","","288333.33","117","MDF","MDF"
"118","Elk","Beaver, East","Any Legal Weapon, late","99000","118","SFW","SFW"
"119","Elk","Beaver, East","Archery","74000","119","UAA","UAA"
"120","Elk","Beaver, East","Hunter's Choice","123333.33","120","SFW","SFW"
"121","Elk","Beaver, East","Multiseason","184166.67","121","MDF","MDF"
"122","Elk","Book Cliffs, Bitter Creek/East","Any Legal Weapon, late","11500","122","RMEF","RMEF"
"123","Elk","Book Cliffs, Bitter Creek/East","Archery","15200","123","SFW","SFW"
"124","Elk","Book Cliffs, Bitter Creek/East","Hunter's Choice","14250","124","DSC","DSC"
"125","Elk","Book Cliffs, Bitter Creek/East","Multiseason","17666.67","125","WCF","WCF"
"126","Elk","Boulder","Any Legal Weapon, late","53500","126","MDF","MDF"
"127","Elk","Boulder","Any Legal Weapon, mid","46500","127","SFW","SFW"
"128","Elk","Boulder","Archery","46000","128","SFW","SFW"
"129","Elk","Boulder","Hunter's Choice","66666.67","129","SCI","SCI"
"130","Elk","Boulder","Multiseason","71666.67","130","MDF","MDF"
"131","Elk","Boulder","Muzzleloader","46000","131","SFW","SFW"
"132","Elk","Box Elder, Grouse Creek","Multiseason","13000","132","SFW","SFW"
"133","Elk","Box Elder, Pilot Mtn","Multiseason","13000","133","MDF","MDF"
"134","Elk","Cache, Meadowville","Any Legal Weapon, late","6500","134","RMEF","RMEF"
"135","Elk","Cache, Meadowville","Hunter's Choice","8383.33","135","SCI","SCI"
"136","Elk","Cache, Meadowville","Multiseason","6000","136","RMEF","RMEF"
"137","Elk","Cache, South","Hunter's Choice","27000","137","MDF","MDF"
"138","Elk","Cache, South","Multiseason","23000","138","SFW","SFW"
"139","Elk","Diamond Mtn","Any Legal Weapon, late","17000","139","MDF","MDF"
"140","Elk","Diamond Mtn","Any Legal Weapon, mid","15000","140","RMEF","RMEF"
"141","Elk","Diamond Mtn","Archery","13000","141","MDF","MDF"
"142","Elk","Diamond Mtn","Hunter's Choice","21166.67","142","MDF","MDF"
"143","Elk","Diamond Mtn","Multiseason","24500","143","NWTF","NWTF"
"144","Elk","Fillmore, Pahvant","Any Legal Weapon, late","29000","144","RMEF","RMEF"
"145","Elk","Fillmore, Pahvant","Archery","22000","145","SFW","SFW"
"146","Elk","Fillmore, Pahvant","Hunter's Choice","36416.67","146","SFW","SFW"
"147","Elk","Fillmore, Pahvant","Multiseason","45666.67","147","MDF","MDF"
"148","Elk","Fishlake/Thousand Lakes","Any Legal Weapon, late","21500","148","SFW","SFW"
"149","Elk","Fishlake/Thousand Lakes","Any Legal Weapon, mid","18500","149","SFW","SFW"
"150","Elk","Fishlake/Thousand Lakes","Archery","15500","150","UAA","UAA"
"151","Elk","Fishlake/Thousand Lakes","Hunter's Choice","26625","151","SFW","SFW"
"152","Elk","Fishlake/Thousand Lakes","Hunter's Choice","26625","152","RMEF","RMEF"
"153","Elk","Fishlake/Thousand Lakes","Multiseason","34750","153","SCI","SCI"
"154","Elk","Fishlake/Thousand Lakes","Multiseason","34750","154","MDF","MDF"
"155","Elk","Fishlake/Thousand Lakes","Muzzleloader","18666.67","155","MDF","MDF"
"156","Elk","La Sal, La Sal Mtns","Any Legal Weapon, late","15000","156","RMEF","RMEF"
"157","Elk","La Sal, La Sal Mtns","Any Legal Weapon, mid","13500","157","SFW","SFW"
"158","Elk","La Sal, La Sal Mtns","Archery","15266.67","158","MDF","MDF"
"159","Elk","La Sal, La Sal Mtns","Hunter's Choice","19000","159","MDF","MDF"
"160","Elk","La Sal, La Sal Mtns","Hunter's Choice","19000","160","MDF","MDF"
"161","Elk","La Sal, La Sal Mtns","Multiseason","20833.33","161","MDF","MDF"
"162","Elk","La Sal, La Sal Mtns","Multiseason","20833.33","162","RMEF","RMEF"
"163","Elk","La Sal, La Sal Mtns","Muzzleloader","16000","163","SFW","SFW"
"164","Elk","Manti","Any Legal Weapon, late","28000","164","MDF","MDF"
"165","Elk","Manti","Any Legal Weapon, mid","24500","165","SFW","SFW"
"166","Elk","Manti","Archery","21033.33","166","SFW","SFW"
"167","Elk","Manti","Hunter's Choice","34875","167","UWSF","UWSF"
"168","Elk","Manti","Hunter's Choice","34875","168","MDF","MDF"
"169","Elk","Manti","Multiseason","45000","169","NWTF","NWTF"
"170","Elk","Manti","Multiseason","45000","170","RMEF","RMEF"
"171","Elk","Manti","Muzzleloader","22000","171","MDF","MDF"
"172","Elk","Monroe","Any Legal Weapon, late","52000","172","SCI","SCI"
"173","Elk","Monroe","Archery","39000","173","SFW","SFW"
"174","Elk","Monroe","Hunter's Choice","65000","174","MDF","MDF"
"175","Elk","Monroe","Multiseason","70333.33","175","RMEF","RMEF"
"176","Elk","Mt Dutton","Any Legal Weapon, late","38500","176","RMEF","RMEF"
"177","Elk","Mt Dutton","Archery","29000","177","MDF","MDF"
"178","Elk","Mt Dutton","Hunter's Choice","48250","178","SFW","SFW"
"179","Elk","Mt Dutton","Multiseason","62500","179","MDF","MDF"
"180","Elk","Nebo/San Pitch Mtns","Any Legal Weapon, late","28500","180","SFW","SFW"
"181","Elk","Nebo/San Pitch Mtns","Archery","21500","181","SFW","SFW"
"182","Elk","Nebo/San Pitch Mtns","Hunter's Choice","35500","182","MDF","MDF"
"183","Elk","Nebo/San Pitch Mtns","Multiseason","41666.67","183","NWTF","NWTF"
"184","Elk","North Slope, Three Corners","Multiseason","17666.67","184","NWTF","NWTF"
"185","Elk","Panguitch Lake","Any Legal Weapon, late","48500","185","MDF","MDF"
"186","Elk","Panguitch Lake","Hunter's Choice","60833.33","186","SFW","SFW"
"187","Elk","Panguitch Lake","Multiseason","80666.67","187","MDF","MDF"
"188","Elk","San Juan Bull Elk","Any Legal Weapon, late","53000","188","RMEF","RMEF"
"189","Elk","San Juan Bull Elk","Any Legal Weapon, mid","46500","189","SFW","SFW"
"190","Elk","San Juan Bull Elk","Archery","40166.67","190","MDF","MDF"
"191","Elk","San Juan Bull Elk","Hunter's Choice","66250","191","MDF","MDF"
"192","Elk","San Juan Bull Elk","Multiseason","64000","192","RMEF","RMEF"
"193","Elk","Southwest Desert, South","Any Legal Weapon, late","22500","193","MDF","MDF"
"194","Elk","Southwest Desert, South","Any Legal Weapon, mid","20000","194","SFW","SFW"
"195","Elk","Southwest Desert, South","Archery","20166.67","195","UAA","UAA"
"196","Elk","Southwest Desert, South","Hunter's Choice","28333.33","196","SFW","SFW"
"197","Elk","Southwest Desert, South","Multiseason","38583.33","197","RMEF","RMEF"
"198","Elk","Southwest Desert, South","Multiseason","38583.33","198","MDF","MDF"
"199","Elk","Southwest Desert, South","Muzzleloader","23983.33","199","RMEF","RMEF"
"200","Elk","Wasatch Mtns","Any Legal Weapon, late","22500","200","RMEF","RMEF"
"201","Elk","Wasatch Mtns","Any Legal Weapon, mid","20000","201","SFW","SFW"
"202","Elk","Wasatch Mtns","Archery","8416.67","202","WCF","WCF"
"203","Elk","Wasatch Mtns","Hunter's Choice","28291.67","203","SFW","SFW"
"204","Elk","Wasatch Mtns","Hunter's Choice","28291.67","204","SFW","SFW"
"205","Elk","Wasatch Mtns","Multiseason","33583.33","205","RMEF","RMEF"
"206","Elk","Wasatch Mtns","Multiseason","33583.33","206","MDF","MDF"
"207","Elk","Wasatch Mtns","Muzzleloader","20166.67","207","MDF","MDF"
"208","Elk","Statewide","","195000","208","SFW","SFW"
"209","Moose","Cache","Any Legal Weapon","44666.67","209","UCWF","UCWF"
"210","Moose","North Slope, Summit","Any Legal Weapon","32666.67","210","SCI","SCI"
"211","Moose","North Slope, Summit","Any Legal Weapon","32666.67","211","SFW","SFW"
"212","Moose","Wasatch Mtns/Central Mtns","Any Legal Weapon","35541.67","212","NWTF","NWTF"
"213","Moose","Statewide","","64000","213","RMEF","RMEF"
"214","Mountain Goat","Beaver (early)","Any Legal Weapon, early","32000","214","UWSF","UWSF"
"215","Mountain Goat","High Uintas West","Any Legal Weapon","31000","215","RMEF","RMEF"
"216","Mountain Goat","La Sal, La Sal Mtns","Any Legal Weapon","22666.67","216","SFW","SFW"
"217","Mountain Goat","Nebo","Any Legal Weapon","22666.67","217","UWSF","UWSF"
"218","Mountain Goat","Nebo","Archery","16000","218","UAA","UAA"
"219","Mountain Goat","Wasatch Mtns, Timpanogos","Any Legal Weapon","21666.67","219","SCI","SCI"
"220","Mountain Goat","Statewide","","59166.67","220","SFW","SFW"
"221","Pronghorn","Beaver","Hunter's Choice","5641.67","221","UAA","UAA"
"222","Pronghorn","Beaver","Hunter's Choice","5641.67","222","SFW","SFW"
"223","Pronghorn","Book Cliffs, Bitter Creek","Any Legal Weapon","3275","223","DSC","DSC"
"224","Pronghorn","Book Cliffs, Bitter Creek","Any Legal Weapon","3275","224","SFW","SFW"
"225","Pronghorn","Book Cliffs, Bitter Creek","Any Legal Weapon","3275","225","MDF","MDF"
"226","Pronghorn","Book Cliffs, South","Any Legal Weapon","4833.33","226","NWTF","NWTF"
"227","Pronghorn","Book Cliffs, South","Any Legal Weapon","4833.33","227","MDF","MDF"
"228","Pronghorn","Box Elder, Promontory","Any Legal Weapon","3833.33","228","MDF","MDF"
"229","Pronghorn","Box Elder, Puddle Valley","Any Legal Weapon","4916.67","229","SFW","SFW"
"230","Pronghorn","Box Elder, Snowville","Any Legal Weapon","2858.33","230","SFW","SFW"
"231","Pronghorn","Box Elder, Snowville","Any Legal Weapon","2858.33","231","SFW","SFW"
"232","Pronghorn","Box Elder, West","Any Legal Weapon","2758.33","232","UHA","UHA"
"233","Pronghorn","Box Elder, West","Any Legal Weapon","2758.33","233","SFW","SFW"
"234","Pronghorn","Fillmore, Oak Creek South","Any Legal Weapon","10833.33","234","NWTF","NWTF"
"235","Pronghorn","Fillmore, Oak Creek South","Any Legal Weapon","10833.33","235","SFW","SFW"
"236","Pronghorn","Fillmore, Oak Creek South","Any Legal Weapon","10833.33","236","MDF","MDF"
"237","Pronghorn","La Sal, Potash/South Cisco","Any Legal Weapon","2750","237","UHA","UHA"
"238","Pronghorn","Mt Dutton/Paunsaugunt","Any Legal Weapon","3491.67","238","MDF","MDF"
"239","Pronghorn","Mt Dutton/Paunsaugunt","Any Legal Weapon","3491.67","239","SFW","SFW"
"240","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","4133.33","240","NWTF","NWTF"
"241","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","4133.33","241","WCF","WCF"
"242","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","4133.33","242","MDF","MDF"
"243","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","4133.33","243","NWTF","NWTF"
"244","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","4133.33","244","WCF","WCF"
"245","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","4133.33","245","SFW","SFW"
"246","Pronghorn","Nine Mile, Anthro-Myton Bench","Any Legal Weapon","4133.33","246","NWTF","NWTF"
"247","Pronghorn","Nine Mile, Range Creek","Any Legal Weapon","7416.67","247","NWTF","NWTF"
"248","Pronghorn","North Slope, Summit","Any Legal Weapon","5000","248","MDF","MDF"
"249","Pronghorn","North Slope, Three Corners/West Daggett","Any Legal Weapon","4791.67","249","MDF","MDF"
"250","Pronghorn","North Slope, Three Corners/West Daggett","Any Legal Weapon","4791.67","250","SFW","SFW"
"251","Pronghorn","North Slope, Three Corners/West Daggett","Any Legal Weapon","4791.67","251","SFW","SFW"
"252","Pronghorn","Panguitch Lake/Zion, North","Any Legal Weapon","3583.33","252","SFW","SFW"
"253","Pronghorn","Panguitch Lake/Zion, North","Any Legal Weapon","3583.33","253","MDF","MDF"
"254","Pronghorn","Parker Mtn","Any Legal Weapon","5000","254","MDF","MDF"
"255","Pronghorn","Parker Mtn","Any Legal Weapon","5000","255","SFW","SFW"
"256","Pronghorn","Parker Mtn","Any Legal Weapon","5000","256","SFW","SFW"
"257","Pronghorn","Parker Mtn","Any Legal Weapon","5000","257","SFW","SFW"
"258","Pronghorn","Pine Valley","Any Legal Weapon","4416.67","258","MDF","MDF"
"259","Pronghorn","Pine Valley","Any Legal Weapon","4416.67","259","SFW","SFW"
"260","Pronghorn","San Rafael, North","Any Legal Weapon","10002.78","260","NWTF","NWTF"
"261","Pronghorn","San Rafael, North","Any Legal Weapon","10002.78","261","NWTF","NWTF"
"262","Pronghorn","San Rafael, North","Any Legal Weapon","10002.78","262","SFW","SFW"
"263","Pronghorn","San Rafael, North","Any Legal Weapon","10002.78","263","NWTF","NWTF"
"264","Pronghorn","San Rafael, North","Any Legal Weapon","10002.78","264","SFW","SFW"
"265","Pronghorn","Southwest Desert","Any Legal Weapon","5777.08","265","DSC","DSC"
"266","Pronghorn","Southwest Desert","Any Legal Weapon","5777.08","266","UAA","UAA"
"267","Pronghorn","Southwest Desert","Any Legal Weapon","5777.08","267","NWTF","NWTF"
"268","Pronghorn","Southwest Desert","Any Legal Weapon","5777.08","268","MDF","MDF"
"269","Pronghorn","Southwest Desert","Any Legal Weapon","5777.08","269","NWTF","NWTF"
"270","Pronghorn","Southwest Desert","Any Legal Weapon","5777.08","270","SFW","SFW"
"271","Pronghorn","Southwest Desert","Any Legal Weapon","5777.08","271","MDF","MDF"
"272","Pronghorn","Southwest Desert","Any Legal Weapon","5777.08","272","RMEF","RMEF"
"273","Pronghorn","Vernal","Any Legal Weapon","5388.89","273","WCF","WCF"
"274","Pronghorn","Vernal","Any Legal Weapon","5388.89","274","WCF","WCF"
"275","Pronghorn","Vernal","Any Legal Weapon","5388.89","275","SCI","SCI"
"276","Pronghorn","Vernal","Any Legal Weapon","5388.89","276","MDF","MDF"
"277","Pronghorn","Vernal","Any Legal Weapon","5388.89","277","NWTF","NWTF"
"278","Pronghorn","West Desert, Riverbed","Any Legal Weapon","7458.33","278","NWTF","NWTF"
"279","Pronghorn","West Desert, Riverbed","Any Legal Weapon","7458.33","279","MDF","MDF"
"280","Pronghorn","West Desert, Riverbed","Any Legal Weapon","7458.33","280","SFW","SFW"
"281","Pronghorn","West Desert, Riverbed","Any Legal Weapon","7458.33","281","NWTF","NWTF"
"282","Pronghorn","West Desert, Rush Valley","Any Legal Weapon","4666.67","282","SFW","SFW"
"283","Pronghorn","West Desert, Rush Valley","Any Legal Weapon","4666.67","283","MDF","MDF"
"284","Pronghorn","West Desert, Snake Valley","Any Legal Weapon","5755.56","284","SFW","SFW"
"285","Pronghorn","West Desert, Snake Valley","Any Legal Weapon","5755.56","285","MDF","MDF"
"286","Pronghorn","West Desert, Snake Valley","Any Legal Weapon","5755.56","286","RMEF","RMEF"
"287","Pronghorn","West Desert, Snake Valley","Any Legal Weapon","5755.56","287","SFW","SFW"
"288","Pronghorn","West Desert, Snake Valley","Any Legal Weapon","5755.56","288","SFW","SFW"
"289","Pronghorn","Statewide","","33666.67","289","MDF","MDF"
"290","Rocky Mountain Bighorn Sheep","Book Cliffs, South","Any Legal Weapon","208333.33","290","UWSF","UWSF"
"291","Rocky Mountain Bighorn Sheep","Box Elder, Newfoundland Mtns (early)","Any Legal Weapon","133333.33","291","UWSF","UWSF"
"292","Rocky Mountain Bighorn Sheep","Box Elder, Newfoundland Mtns (late)","Any Legal Weapon","117000","292","UWSF","UWSF"
"293","Rocky Mountain Bighorn Sheep","Fillmore, Oak Creek (late)","Any Legal Weapon","105000","293","UWSF","UWSF"
"294","Rocky Mountain Bighorn Sheep","Nine Mile, Gray Canyon","Any Legal Weapon","225000","294","SFW","SFW"
"295","Rocky Mountain Bighorn Sheep","Statewide","","230000","295","SFW","SFW"
"296","Turkey","Central Area","Multiseason","795.83","296","NWTF","NWTF"
"297","Turkey","Central Area","Multiseason","795.83","297","SFW","SFW"
"298","Turkey","Central Area","Multiseason","795.83","298","SFW","SFW"
"299","Turkey","Central Area","Multiseason","795.83","299","NWTF","NWTF"
"300","Turkey","Central Area","Multiseason","795.83","300","SFW","SFW"
"301","Turkey","Central Area","Multiseason","795.83","301","MDF","MDF"
"302","Turkey","Central Area","Multiseason","795.83","302","SFW","SFW"
"303","Turkey","Central Area","Multiseason","795.83","303","SFW","SFW"
"304","Turkey","Northeastern Area","Multiseason","1038.54","304","WCF","WCF"
"305","Turkey","Northeastern Area","Multiseason","1038.54","305","SFW","SFW"
"306","Turkey","Northeastern Area","Multiseason","1038.54","306","SFW","SFW"
"307","Turkey","Northeastern Area","Multiseason","1038.54","307","SFW","SFW"
"308","Turkey","Northeastern Area","Multiseason","1038.54","308","NWTF","NWTF"
"309","Turkey","Northeastern Area","Multiseason","1038.54","309","SFW","SFW"
"310","Turkey","Northeastern Area","Multiseason","1038.54","310","SFW","SFW"
"311","Turkey","Northeastern Area","Multiseason","1038.54","311","SFW","SFW"
"312","Turkey","Northern Area","Multiseason","519.79","312","DSC","DSC"
"313","Turkey","Northern Area","Multiseason","519.79","313","UHA","UHA"
"314","Turkey","Northern Area","Multiseason","519.79","314","SFW","SFW"
"315","Turkey","Northern Area","Multiseason","519.79","315","WCF","WCF"
"316","Turkey","Northern Area","Multiseason","519.79","316","SFW","SFW"
"317","Turkey","Northern Area","Multiseason","519.79","317","SFW","SFW"
"318","Turkey","Northern Area","Multiseason","519.79","318","SFW","SFW"
"319","Turkey","Northern Area","Multiseason","519.79","319","NWTF","NWTF"
"320","Turkey","Southeastern Area","Multiseason","1037.5","320","NWTF","NWTF"
"321","Turkey","Southeastern Area","Multiseason","1037.5","321","NWTF","NWTF"
"322","Turkey","Southeastern Area","Multiseason","1037.5","322","SFW","SFW"
"323","Turkey","Southeastern Area","Multiseason","1037.5","323","SFW","SFW"
"324","Turkey","Southeastern Area","Multiseason","1037.5","324","SFW","SFW"
"325","Turkey","Southeastern Area","Multiseason","1037.5","325","SFW","SFW"
"326","Turkey","Southeastern Area","Multiseason","1037.5","326","SFW","SFW"
"327","Turkey","Southeastern Area","Multiseason","1037.5","327","NWTF","NWTF"
"328","Turkey","Southern Area","Multiseason","597.92","328","UHA","UHA"
"329","Turkey","Southern Area","Multiseason","597.92","329","MDF","MDF"
