hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,res_permits,non_res_permits,total_permits,permits_2025_res,permits_2025_nr,permits_2025_total,source_file,source_sheet
Fishlake/Thousand Lakes,EB3120,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",10,1,,10,1,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EB3121,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",4,0,,4,0,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EB3122,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",3,0,,3,0,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EB3124,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",15,2,,15,2,,2026 Elk.xlsx,Sheet1
Manti,EB3126,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,175,20,,175,20,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EB3127,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,155,17,,155,17,,2026 Elk.xlsx,Sheet1
"Box Elder, Grouse Creek",EB3128,Bull,Elk,Multiseason,Conservation,"Any Legal Weapon: Sept 16-20, 2026 & Oct 3 - 15, 2026 | Muzz: Sept 21-Oct 2, 2026",,,,,,,2026 Elk.xlsx,Sheet1
"Box Elder, Pilot Mtn",EB3130,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 06 2026,2,0,,2,0,,2026 Elk.xlsx,Sheet1
"Cache, North",EB3132,Bull,Elk,Archery,Limited Entry,Sept 01 2026 - Sept 30 2026,22,2,,22,2,,2026 Elk.xlsx,Sheet1
Barney Top/Kaiparowits,EB3135,Bull,Elk,Archery,Limited Entry,Sept 01 2026 - Sept 30 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
"Southwest Desert, North",EB3136,Bull,Elk,Archery,Limited Entry,Sept 01 2026 - Sept 30 2026,21,2,,21,2,,2026 Elk.xlsx,Sheet1
"West Desert, Deep Creek",EB3137,Bull,Elk,Archery,Limited Entry,Sept 01 2026 - Sept 30 2026,13,2,,13,2,,2026 Elk.xlsx,Sheet1
"Cache, North",EB3139,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,22,2,,22,2,,2026 Elk.xlsx,Sheet1
Barney Top/Kaiparowits,EB3142,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
"Southwest Desert, North",EB3143,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,21,2,,21,2,,2026 Elk.xlsx,Sheet1
"West Desert, Deep Creek",EB3144,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,13,2,,13,2,,2026 Elk.xlsx,Sheet1
Boulder,EB3145,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,31,4,,31,4,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EB3146,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,39,4,,39,4,,2026 Elk.xlsx,Sheet1
"Box Elder, Grouse Creek",EB3147,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,6,1,,6,1,,2026 Elk.xlsx,Sheet1
Boulder,EB3148,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,13,1,,13,1,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EB3149,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,16,2,,16,2,,2026 Elk.xlsx,Sheet1
"Box Elder, Grouse Creek",EB3150,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,12,1,,12,1,,2026 Elk.xlsx,Sheet1
Boulder,EB3151,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,22,2,,22,2,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EB3152,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,26,3,,26,3,,2026 Elk.xlsx,Sheet1
"Box Elder, Grouse Creek",EB3153,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,2,1,,2,1,,2026 Elk.xlsx,Sheet1
Boulder,EB3154,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,19,2,,19,2,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EB3155,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,23,3,,23,3,,2026 Elk.xlsx,Sheet1
Boulder,EB3156,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",4,0,,4,0,,2026 Elk.xlsx,Sheet1
"Southwest Desert, South",EB3157,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",5,0,,5,0,,2026 Elk.xlsx,Sheet1
"Beaver, East",EB3158,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,18,2,,18,2,,2026 Elk.xlsx,Sheet1
"Beaver, East",EB3159,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,27,3,,27,3,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EB3160,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,22,2,,22,2,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EB3161,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,4,1,,4,1,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EB3162,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EB3163,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,14,2,,14,2,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EB3164,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,25,3,,25,3,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EB3165,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",3,0,,3,0,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Bitter Creek/East",EB3166,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,13,1,,13,1,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Little Creek Roadless",EB3167,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,4,1,,4,1,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EB3168,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,4,1,,4,1,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EB3169,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,11,1,,11,1,,2026 Elk.xlsx,Sheet1
"Cache, South",EB3170,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,4,1,,4,1,,2026 Elk.xlsx,Sheet1
"Cache, South",EB3171,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,11,1,,11,1,,2026 Elk.xlsx,Sheet1
Manti,EB3172,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EB3173,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,29,3,,29,3,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EB3174,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,13,2,,13,2,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EB3175,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,12,1,,12,1,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EB3176,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,20,2,,20,2,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EB3177,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,34,4,,34,4,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EB3178,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",4,0,,4,0,,2026 Elk.xlsx,Sheet1
Nebo/San Pitch Mtns,EB3179,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,17,2,,17,2,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EB3180,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,18,2,,18,2,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EB3181,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,22,3,,22,3,,2026 Elk.xlsx,Sheet1
La Sal Mtns,EB3182,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
La Sal Mtns,EB3183,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,42,5,,42,5,,2026 Elk.xlsx,Sheet1
Monroe,EB3184,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,7,1,,7,1,,2026 Elk.xlsx,Sheet1
Monroe,EB3185,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,18,3,,18,3,,2026 Elk.xlsx,Sheet1
Mt Dutton,EB3186,Bull,Elk,Archery,Limited Entry,Nov 28 2026 - Dec 13 2026,13,2,,13,2,,2026 Elk.xlsx,Sheet1
