huntCode,permits,hunters,harvest,percentSuccess,avgDays,avgSatisfaction
EB3069,31,30,24,80,6.5,3.3
EB3072,76,74,50,67.6,3.3,3.7
EB3073,124,123,91,74,4.6,4
EB3077,14,14,13,92.9,5.1,4.2
EB3079,1,1,1,100,2,5
EB3081,7,7,3,42.9,6.6,3.7
EB3083,6,6,4,66.7,6.3,3.5
EB3084,104,104,75,72.1,5.5,3.9
EB3086,13,13,9,69.2,7.5,4.1
EB3087,24,24,14,58.3,5.9,3.9
EB3088,6,6,5,83.3,5.5,4.8
EB3091,4,4,3,75,5.3,4.8
EB3093,12,12,9,75,6.2,4.2
EB3096,55,55,42,76.4,5.3,4
EB3097,17,17,13,76.5,6.5,3.8
EB3098,15,15,10,66.7,6.5,3.8
EB3100,109,108,71,65.7,5.3,3.9
EB3102,4,3,3,100,3.7,4.7
EB3104,1,1,1,100,1,5
EB3105,2,2,2,100,2,5
EB3107,2,2,2,100,50,4
EB3108,23,23,17,73.9,13.3,4.4
EB3110,4,4,2,50,11,3
EB3111,7,7,7,100,10.4,4.7
EB3112,1,1,1,100,23,3
EB3113,3,3,2,66.7,12.3,4.3
EB3115,2,2,2,100,10.5,5
EB3117,3,3,2,66.7,11.5,3.5
EB3120,13,13,9,69.2,19.8,3
EB3121,4,4,4,100,14,4.5
EB3122,4,4,4,100,8.3,4
EB3124,24,24,16,66.7,14.9,3.6
EB3126,208,208,144,69.2,6,3.8
EB3127,215,211,145,68.7,6,3.8
EB3128,2,1,1,100,10,1
EB3130,3,3,0,0,13.7,1.3
EB3132,25,24,9,37.5,12.9,4.1
EB3135,10,9,2,22.2,16.8,2.3
EB3136,19,19,8,42.1,12.9,3.3
EB3137,13,13,8,61.5,10.9,4.3
EB3139,27,27,16,59.3,7.8,3.8
EB3142,10,9,5,55.6,8.7,3.8
EB3143,18,18,13,72.2,9.5,2.9
EB3144,14,14,11,78.6,8.2,3.8
EB3145,32,30,15,50,14.2,3.7
EB3146,43,43,19,44.2,12.7,3.6
EB3147,7,7,6,85.7,2.5,4.2
EB3148,14,14,13,92.9,2.4,4.3
EB3149,18,18,15,83.3,3.3,4.1
EB3150,12,12,10,83.3,5.4,3.8
EB3151,22,22,18,81.8,4.8,4.3
EB3152,30,30,27,90,5.1,3.6
EB3153,3,3,3,100,4.7,4
EB3154,19,19,17,89.5,6.4,3.8
EB3155,27,27,18,66.7,6.9,3.8
EB3156,5,5,4,80,14,3.6
EB3157,7,7,6,85.7,13,4.3
EB3158,15,15,3,20,9.4,3.6
EB3159,28,28,25,89.3,5.3,4.4
EB3160,23,23,10,43.5,12.6,2.9
EB3161,5,5,1,20,10.6,3.6
EB3162,10,10,8,80,3.7,3.9
EB3163,16,16,10,62.5,5.2,4
EB3164,26,26,16,61.5,5.8,3.3
EB3165,4,4,4,100,4.8,3.5
EB3166,13,13,13,100,3.3,4.3
EB3167,4,4,4,100,3.5,5
EB3168,4,3,0,0,4.3,3.3
EB3169,13,13,7,53.8,3.6,3.9
EB3170,4,4,1,25,11.3,3
EB3171,11,10,10,100,5.8,4
EB3173,25,25,6,24,15.3,3.5
EB3174,8,8,5,62.5,8.4,3.3
EB3175,9,9,6,66.7,3.3,4.1
EB3176,18,18,13,72.2,5,4.1
EB3177,27,27,22,81.5,6.1,3.5
EB3178,4,4,3,75,43.7,2.3
EB3179,12,12,9,75,6.3,3.3
EB3180,14,14,2,14.3,9.5,3.2
EB3181,25,25,19,76,4.9,3.8
EB3182,8,7,0,0,8.7,3.3
EB3183,48,47,28,59.6,6.5,3.6
EB3184,7,7,2,28.6,10.2,4.5
EB3185,11,10,8,80,6.3,4.1
EB3186,10,10,2,20,8.4,3.8
EB3187,25,25,18,72,5.8,3.8
EB3188,10,10,6,60,8.4,3.9
EB3189,22,22,19,86.4,6.7,3.6
EB3190,5,5,1,20,11.3,2.3
EB3191,38,38,28,73.7,6.2,4.5
EB3192,12,12,3,25,9.4,3.7
EB3193,10,8,1,12.5,8,3.7
EB3194,35,35,31,88.6,5.4,4
EB3195,5,5,1,20,5.8,3.3
EB3196,18,18,11,61.1,5,2.8
EB3197,8,8,1,12.5,9.5,3.3
EB3198,49,49,34,69.4,5.2,3.2
EB3199,10,8,1,12.5,8.4,3.3
EB3205,9,7,3,42.9,4.5,3.2
EB3208,10,10,9,90,2.7,4.2
EB3209,1,1,1,100,13,2
EB3210,5,5,5,100,2,4.8
EB3500,5,5,4,80,4,4.8
EB3501,11,11,11,100,3.4,5
EB3502,8,8,8,100,8.3,5
EB3503,5,4,3,75,4.5,5
EB3504,10,10,10,100,3.5,4.9
EB3505,16,16,16,100,4.4,4.9
EB3506,11,11,6,54.5,4.4,4.7
EB3508,16,16,16,100,3,4.8
EB3509,23,22,21,95.5,2.9,4.8
EB3511,3,3,2,66.7,4,4
EB3514,118,118,105,89,3.4,5
EB3515,7,7,7,100,4,5
EB3516,22,20,11,55,3.8,4.7
EB3517,30,30,15,50,9.2,4.4
EB3519,26,26,26,100,3.6,4.5
EB3520,19,19,18,94.7,3.1,4.9
EB3521,93,93,70,75.3,3.8,4.4
EB3522,5,5,5,100,4.3,5
EB3523,19,19,16,84.2,2,4.6
EB3524,10,10,6,60,5.9,4.1
EB3525,20,20,20,100,1.9,5
EB3526,9,9,7,77.8,5.2,3.8
EB3527,10,10,10,100,4.6,5
EB3528,5,5,0,0,5.7,1.7
EB3529,10,10,10,100,2.6,5
EB3530,10,10,3,30,4,4
EB3531,15,15,15,100,4.4,4.6
EB3532,5,5,5,100,1,5
EB3533,8,8,8,100,3.6,4.8
EB3536,39,39,17,43.6,6.6,3.6
EB3538,10,10,10,100,4.6,2.9
EB3540,10,10,10,100,2.5,5
EB3541,6,6,5,83.3,9.4,4.2
EB3543,20,20,12,60,3.1,5
EB3544,19,19,19,100,4.2,4.9
EB3545,9,9,9,100,3.2,4.4
EB3546,9,9,9,100,7.5,5
EB3547,9,8,3,37.5,4,4.5
EB3548,8,8,6,75,4.6,4.8
EB3549,8,8,8,100,5.3,5
EB3550,10,10,10,100,3.3,5
EB3551,8,8,8,100,3.4,5
EB3552,9,7,7,100,4,5
EB3553,16,16,16,100,6.8,5
EB3554,11,11,6,54.5,3.5,4
EB3555,13,13,12,92.3,3.7,4.9
EB3557,20,20,19,95,4.3,4.9
EB3558,4,4,4,100,16,4.5
EB3559,10,10,8,80,5.9,4.6
EB3561,50,50,47,94,2.7,4.9
EB3562,10,10,5,50,4.8,4.7
EB3564,19,18,12,66.7,4,4.9
EB3565,7,7,7,100,3.8,4.8
EB3603,7,7,7,100,3.9,4.9
EB3604,10,10,10,100,3.4,4.3
EB3606,6,6,6,100,4.5,5
EB3607,5,5,2,40,7.5,4.5
EB3608,2,2,2,100,3,5
EB3609,18,18,18,100,3.8,4.8
EB3610,16,16,16,100,4.1,4.9
EB3611,17,17,10,58.8,7.1,4.3
EB3613,4,4,4,100,3.7,5
EB3614,8,8,6,75,4.3,3.8
EB3617,5,5,5,100,3.2,4.2
EB3619,99,99,87,87.9,3.4,4.8
EL3000,1,1,1,100,9,5
EL3022,1,1,0,0,20,3
EL3024,6,6,6,100,2,5
EL3033,2,2,2,100,3,5
EL3038,5,5,2,40,3.2,3
EL3039,2,2,0,0,5,1
EL3048,1,1,1,100,2,5
EL3057,1,1,0,0,1,1
EL3065,1,1,1,100,4,4
EL3066,2,2,2,100,2,4.5
EL3068,1,1,1,100,1,3
EL3072,7,7,4,57.1,3.5,4.2
EL3084,2,2,1,50,4.5,3.5
EL3100,1,1,0,0,7,2
EL3126,3,3,3,100,4.7,4
EL3127,6,6,5,83.3,2.7,4.2
EL3144,1,1,1,100,6,5
EL3149,1,1,1,100,3,5
EL3171,1,1,0,0,10,3
EL3175,3,3,3,100,2,4.7
EL3177,2,2,1,50,8,3
EL3181,1,1,0,0,9,3
EL3183,1,1,1,100,9,4
EL3196,1,1,1,100,2,5
EL3198,1,1,0,0,4,2
GO1000,2,2,2,100,1,5
GO6800,10,10,10,100,3,4.8
GO6801,9,9,8,88.9,4.1,3.9
GO6803,19,19,17,89.5,6.3,4.3
GO6804,1,1,1,100,7,3
GO6805,5,5,4,80,3.8,4.4
GO6806,3,3,3,100,2.5,4.5
GO6807,1,1,1,100,6,5
GO6808,12,12,10,83.3,7.7,4.3
GO6810,1,1,1,100,1,5
GO6813,5,5,5,100,4,4.6
GO6814,2,2,2,100,11.5,5
GO6817,12,12,11,91.7,4,4.6
GO6818,3,3,3,100,2.3,4.7
GO6820,11,10,9,90,5.4,4.1
GO6821,12,11,10,90.9,2.7,4.2
GO6822,2,2,0,0,9,2
LD1001,1,1,0,0,5,1
LD1004,1,1,1,100,5,5
LD1006,1,1,0,0,6,2
LD1019,1,1,0,0,9,4
LD1023,1,1,1,100,4,5
LD1108,1,1,0,0,5,3
LO0009,25,25,25,100,2.7,4.3
LO0010,2,2,2,100,4,4
LO0012,12,12,12,100,2,4.3
LO0013,9,9,9,100,3,5
LO0014,5,5,5,100,3.2,5
LO0015,2,2,0,0,7.5,4.5
LO1502,1,1,1,100,5,2
LO1506,1,1,0,0,7,5
LO1511,1,1,0,0,15,3
LO1512,3,3,1,33.3,7.7,1.7
LO1514,2,2,2,100,3.5,5
LO1516,2,2,2,100,10,4
LO1517,1,1,0,0,2,2
LO1524,2,2,0,0,4,3
LO1529,6,6,0,0,6.8,3.3
LO1531,18,18,12,66.7,4.5,4.3
LO1533,22,22,14,63.6,4,3.9
LO1534,5,5,4,80,5.2,4.8
LO1536,34,32,19,59.4,3.3,3.8
LO1540,1,1,0,0,1,3
LO1541,3,3,3,100,3,5
LO1542,13,13,7,53.8,4.9,4.6
LO1544,4,4,4,100,2.8,4.8
LO1546,5,5,2,40,4.8,4.3
LO1547,2,2,2,100,7,5
LO1551,8,8,7,87.5,3,4.2
LO1552,4,4,3,75,1.3,4
LO1553,15,13,8,61.5,3.6,4.3
LO1554,9,9,4,44.4,4,3.4
LO1555,6,6,4,66.7,3.4,5
LO1556,1,1,1,100,3,3
LO1559,29,26,9,34.6,3.3,2.9
LO1572,1,1,1,100,3,5
LO1576,2,2,1,50,3,3.5
LO1581,1,1,0,0,5,2
LO1589,6,6,3,50,5.5,3
LO1591,1,1,1,100,3,1
LO1593,2,2,2,100,1.5,4.5
LO1594,2,2,2,100,5,4
LO1597,12,12,7,58.3,3.4,3.8
LO1598,1,1,0,0,2,4
LO1599,11,10,3,30,2.3,3.7
LO1601,1,1,0,0,4,3
LO1603,11,9,7,77.8,3.9,4.8
LO1607,4,3,0,0,3,2.5
LO1608,1,1,1,100,4,5
LO1613,5,5,0,0,4.8,2.5
LO1614,1,1,1,100,7,5
LO1616,3,3,1,33.3,3.7,4
LO1619,3,3,3,100,4,5
LO1622,6,5,5,100,2.6,4.6
LO1625,1,1,0,0,8,2
LO1627,8,8,6,75,4.4,3.2
LO1631,3,3,0,0,3.5,3
LP5025,1,1,1,100,1,4
LP5031,1,1,1,100,1,5
LP5033,1,1,1,100,1,5
LP5046,1,1,1,100,1,4
LP5049,1,1,1,100,3,3
MA1005,8,8,3,37.5,3.6,3.1
MA1007,3,2,2,100,8,3
MA1008,5,5,5,100,4,4.4
MA1009,1,1,1,100,1,5
MA1010,3,3,3,100,2,5
MB1000,2,2,2,100,11,5
MB6000,16,16,16,100,8.4,4.4
MB6001,3,3,3,100,3.3,4.7
MB6002,5,5,5,100,11,4.2
MB6003,5,5,5,100,5.5,3.8
MB6004,5,5,4,80,10.2,4.4
MB6005,6,6,5,83.3,6.3,4.5
MB6006,26,25,24,96,7.7,4.4
MB6007,8,8,8,100,9.9,3.9
MB6008,7,7,7,100,8,4.7
MB6009,2,2,1,50,8,1
MB6010,5,5,5,100,10.5,5
MB6011,23,23,20,87,11,4.2
MB6012,2,2,2,100,4.5,4.5
MB6200,2,2,2,100,4.5,4.5
MB6202,4,4,4,100,1.7,5
MB6206,3,3,3,100,3.3,5
MB6207,2,2,1,50,2,4.5
MB6208,5,5,5,100,4.3,5
MB6209,2,2,2,100,3,5
MB6211,8,8,8,100,1.8,4.8
MB6217,2,2,2,100,1,5
MB6219,5,5,5,100,2.3,5
MB6220,2,2,2,100,1.5,4.5
MB6222,3,3,3,100,2.7,5
MB6223,2,2,2,100,5.5,4.5
MB6224,2,2,2,100,1,5
MB6225,1,1,0,0,4,4
MB6240,2,2,2,100,4,5
MB6251,2,2,2,100,5.5,4.5
MB6254,1,1,1,100,1,5
MB6256,4,4,4,100,4.3,5
MB6257,1,1,1,100,2,5
MB6258,2,2,2,100,2.5,5
MB6259,3,3,3,100,2.5,5
MB6262,2,2,2,100,3,5
MB6263,1,1,1,100,5,5
MB6266,8,8,8,100,4,4.8
PB1000,2,2,2,100,3,3.5
PB5000,11,9,6,66.7,4.2,4.1
PB5001,14,14,12,85.7,2.5,4.2
PB5002,9,8,7,87.5,5.9,4.3
PB5003,4,2,0,0,11.5,2
PB5004,4,3,3,100,2.3,4.7
PB5005,8,8,5,62.5,5.8,4.8
PB5006,10,10,1,10,5.8,3.2
PB5008,15,15,13,86.7,3.9,4.8
PB5009,6,6,4,66.7,7.3,4.8
PB5011,32,31,29,93.5,3.3,4.2
PB5012,13,13,9,69.2,6.2,3.5
PB5013,8,8,5,62.5,9.5,4
PB5015,21,20,15,75,7.2,4.1
PB5016,19,18,14,77.8,3.1,4
PB5017,20,19,7,36.8,7.1,2.5
PB5018,35,31,28,90.3,5,4.3
PB5019,18,18,17,94.4,2.6,4.5
PB5020,9,9,8,88.9,5.6,4.4
PB5021,23,23,14,60.9,3.2,3.7
PB5024,35,35,25,71.4,3.4,4
PB5025,46,44,40,90.9,1.5,4.2
PB5026,58,56,48,85.7,1.9,3.9
PB5027,36,36,36,100,1.5,4.4
PB5028,17,17,12,70.6,2.1,3.8
PB5029,17,16,14,87.5,2.2,4.1
PB5030,32,32,24,75,2,4.1
PB5031,32,32,26,81.3,2.2,3.9
PB5033,48,47,46,97.9,2.1,4.3
PB5034,2,2,1,50,3.5,3
PB5035,23,23,23,100,1.7,4.5
PB5037,104,100,83,83,2.1,3.7
PB5038,13,13,13,100,1.8,4.8
PB5039,18,17,13,76.5,2.3,3.8
PB5040,40,39,36,92.3,1.7,3.8
PB5041,25,25,25,100,1.7,4.3
PB5042,24,23,16,69.6,2.3,3.6
PB5044,4,4,4,100,1.8,3.5
PB5045,6,6,5,83.3,2.5,4.3
PB5046,71,70,65,92.9,2.2,4.3
PB5047,56,55,50,90.9,2,4
PB5048,71,65,51,78.5,2.2,3.4
PB5049,112,107,92,86,2.4,4
PB5050,78,78,74,94.9,2.1,4.5
PB5051,37,36,34,94.4,1.9,4.4
PB5052,100,99,80,80.8,2.6,3.8
PB5053,3,3,3,100,7,3.5
PB5054,8,7,7,100,2.3,4.5
PB5055,2,1,1,100,2,1
PB5056,23,22,19,86.4,2.9,4.3
PB5059,32,31,23,74.2,2.6,2.9
PB5060,19,18,18,100,1.8,3.4
PB5062,8,8,2,25,4.1,2.9
PB5065,15,14,11,78.6,3,4.2
PB5066,13,12,7,58.3,2.9,3.6
PB5072,22,20,9,45,3.7,3.3
PB5073,6,6,5,83.3,1.7,4.5
PB5074,2,2,0,0,7.5,2.5
PB5075,2,1,1,100,3,1
PB5076,82,77,74,96.1,1.7,4.6
PB5077,56,54,30,55.6,4.6,3.9
PB5078,60,55,38,69.1,2.8,4.2
PB5079,10,9,5,55.6,3.2,3.9
PB5080,10,10,8,80,2,3.7
PB5300,10,10,10,100,1.7,4.2
PB5302,37,37,37,100,1.6,4.8
PB5305,3,3,3,100,2,5
PB5306,2,2,2,100,3.5,5
PB5309,5,5,3,60,2.2,4.2
PB5311,8,8,7,87.5,3.5,4.7
PB5312,1,1,0,0,5,1
PB5314,7,7,7,100,1,5
PB5315,5,5,2,40,2.4,2.4
PB5325,3,3,3,100,1,5
PB5326,2,2,2,100,2,5
PB5327,10,9,9,100,1.6,4.5
PB5328,6,6,5,83.3,2.4,5
PB5329,3,3,3,100,1.5,5
PB5330,4,4,4,100,5,4
PB5331,24,24,21,87.5,2.3,3.6
PB5332,4,4,1,25,9.3,2.8
PB5337,5,5,4,80,2.5,3.5
PB5338,4,4,4,100,3.5,4.5
PB5339,2,2,2,100,2,4
PB5342,5,5,5,100,2.6,4.2
PB5343,2,2,2,100,1,5
PB5345,5,5,5,100,1.5,5
PB5346,2,2,1,50,3,3
PD1000,80,70,33,47.1,3.1,2.9
PD1012,24,16,8,50,2.6,3.1
PD1016,4,4,2,50,2.5,5
PD1017,55,52,33,63.5,2.3,3.6
PD1025,3,3,3,100,1,5
PD1026,4,4,4,100,1.3,5
PD1031,12,12,12,100,1.1,5
PD1033,15,13,7,53.8,2.1,2.8
PD1034,30,30,27,90,1.6,4.4
PD1035,30,27,27,100,1.6,4.3
PD1041,3,3,0,0,1,3
PD1043,10,10,10,100,1,4.5
PD1044,9,7,6,85.7,3.6,2.9
PD1047,10,10,10,100,1,4.6
PD1048,3,2,2,100,1,4.5
PD1049,6,5,1,20,3.4,2.4
PD1050,6,5,5,100,1.6,4.4
PD1051,6,6,5,83.3,1,4.7
PD1052,6,6,5,83.3,4.5,4.3
PD1053,7,6,5,83.3,1.4,4
PD1054,29,20,4,20,3.9,3.9
PD1055,34,30,13,43.3,2.5,3.8
PD1056,37,32,22,68.8,1.6,4.2
PD1057,34,32,29,90.6,1.2,4.5
PD1059,28,23,19,82.6,1.7,4.3
PD1060,39,35,30,85.7,2,3.7
RE1000,5,5,4,80,2,4
RS0001,2,2,2,100,1,5
RS1000,1,1,1,100,2,5
RS1001,1,1,1,100,20,2
RS1003,1,1,1,100,2,5
RS1006,1,1,1,100,15,5
RS6700,1,1,1,100,1,5
RS6701,6,6,6,100,8.3,4.2
RS6703,5,5,5,100,7.8,4.6
RS6704,4,4,4,100,2.5,5
RS6708,3,3,3,100,21,5
RS6709,4,4,4,100,15.8,4.8
RS6712,6,5,5,100,7.8,4.2
RS6713,4,4,4,100,4.7,5
RS6720,4,4,4,100,1.3,4.5
RS6721,3,3,3,100,6,4
RS6722,3,3,2,66.7,14,4
RS6724,2,1,1,100,7.5,5
RS6725,2,2,2,100,9.5,3.5
RS6726,6,6,6,100,2.3,5
