hunt_code,page,section,line,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,split_type,species,hunt_name,hunt_type,weapon,sex_type,access_type,permits_total_2025_main,in_main_file,permits_delta_vs_2025_main,source_pdf
MB6008,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,Ogden Any Legal Weapon MB6008 7 0 7 7 0 7,7,0,7,7,0,7,res_nr_split,Moose,Ogden,OIAL,Any Legal Weapon,Male Only,Public,7,TRUE,0,2026-04-rac-packet.pdf
MB6011,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,Wasatch Mtns/Central Mtns Any Legal Weapon MB6011 19 3 22 19 3 22,19,3,22,19,3,22,res_nr_split,Moose,Wasatch Mtns/Central Mtns,OIAL,Any Legal Weapon,Male Only,Public,23,TRUE,-1,2026-04-rac-packet.pdf
MB6010,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,Yellowstone Any Legal Weapon MB6010 5 0 5 6 0 6,5,0,5,6,0,6,res_nr_split,Moose,Yellowstone,OIAL,Any Legal Weapon,Male Only,Public,5,TRUE,1,2026-04-rac-packet.pdf
GO6800,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,Beaver Any Legal Weapon GO6800 7 2 9 7 2 9,7,2,9,7,2,9,res_nr_split,Mountain Goat,Beaver,OIAL,Any Legal Weapon,Hunter's Choice,Public,10,TRUE,-1,2026-04-rac-packet.pdf
GO6801,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,Beaver Any Legal Weapon GO6801 9 0 9 9 0 9,9,0,9,9,0,9,res_nr_split,Mountain Goat,Beaver,OIAL,Any Legal Weapon,Hunter's Choice,Public,9,TRUE,0,2026-04-rac-packet.pdf
GO6822,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,Beaver Archery GO6822 2 0 2 2 0 2,2,0,2,2,0,2,res_nr_split,Mountain Goat,Beaver,OIAL,Archery,Hunter's Choice,Public,2,TRUE,0,2026-04-rac-packet.pdf
GO6805,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,High Uintas Central Any Legal Weapon GO6805 5 0 5 5 0 5,5,0,5,5,0,5,res_nr_split,Mountain Goat,High Uintas Central,OIAL,Any Legal Weapon,Hunter's Choice,Public,5,TRUE,0,2026-04-rac-packet.pdf
GO6806,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,High Uintas East Any Legal Weapon GO6806 2 0 2 3 0 3,2,0,2,3,0,3,res_nr_split,Mountain Goat,High Uintas East,OIAL,Any Legal Weapon,Hunter's Choice,Public,3,TRUE,0,2026-04-rac-packet.pdf
GO6804,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,High Uintas Kamas Any Legal Weapon GO6804 1 0 1 1 0 1,1,0,1,1,0,1,res_nr_split,Mountain Goat,High Uintas Kamas,OIAL,Any Legal Weapon,Hunter's Choice,Public,1,TRUE,0,2026-04-rac-packet.pdf
GO6807,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,High Uintas Leidy Peak Any Legal Weapon GO6807 1 0 1 2 0 2,1,0,1,2,0,2,res_nr_split,Mountain Goat,High Uintas Leidy Peak,OIAL,Any Legal Weapon,Hunter's Choice,Public,1,TRUE,1,2026-04-rac-packet.pdf
GO6808,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,High Uintas West Any Legal Weapon GO6808 9 2 11 9 2 11,9,2,11,9,2,11,res_nr_split,Mountain Goat,High Uintas West,OIAL,Any Legal Weapon,Hunter's Choice,Public,12,TRUE,-1,2026-04-rac-packet.pdf
GO6817,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,La Sal Mtns Any Legal Weapon GO6817 9 2 11 10 2 12,9,2,11,10,2,12,res_nr_split,Mountain Goat,La Sal Mtns,OIAL,Any Legal Weapon,Hunter's Choice,Public,12,TRUE,0,2026-04-rac-packet.pdf
GO6814,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,Mt Dutton Any Legal Weapon GO6814 2 0 2 2 0 2,2,0,2,2,0,2,res_nr_split,Mountain Goat,Mt Dutton,OIAL,Any Legal Weapon,Hunter's Choice,Public,2,TRUE,0,2026-04-rac-packet.pdf
GO6803,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,Nebo Any Legal Weapon GO6803 16 2 18 21 3 24,16,2,18,21,3,24,res_nr_split,Mountain Goat,Nebo,OIAL,Any Legal Weapon,Hunter's Choice,Public,19,TRUE,5,2026-04-rac-packet.pdf
GO6821,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,Nebo Archery GO6821 12 0 12 12 0 12,12,0,12,12,0,12,res_nr_split,Mountain Goat,Nebo,OIAL,Archery,Hunter's Choice,Public,12,TRUE,0,2026-04-rac-packet.pdf
GO6810,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,"Ogden, Willard Peak Any Legal Weapon GO6810 1 0 1 1 0 1",1,0,1,1,0,1,res_nr_split,Mountain Goat,"Ogden, Willard Peak",OIAL,Any Legal Weapon,Hunter's Choice,Public,1,TRUE,0,2026-04-rac-packet.pdf
GO6818,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,"Wasatch Mtns, Box Elder Peak Any Legal Weapon GO6818 3 0 3 3 0 3",3,0,3,3,0,3,res_nr_split,Mountain Goat,"Wasatch Mtns, Box Elder Peak",OIAL,Any Legal Weapon,Hunter's Choice,Public,3,TRUE,0,2026-04-rac-packet.pdf
GO6819,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,"Wasatch Mtns, Lone Peak Any Legal Weapon GO6819 1 0 1 1 0 1",1,0,1,1,0,1,res_nr_split,Mountain Goat,"Wasatch Mtns, Lone Peak",OIAL,Any Legal Weapon,Hunter's Choice,Public,1,TRUE,0,2026-04-rac-packet.pdf
GO6813,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,"Wasatch Mtns, Provo Peak Any Legal Weapon GO6813 5 0 5 5 0 5",5,0,5,5,0,5,res_nr_split,Mountain Goat,"Wasatch Mtns, Provo Peak",OIAL,Any Legal Weapon,Hunter's Choice,Public,5,TRUE,0,2026-04-rac-packet.pdf
GO6820,17,2026 ONCE-IN-A-LIFETIME MOUNTAIN GOAT PERMITS,"Wasatch Mtns, Timpanogos Any Legal Weapon GO6820 8 2 10 8 2 10",8,2,10,8,2,10,res_nr_split,Mountain Goat,"Wasatch Mtns, Timpanogos",OIAL,Any Legal Weapon,Hunter's Choice,Public,11,TRUE,-1,2026-04-rac-packet.pdf
BI6500,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,Antelope Island Any Legal Weapon BI6500 Hunter’s Choice 2 0 2 2 0 2,2,0,2,2,0,2,res_nr_split,Bison,Antelope Island,OIAL,Any Legal Weapon,Hunter's Choice,Public,2,TRUE,0,2026-04-rac-packet.pdf
BI6536,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,"Book Cliffs, Bitter Creek Any Legal Weapon BI6536 Female Only 3 0 3 15 0 15",3,0,3,15,0,15,res_nr_split,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Female Only,Public,3,TRUE,12,2026-04-rac-packet.pdf
BI6534,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,"Book Cliffs, Bitter Creek Any Legal Weapon BI6534 Hunter’s Choice 5 0 5 10 0 10",5,0,5,10,0,10,res_nr_split,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Hunter's Choice,Public,5,TRUE,5,2026-04-rac-packet.pdf
BI6535,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,"Book Cliffs, Bitter Creek Any Legal Weapon BI6535 Hunter’s Choice 5 0 5 8 0 8",5,0,5,8,0,8,res_nr_split,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Hunter's Choice,Public,5,TRUE,3,2026-04-rac-packet.pdf
BI6532,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,"Book Cliffs, Bitter Creek Archery BI6532 Hunter’s Choice 5 0 5 5 0 5",5,0,5,5,0,5,res_nr_split,Bison,"Book Cliffs, Bitter Creek",OIAL,Archery,Hunter's Choice,Public,4,TRUE,1,2026-04-rac-packet.pdf
BI6529,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,"Book Cliffs, Little Creek/South Any Legal Weapon BI6529 Female Only 8 0 8 8 0 8",8,0,8,8,0,8,res_nr_split,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Female Only,Public,5,TRUE,3,2026-04-rac-packet.pdf
BI6531,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,"Book Cliffs, Little Creek/South Any Legal Weapon BI6531 Hunter’s Choice 8 0 8 10 0 10",8,0,8,10,0,10,res_nr_split,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Hunter's Choice,Public,8,TRUE,2,2026-04-rac-packet.pdf
BI6537,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,"Book Cliffs, Little Creek/South Any Legal Weapon BI6537 Hunter’s Choice 5 5 10 8 7 15",5,5,10,8,7,15,res_nr_split,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Hunter's Choice,Public,11,TRUE,4,2026-04-rac-packet.pdf
BI6528,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,"Book Cliffs, Little Creek/South Archery BI6528 Hunter’s Choice 5 0 5 5 0 5",5,0,5,5,0,5,res_nr_split,Bison,"Book Cliffs, Little Creek/South",OIAL,Archery,Hunter's Choice,Public,5,TRUE,0,2026-04-rac-packet.pdf
BI6505,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,Henry Mtns Any Legal Weapon BI6505 Female Only 25 4 29 8 3 11,25,4,29,8,3,11,res_nr_split,Bison,Henry Mtns,OIAL,Any Legal Weapon,Female Only,Public,28,TRUE,-17,2026-04-rac-packet.pdf
BI6506,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,Henry Mtns Any Legal Weapon BI6506 Female Only 30 0 30 11 0 11,30,0,30,11,0,11,res_nr_split,Bison,Henry Mtns,OIAL,Any Legal Weapon,Female Only,Public,29,TRUE,-18,2026-04-rac-packet.pdf
BI6539,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,Henry Mtns Any Legal Weapon BI6539 Female Only – – – 11 0 11,,,,11,0,11,res_nr_split,Bison,Henry Mtns,OIAL,Any Legal Weapon,Female Only,Public,,FALSE,,2026-04-rac-packet.pdf
BI6503,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,Henry Mtns Any Legal Weapon BI6503 Hunter’s Choice 5 2 7 4 2 6,5,2,7,4,2,6,res_nr_split,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,Public,15,TRUE,-9,2026-04-rac-packet.pdf
BI6504,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,Henry Mtns Any Legal Weapon BI6504 Hunter’s Choice 5 2 7 5 2 7,5,2,7,5,2,7,res_nr_split,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,Public,13,TRUE,-6,2026-04-rac-packet.pdf
BI6516,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,Henry Mtns Any Legal Weapon BI6516 Hunter’s Choice 5 0 5 6 0 6,5,0,5,6,0,6,res_nr_split,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,Public,13,TRUE,-7,2026-04-rac-packet.pdf
BI6509,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,Henry Mtns Archery BI6509 Hunter’s Choice 4 0 4 5 0 5,4,0,4,5,0,5,res_nr_split,Bison,Henry Mtns,OIAL,Archery,Hunter's Choice,Public,3,TRUE,2,2026-04-rac-packet.pdf
DS6626,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"Escalante, East Any Legal Weapon DS6626 5 2 7 5 2 7",5,2,7,5,2,7,res_nr_split,Desert Bighorn Sheep,"Escalante, East",OIAL,Any Legal Weapon,Male Only,Public,7,TRUE,0,2026-04-rac-packet.pdf
DS6627,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"Escalante, West Any Legal Weapon DS6627 3 0 3 3 0 3",3,0,3,3,0,3,res_nr_split,Desert Bighorn Sheep,"Escalante, West",OIAL,Any Legal Weapon,Male Only,Public,3,TRUE,0,2026-04-rac-packet.pdf
DS6600,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,Henry Mtns Any Legal Weapon DS6600 3 0 3 3 0 3,3,0,3,3,0,3,res_nr_split,Desert Bighorn Sheep,Henry Mtns,OIAL,Any Legal Weapon,Male Only,Public,3,TRUE,0,2026-04-rac-packet.pdf
DS6601,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"Kaiparowits, East Any Legal Weapon DS6601 10 2 12 10 3 13",10,2,12,10,3,13,res_nr_split,Desert Bighorn Sheep,"Kaiparowits, East",OIAL,Any Legal Weapon,Male Only,Public,13,TRUE,0,2026-04-rac-packet.pdf
DS6603,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"Kaiparowits, West Any Legal Weapon DS6603 4 1 5 3 1 4",4,1,5,3,1,4,res_nr_split,Desert Bighorn Sheep,"Kaiparowits, West",OIAL,Any Legal Weapon,Male Only,Public,5,TRUE,-1,2026-04-rac-packet.pdf
DS6604,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"La Sal, Potash/South Cisco Any Legal Weapon DS6604 6 0 6 8 0 8",6,0,6,8,0,8,res_nr_split,Desert Bighorn Sheep,"La Sal, Potash/South Cisco",OIAL,Any Legal Weapon,Male Only,Public,7,TRUE,1,2026-04-rac-packet.pdf
DS6625,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,Mineral Mtns Any Legal Weapon DS6625 3 0 3 4 0 4,3,0,3,4,0,4,res_nr_split,Desert Bighorn Sheep,Mineral Mtns,OIAL,Any Legal Weapon,Male Only,Public,3,TRUE,1,2026-04-rac-packet.pdf
DS6621,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"Pine Valley, Beaver Dam Any Legal Weapon DS6621 5 0 5 2 0 2",5,0,5,2,0,2,res_nr_split,Desert Bighorn Sheep,"Pine Valley, Beaver Dam",OIAL,Any Legal Weapon,Male Only,Public,5,TRUE,-3,2026-04-rac-packet.pdf
DS6620,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"Pine Valley, Virgin River Any Legal Weapon DS6620 3 0 3 3 0 3",3,0,3,3,0,3,res_nr_split,Desert Bighorn Sheep,"Pine Valley, Virgin River",OIAL,Any Legal Weapon,Male Only,Public,3,TRUE,0,2026-04-rac-packet.pdf
DS6606,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"San Juan, Lockhart Any Legal Weapon DS6606 2 0 2 2 0 2",2,0,2,2,0,2,res_nr_split,Desert Bighorn Sheep,"San Juan, Lockhart",OIAL,Any Legal Weapon,Male Only,Public,2,TRUE,0,2026-04-rac-packet.pdf
DS6622,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"San Juan, North Any Legal Weapon DS6622 3 0 3 3 0 3",3,0,3,3,0,3,res_nr_split,Desert Bighorn Sheep,"San Juan, North",OIAL,Any Legal Weapon,Male Only,Public,3,TRUE,0,2026-04-rac-packet.pdf
DS6623,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"San Juan, San Juan River Any Legal Weapon DS6623 2 0 2 2 0 2",2,0,2,2,0,2,res_nr_split,Desert Bighorn Sheep,"San Juan, San Juan River",OIAL,Any Legal Weapon,Male Only,Public,2,TRUE,0,2026-04-rac-packet.pdf
DS6607,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"San Juan, South Any Legal Weapon DS6607 2 0 2 2 0 2",2,0,2,2,0,2,res_nr_split,Desert Bighorn Sheep,"San Juan, South",OIAL,Any Legal Weapon,Male Only,Public,2,TRUE,0,2026-04-rac-packet.pdf
DS6608,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"San Rafael, Dirty Devil Any Legal Weapon DS6608 5 2 7 3 1 4",5,2,7,3,1,4,res_nr_split,Desert Bighorn Sheep,"San Rafael, Dirty Devil",OIAL,Any Legal Weapon,Male Only,Public,7,TRUE,-3,2026-04-rac-packet.pdf
DS6624,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"San Rafael, Dirty Devil Archery DS6624 2 0 2 2 0 2",2,0,2,2,0,2,res_nr_split,Desert Bighorn Sheep,"San Rafael, Dirty Devil",OIAL,Archery,Male Only,Public,3,TRUE,-1,2026-04-rac-packet.pdf
DS6609,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"San Rafael, North Any Legal Weapon DS6609 8 0 8 8 0 8",8,0,8,8,0,8,res_nr_split,Desert Bighorn Sheep,"San Rafael, North",OIAL,Any Legal Weapon,Male Only,Public,8,TRUE,0,2026-04-rac-packet.pdf
DS6610,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,"San Rafael, South Any Legal Weapon DS6610 10 2 12 10 2 12",10,2,12,10,2,12,res_nr_split,Desert Bighorn Sheep,"San Rafael, South",OIAL,Any Legal Weapon,Male Only,Public,12,TRUE,0,2026-04-rac-packet.pdf
DS6611,19,2026 ONCE-IN-A-LIFETIME DESERT BIGHORN SHEEP PERMITS,Zion Any Legal Weapon DS6611 3 0 3 3 0 3,3,0,3,3,0,3,res_nr_split,Desert Bighorn Sheep,Zion,OIAL,Any Legal Weapon,Male Only,Public,3,TRUE,0,2026-04-rac-packet.pdf
RS6700,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,Antelope Island Any Legal Weapon RS6700 1 0 1 2 0 2,1,0,1,2,0,2,res_nr_split,Rocky Mountain Bighorn Sheep,Antelope Island,OIAL,Any Legal Weapon,Male Only,Public,1,TRUE,1,2026-04-rac-packet.pdf
RS6701,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Book Cliffs, South Any Legal Weapon RS6701 5 1 6 5 1 6",5,1,6,5,1,6,res_nr_split,Rocky Mountain Bighorn Sheep,"Book Cliffs, South",OIAL,Any Legal Weapon,Male Only,Public,6,TRUE,0,2026-04-rac-packet.pdf
RS6703,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Box Elder, Newfoundland Mtn Any Legal Weapon RS6703 4 0 4 4 0 4",4,0,4,4,0,4,res_nr_split,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",OIAL,Any Legal Weapon,Male Only,Public,5,TRUE,-1,2026-04-rac-packet.pdf
RS6704,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Box Elder, Newfoundland Mtn Any Legal Weapon RS6704 3 1 4 3 1 4",3,1,4,3,1,4,res_nr_split,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",OIAL,Any Legal Weapon,Male Only,Public,4,TRUE,0,2026-04-rac-packet.pdf
RS6722,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Box Elder, Newfoundland Mtn Archery RS6722 2 0 2 2 0 2",2,0,2,2,0,2,res_nr_split,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",OIAL,Archery,Male Only,Public,3,TRUE,-1,2026-04-rac-packet.pdf
RS6720,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Fillmore, Oak Creek Any Legal Weapon RS6720 4 0 4 4 0 4",4,0,4,4,0,4,res_nr_split,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek",OIAL,Any Legal Weapon,Male Only,Public,4,TRUE,0,2026-04-rac-packet.pdf
RS6726,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Fillmore, Oak Creek Any Legal Weapon RS6726 4 1 5 3 1 4",4,1,5,3,1,4,res_nr_split,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek",OIAL,Any Legal Weapon,Male Only,Public,6,TRUE,-2,2026-04-rac-packet.pdf
RS6727,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Fillmore, Oak Creek Archery RS6727 2 0 2 2 0 2",2,0,2,2,0,2,res_nr_split,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek",OIAL,Archery,Male Only,Public,2,TRUE,0,2026-04-rac-packet.pdf
RS6725,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,Nebo Any Legal Weapon RS6725 2 0 2 2 0 2,2,0,2,2,0,2,res_nr_split,Rocky Mountain Bighorn Sheep,Nebo,OIAL,Any Legal Weapon,Male Only,Public,2,TRUE,0,2026-04-rac-packet.pdf
RS6712,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Nine Mile, Gray Canyon Any Legal Weapon RS6712 4 2 6 4 2 6",4,2,6,4,2,6,res_nr_split,Rocky Mountain Bighorn Sheep,"Nine Mile, Gray Canyon",OIAL,Any Legal Weapon,Male Only,Public,6,TRUE,0,2026-04-rac-packet.pdf
RS6713,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Nine Mile, Jack Creek Any Legal Weapon RS6713 4 0 4 4 0 4",4,0,4,4,0,4,res_nr_split,Rocky Mountain Bighorn Sheep,"Nine Mile, Jack Creek",OIAL,Any Legal Weapon,Male Only,Public,4,TRUE,0,2026-04-rac-packet.pdf
RS6709,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"North Slope, Summit/West Daggett Any Legal Weapon RS6709 4 0 4 3 0 3",4,0,4,3,0,3,res_nr_split,Rocky Mountain Bighorn Sheep,"North Slope, Summit/West Daggett",OIAL,Any Legal Weapon,Male Only,Public,4,TRUE,-1,2026-04-rac-packet.pdf
RS6708,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"North Slope, Three Corners Any Legal Weapon RS6708 3 0 3 2 0 2",3,0,3,2,0,2,res_nr_split,Rocky Mountain Bighorn Sheep,"North Slope, Three Corners",OIAL,Any Legal Weapon,Male Only,Public,3,TRUE,-1,2026-04-rac-packet.pdf
RS6721,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Oquirrh-Stansbury, West Any Legal Weapon RS6721 3 0 3 3 0 3",3,0,3,3,0,3,res_nr_split,Rocky Mountain Bighorn Sheep,"Oquirrh-Stansbury, West",OIAL,Any Legal Weapon,Male Only,Public,3,TRUE,0,2026-04-rac-packet.pdf
RS6724,20,2026 ONCE-IN-A-LIFETIME ROCKY MOUNTAIN BIGHORN SHEEP PERMITS,"Wasatch Mtns, West Any Legal Weapon RS6724 2 0 2 3 0 3",2,0,2,3,0,3,res_nr_split,Rocky Mountain Bighorn Sheep,"Wasatch Mtns, West",OIAL,Any Legal Weapon,Male Only,Public,2,TRUE,1,2026-04-rac-packet.pdf
EB3000,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Archery EB3000 22 2 24 22 3 25,22,2,24,22,3,25,res_nr_split,Elk,"Beaver, East",Limited Entry,Archery,Male Only,Public,26,TRUE,-1,2026-04-rac-packet.pdf
EB3024,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Early Any Legal Weapon EB3024 9 1 10 9 1 10,9,1,10,9,1,10,res_nr_split,Elk,"Beaver, East",Limited Entry,Early Any Legal Weapon,Male Only,Public,11,TRUE,-1,2026-04-rac-packet.pdf
EB3159,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Mid Any Legal Weapon EB3159 25 3 28 27 3 30,25,3,28,27,3,30,res_nr_split,Elk,"Beaver, East",Limited Entry,Mid Any Legal Weapon,Male Only,Public,28,TRUE,2,2026-04-rac-packet.pdf
EB3025,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Late Any Legal Weapon EB3025 14 2 16 15 2 17,14,2,16,15,2,17,res_nr_split,Elk,"Beaver, East",Limited Entry,Late Any Legal Weapon,Male Only,Public,17,TRUE,0,2026-04-rac-packet.pdf
EB3102,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Multiseason EB3102 3 0 3 3 0 3,3,0,3,3,0,3,res_nr_split,Elk,"Beaver, East",Limited Entry,Multiseason,Male Only,Public,4,TRUE,-1,2026-04-rac-packet.pdf
EB3077,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Muzzleloader EB3077 13 1 14 13 2 15,13,1,14,13,2,15,res_nr_split,Elk,"Beaver, East",Limited Entry,Muzzleloader,Male Only,Public,14,TRUE,1,2026-04-rac-packet.pdf
EB3160,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Archery EB3160 20 2 22 22 2 24,20,2,22,22,2,24,res_nr_split,Elk,"Book Cliffs, Bitter Creek/East",Limited Entry,Archery,Male Only,Public,23,TRUE,1,2026-04-rac-packet.pdf
EB3162,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Early Any Legal Weapon EB3162 8 1 9 9 1 10,8,1,9,9,1,10,res_nr_split,Elk,"Book Cliffs, Bitter Creek/East",Limited Entry,Early Any Legal Weapon,Male Only,Public,10,TRUE,0,2026-04-rac-packet.pdf
EB3164,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Mid Any Legal Weapon EB3164 23 3 26 25 3 28,23,3,26,25,3,28,res_nr_split,Elk,"Book Cliffs, Bitter Creek/East",Limited Entry,Mid Any Legal Weapon,Male Only,Public,26,TRUE,2,2026-04-rac-packet.pdf
EB3163,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Late Any Legal Weapon EB3163 13 2 15 14 2 16,13,2,15,14,2,16,res_nr_split,Elk,"Book Cliffs, Bitter Creek/East",Limited Entry,Late Any Legal Weapon,Male Only,Public,16,TRUE,0,2026-04-rac-packet.pdf
EB3165,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Multiseason EB3165 3 0 3 3 0 3,3,0,3,3,0,3,res_nr_split,Elk,"Book Cliffs, Bitter Creek/East",Limited Entry,Multiseason,Male Only,Public,4,TRUE,-1,2026-04-rac-packet.pdf
EB3166,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Muzzleloader EB3166 12 1 13 13 1 14,12,1,13,13,1,14,res_nr_split,Elk,"Book Cliffs, Bitter Creek/East",Limited Entry,Muzzleloader,Male Only,Public,13,TRUE,1,2026-04-rac-packet.pdf
EB3002,25,2026 LIMITED ENTRY BULL ELK PERMITS (1 of 5),Archery EB3002 3 0 3 4 0 4,3,0,3,4,0,4,res_nr_split,Elk,"Book Cliffs, Little Creek Roadless",Limited Entry,Archery,Male Only,Public,3,TRUE,1,2026-04-rac-packet.pdf
