hunt_code,display_boundary_id,dwr_boundary_id,dwr_member_boundary_ids,merged_boundary_id,boundary_geometry_type,geometry_status,boundary_geojson_path,boundary_kmz_path,boundary_kml_path,dwr_boundary_link,member_boundary_count
DB1022,DWR_185,185,,,single_kmz,mapped,processed_data/boundaries/DB1022.geojson,,,,0
DB1023,DWR_206,206,,,single_kmz,mapped,processed_data/boundaries/DB1023.geojson,,,,0
DB1024,DWR_248,248,,,single_kmz,mapped,processed_data/boundaries/DB1024.geojson,,,,0
DB1025,DWR_7,7,,,single_kmz,mapped,processed_data/boundaries/DB1025.geojson,,,,0
DB1026,DWR_32,32,,,single_kmz,mapped,processed_data/boundaries/DB1026.geojson,,,,0
DB1028,DWR_804,804,,,single_kmz,mapped,processed_data/boundaries/DB1028.geojson,,,,0
DB1029,DWR_85,85,,,single_kmz,mapped,processed_data/boundaries/DB1029.geojson,,,,0
DB1030,DWR_611,611,,,single_kmz,mapped,processed_data/boundaries/DB1030.geojson,,,,0
DB1031,DWR_108,108,,,single_kmz,mapped,processed_data/boundaries/DB1031.geojson,,,,0
DB1032,DWR_629,629,,,single_kmz,mapped,processed_data/boundaries/DB1032.geojson,,,,0
DB1033,DWR_615,615,,,single_kmz,mapped,processed_data/boundaries/DB1033.geojson,,,,0
DB1034,DWR_636,636,,,single_kmz,mapped,processed_data/boundaries/DB1034.geojson,,,,0
DB1037,DWR_185,185,,,single_kmz,mapped,processed_data/boundaries/DB1037.geojson,,,,0
DB1038,DWR_206,206,,,single_kmz,mapped,processed_data/boundaries/DB1038.geojson,,,,0
DB1039,DWR_613,613,,,single_kmz,mapped,processed_data/boundaries/DB1039.geojson,,,,0
DB1040,DWR_625,625,,,single_kmz,mapped,processed_data/boundaries/DB1040.geojson,,,,0
DB1041,DWR_621,621,,,single_kmz,mapped,processed_data/boundaries/DB1041.geojson,,,,0
DB1042,DWR_248,248,,,single_kmz,mapped,processed_data/boundaries/DB1042.geojson,,,,0
DB1043,DWR_635,635,,,single_kmz,mapped,processed_data/boundaries/DB1043.geojson,,,,0
DB1044,DWR_7,7,,,single_kmz,mapped,processed_data/boundaries/DB1044.geojson,,,,0
DB1045,DWR_85,85,,,single_kmz,mapped,processed_data/boundaries/DB1045.geojson,,,,0
DB1046,DWR_185,185,,,single_kmz,mapped,processed_data/boundaries/DB1046.geojson,,,,0
DB1047,DWR_206,206,,,single_kmz,mapped,processed_data/boundaries/DB1047.geojson,,,,0
DB1048,DWR_248,248,,,single_kmz,mapped,processed_data/boundaries/DB1048.geojson,,,,0
DB1053,DWR_630,630,,,single_kmz,mapped,processed_data/boundaries/DB1053.geojson,,,,0
DB1054,DWR_609,609,,,single_kmz,mapped,processed_data/boundaries/DB1054.geojson,,,,0
DB1055,DWR_633,633,,,single_kmz,mapped,processed_data/boundaries/DB1055.geojson,,,,0
DB1056,DWR_7,7,,,single_kmz,mapped,processed_data/boundaries/DB1056.geojson,,,,0
DB1058,DWR_163,163,,,single_kmz,mapped,processed_data/boundaries/DB1058.geojson,,,,0
DB1065,DWR_612,612,,,single_kmz,mapped,processed_data/boundaries/DB1065.geojson,,,,0
DB1073,DWR_163,163,,,single_kmz,mapped,processed_data/boundaries/DB1073.geojson,,,,0
DB1074,DWR_163,163,,,single_kmz,mapped,processed_data/boundaries/DB1074.geojson,,,,0
DB1075,DWR_7,7,,,single_kmz,mapped,processed_data/boundaries/DB1075.geojson,,,,0
DB1076,DWR_7,7,,,single_kmz,mapped,processed_data/boundaries/DB1076.geojson,,,,0
DB1077,DWR_607,607,,,single_kmz,mapped,processed_data/boundaries/DB1077.geojson,,,,0
DB1078,DWR_29,29,,,single_kmz,mapped,processed_data/boundaries/DB1078.geojson,,,,0
DB1079,DWR_619,619,,,single_kmz,mapped,processed_data/boundaries/DB1079.geojson,,,,0
DB1080,DWR_616,616,,,single_kmz,mapped,processed_data/boundaries/DB1080.geojson,,,,0
DB1081,DWR_617,617,,,single_kmz,mapped,processed_data/boundaries/DB1081.geojson,,,,0
DB1083,DWR_634,634,,,single_kmz,mapped,processed_data/boundaries/DB1083.geojson,,,,0
DB1084,DWR_455,455,,,single_kmz,mapped,processed_data/boundaries/DB1084.geojson,,,,0
DB1085,DWR_618,618,,,single_kmz,mapped,processed_data/boundaries/DB1085.geojson,,,,0
DB1086,DWR_614,614,,,single_kmz,mapped,processed_data/boundaries/DB1086.geojson,,,,0
DB1087,DWR_620,620,,,single_kmz,mapped,processed_data/boundaries/DB1087.geojson,,,,0
DB1090,DWR_301,301,,,single_kmz,mapped,processed_data/boundaries/DB1090.geojson,,,,0
DB1091,DWR_314,314,,,single_kmz,mapped,processed_data/boundaries/DB1091.geojson,,,,0
DB1100,DWR_69,69,,,single_kmz,mapped,processed_data/boundaries/DB1100.geojson,,,,0
DB1101,DWR_276,276,,,single_kmz,mapped,processed_data/boundaries/DB1101.geojson,,,,0
DB1103,DWR_117,117,,,single_kmz,mapped,processed_data/boundaries/DB1103.geojson,,,,0
DB1105,DWR_276,276,,,single_kmz,mapped,processed_data/boundaries/DB1105.geojson,,,,0
DB1106,DWR_632,632,,,single_kmz,mapped,processed_data/boundaries/DB1106.geojson,,,,0
DB1107,DWR_632,632,,,single_kmz,mapped,processed_data/boundaries/DB1107.geojson,,,,0
DB1108,DWR_632,632,,,single_kmz,mapped,processed_data/boundaries/DB1108.geojson,,,,0
DB1109,DWR_632,632,,,single_kmz,mapped,processed_data/boundaries/DB1109.geojson,,,,0
DB1110,DWR_685,685,,,single_kmz,mapped,processed_data/boundaries/DB1110.geojson,,,,0
DB1111,DWR_672,672,,,single_kmz,mapped,processed_data/boundaries/DB1111.geojson,,,,0
DB1112,DWR_926,926,,,single_kmz,mapped,processed_data/boundaries/DB1112.geojson,,,,0
DB1113,DWR_927,927,,,single_kmz,mapped,processed_data/boundaries/DB1113.geojson,,,,0
DB1114,DWR_925,925,,,single_kmz,mapped,processed_data/boundaries/DB1114.geojson,,,,0
DB1115,DWR_928,928,,,single_kmz,mapped,processed_data/boundaries/DB1115.geojson,,,,0
DB1116,DWR_929,929,,,single_kmz,mapped,processed_data/boundaries/DB1116.geojson,,,,0
DB1118,DWR_108,108,,,single_kmz,mapped,processed_data/boundaries/DB1118.geojson,,,,0
DB1119,DWR_930,930,,,single_kmz,mapped,processed_data/boundaries/DB1119.geojson,,,,0
DB1120,DWR_932,932,,,single_kmz,mapped,processed_data/boundaries/DB1120.geojson,,,,0
DB1121,DWR_1,1,,,single_kmz,mapped,processed_data/boundaries/DB1121.geojson,,,,0
DB1200,DWR_526,526,,,single_kmz,mapped,processed_data/boundaries/DB1200.geojson,,,,0
DB1201,DWR_526,526,,,single_kmz,mapped,processed_data/boundaries/DB1201.geojson,,,,0
DB1202,DWR_581,581,,,single_kmz,mapped,processed_data/boundaries/DB1202.geojson,,,,0
DB1203,DWR_599,599,,,single_kmz,mapped,processed_data/boundaries/DB1203.geojson,,,,0
DB1204,DWR_559,559,,,single_kmz,mapped,processed_data/boundaries/DB1204.geojson,,,,0
DB1205,DWR_527,527,,,single_kmz,mapped,processed_data/boundaries/DB1205.geojson,,,,0
DB1206,DWR_582,582,,,single_kmz,mapped,processed_data/boundaries/DB1206.geojson,,,,0
DB1207,DWR_575,575,,,single_kmz,mapped,processed_data/boundaries/DB1207.geojson,,,,0
DB1208,DWR_874,874,,,single_kmz,mapped,processed_data/boundaries/DB1208.geojson,,,,0
DB1209,DWR_500,500,,,single_kmz,mapped,processed_data/boundaries/DB1209.geojson,,,,0
DB1211,DWR_510,510,,,single_kmz,mapped,processed_data/boundaries/DB1211.geojson,,,,0
DB1212,DWR_604,604,,,single_kmz,mapped,processed_data/boundaries/DB1212.geojson,,,,0
DB1213,DWR_529,529,,,single_kmz,mapped,processed_data/boundaries/DB1213.geojson,,,,0
DB1215,DWR_598,598,,,single_kmz,mapped,processed_data/boundaries/DB1215.geojson,,,,0
DB1216,DWR_545,545,,,single_kmz,mapped,processed_data/boundaries/DB1216.geojson,,,,0
DB1217,DWR_560,560,,,single_kmz,mapped,processed_data/boundaries/DB1217.geojson,,,,0
DB1219,DWR_732,732,,,single_kmz,mapped,processed_data/boundaries/DB1219.geojson,,,,0
DB1222,DWR_505,505,,,single_kmz,mapped,processed_data/boundaries/DB1222.geojson,,,,0
DB1224,DWR_640,640,,,single_kmz,mapped,processed_data/boundaries/DB1224.geojson,,,,0
DB1227,DWR_606,606,,,single_kmz,mapped,processed_data/boundaries/DB1227.geojson,,,,0
DB1228,DWR_568,568,,,single_kmz,mapped,processed_data/boundaries/DB1228.geojson,,,,0
DB1229,DWR_733,733,,,single_kmz,mapped,processed_data/boundaries/DB1229.geojson,,,,0
DB1230,DWR_554,554,,,single_kmz,mapped,processed_data/boundaries/DB1230.geojson,,,,0
DB1231,DWR_512,512,,,single_kmz,mapped,processed_data/boundaries/DB1231.geojson,,,,0
DB1232,DWR_567,567,,,single_kmz,mapped,processed_data/boundaries/DB1232.geojson,,,,0
DB1233,DWR_520,520,,,single_kmz,mapped,processed_data/boundaries/DB1233.geojson,,,,0
DB1234,DWR_807,807,,,single_kmz,mapped,processed_data/boundaries/DB1234.geojson,,,,0
DB1236,DWR_519,519,,,single_kmz,mapped,processed_data/boundaries/DB1236.geojson,,,,0
DB1237,DWR_522,522,,,single_kmz,mapped,processed_data/boundaries/DB1237.geojson,,,,0
DB1238,DWR_579,579,,,single_kmz,mapped,processed_data/boundaries/DB1238.geojson,,,,0
DB1239,DWR_514,514,,,single_kmz,mapped,processed_data/boundaries/DB1239.geojson,,,,0
DB1240,DWR_806,806,,,single_kmz,mapped,processed_data/boundaries/DB1240.geojson,,,,0
DB1241,DWR_497,497,,,single_kmz,mapped,processed_data/boundaries/DB1241.geojson,,,,0
DB1242,DWR_525,525,,,single_kmz,mapped,processed_data/boundaries/DB1242.geojson,,,,0
DB1243,DWR_530,530,,,single_kmz,mapped,processed_data/boundaries/DB1243.geojson,,,,0
DB1244,DWR_489,489,,,single_kmz,mapped,processed_data/boundaries/DB1244.geojson,,,,0
DB1245,DWR_573,573,,,single_kmz,mapped,processed_data/boundaries/DB1245.geojson,,,,0
DB1246,DWR_577,577,,,single_kmz,mapped,processed_data/boundaries/DB1246.geojson,,,,0
DB1248,DWR_555,555,,,single_kmz,mapped,processed_data/boundaries/DB1248.geojson,,,,0
DB1249,DWR_550,550,,,single_kmz,mapped,processed_data/boundaries/DB1249.geojson,,,,0
DB1250,DWR_495,495,,,single_kmz,mapped,processed_data/boundaries/DB1250.geojson,,,,0
DB1251,DWR_735,735,,,single_kmz,mapped,processed_data/boundaries/DB1251.geojson,,,,0
DB1252,DWR_493,493,,,single_kmz,mapped,processed_data/boundaries/DB1252.geojson,,,,0
DB1253,DWR_549,549,,,single_kmz,mapped,processed_data/boundaries/DB1253.geojson,,,,0
DB1255,DWR_531,531,,,single_kmz,mapped,processed_data/boundaries/DB1255.geojson,,,,0
DB1256,DWR_589,589,,,single_kmz,mapped,processed_data/boundaries/DB1256.geojson,,,,0
DB1258,DWR_484,484,,,single_kmz,mapped,processed_data/boundaries/DB1258.geojson,,,,0
DB1259,DWR_569,569,,,single_kmz,mapped,processed_data/boundaries/DB1259.geojson,,,,0
DB1260,DWR_565,565,,,single_kmz,mapped,processed_data/boundaries/DB1260.geojson,,,,0
DB1261,DWR_551,551,,,single_kmz,mapped,processed_data/boundaries/DB1261.geojson,,,,0
DB1263,DWR_485,485,,,single_kmz,mapped,processed_data/boundaries/DB1263.geojson,,,,0
DB1264,DWR_518,518,,,single_kmz,mapped,processed_data/boundaries/DB1264.geojson,,,,0
DB1265,DWR_572,572,,,single_kmz,mapped,processed_data/boundaries/DB1265.geojson,,,,0
DB1266,DWR_533,533,,,single_kmz,mapped,processed_data/boundaries/DB1266.geojson,,,,0
DB1269,DWR_513,513,,,single_kmz,mapped,processed_data/boundaries/DB1269.geojson,,,,0
DB1270,DWR_503,503,,,single_kmz,mapped,processed_data/boundaries/DB1270.geojson,,,,0
DB1271,DWR_534,534,,,single_kmz,mapped,processed_data/boundaries/DB1271.geojson,,,,0
DB1272,DWR_535,535,,,single_kmz,mapped,processed_data/boundaries/DB1272.geojson,,,,0
DB1273,DWR_504,504,,,single_kmz,mapped,processed_data/boundaries/DB1273.geojson,,,,0
DB1274,DWR_736,736,,,single_kmz,mapped,processed_data/boundaries/DB1274.geojson,,,,0
DB1275,DWR_592,592,,,single_kmz,mapped,processed_data/boundaries/DB1275.geojson,,,,0
DB1277,DWR_501,501,,,single_kmz,mapped,processed_data/boundaries/DB1277.geojson,,,,0
DB1279,DWR_542,542,,,single_kmz,mapped,processed_data/boundaries/DB1279.geojson,,,,0
DB1280,DWR_502,502,,,single_kmz,mapped,processed_data/boundaries/DB1280.geojson,,,,0
DB1281,DWR_496,496,,,single_kmz,mapped,processed_data/boundaries/DB1281.geojson,,,,0
DB1282,DWR_548,548,,,single_kmz,mapped,processed_data/boundaries/DB1282.geojson,,,,0
DB1283,DWR_543,543,,,single_kmz,mapped,processed_data/boundaries/DB1283.geojson,,,,0
DB1285,DWR_740,740,,,single_kmz,mapped,processed_data/boundaries/DB1285.geojson,,,,0
DB1286,DWR_574,574,,,single_kmz,mapped,processed_data/boundaries/DB1286.geojson,,,,0
DB1287,DWR_539,539,,,single_kmz,mapped,processed_data/boundaries/DB1287.geojson,,,,0
DB1288,DWR_541,541,,,single_kmz,mapped,processed_data/boundaries/DB1288.geojson,,,,0
DB1289,DWR_490,490,,,single_kmz,mapped,processed_data/boundaries/DB1289.geojson,,,,0
DB1290,DWR_578,578,,,single_kmz,mapped,processed_data/boundaries/DB1290.geojson,,,,0
DB1291,DWR_585,585,,,single_kmz,mapped,processed_data/boundaries/DB1291.geojson,,,,0
DB1292,DWR_552,552,,,single_kmz,mapped,processed_data/boundaries/DB1292.geojson,,,,0
DB1293,DWR_491,491,,,single_kmz,mapped,processed_data/boundaries/DB1293.geojson,,,,0
DB1294,DWR_741,741,,,single_kmz,mapped,processed_data/boundaries/DB1294.geojson,,,,0
DB1295,DWR_546,546,,,single_kmz,mapped,processed_data/boundaries/DB1295.geojson,,,,0
DB1298,DWR_562,562,,,single_kmz,mapped,processed_data/boundaries/DB1298.geojson,,,,0
DB1299,DWR_547,547,,,single_kmz,mapped,processed_data/boundaries/DB1299.geojson,,,,0
DB1300,DWR_602,602,,,single_kmz,mapped,processed_data/boundaries/DB1300.geojson,,,,0
DB1301,DWR_553,553,,,single_kmz,mapped,processed_data/boundaries/DB1301.geojson,,,,0
DB1303,DWR_492,492,,,single_kmz,mapped,processed_data/boundaries/DB1303.geojson,,,,0
DB1304,DWR_521,521,,,single_kmz,mapped,processed_data/boundaries/DB1304.geojson,,,,0
DB1305,DWR_586,586,,,single_kmz,mapped,processed_data/boundaries/DB1305.geojson,,,,0
DB1306,DWR_499,499,,,single_kmz,mapped,processed_data/boundaries/DB1306.geojson,,,,0
DB1308,DWR_511,511,,,single_kmz,mapped,processed_data/boundaries/DB1308.geojson,,,,0
DB1309,DWR_805,805,,,single_kmz,mapped,processed_data/boundaries/DB1309.geojson,,,,0
DB1310,DWR_488,488,,,single_kmz,mapped,processed_data/boundaries/DB1310.geojson,,,,0
DB1312,DWR_571,571,,,single_kmz,mapped,processed_data/boundaries/DB1312.geojson,,,,0
DB1317,DWR_580,580,,,single_kmz,mapped,processed_data/boundaries/DB1317.geojson,,,,0
DB1322,DWR_826,826,,,single_kmz,mapped,processed_data/boundaries/DB1322.geojson,,,,0
DB1323,DWR_827,827,,,single_kmz,mapped,processed_data/boundaries/DB1323.geojson,,,,0
DB1325,DWR_516,516,,,single_kmz,mapped,processed_data/boundaries/DB1325.geojson,,,,0
DB1326,DWR_856,856,,,single_kmz,mapped,processed_data/boundaries/DB1326.geojson,,,,0
DB1327,DWR_858,858,,,single_kmz,mapped,processed_data/boundaries/DB1327.geojson,,,,0
DB1328,DWR_494,494,,,single_kmz,mapped,processed_data/boundaries/DB1328.geojson,,,,0
DB1330,DWR_876,876,,,single_kmz,mapped,processed_data/boundaries/DB1330.geojson,,,,0
DB1331,DWR_875,875,,,single_kmz,mapped,processed_data/boundaries/DB1331.geojson,,,,0
DB1332,DWR_874,874,,,single_kmz,mapped,processed_data/boundaries/DB1332.geojson,,,,0
DB1333,DWR_878,878,,,single_kmz,mapped,processed_data/boundaries/DB1333.geojson,,,,0
DB1334,DWR_526,526,,,single_kmz,mapped,processed_data/boundaries/DB1334.geojson,,,,0
DB1335,DWR_892,892,,,single_kmz,mapped,processed_data/boundaries/DB1335.geojson,,,,0
DB1336,DWR_890,890,,,single_kmz,mapped,processed_data/boundaries/DB1336.geojson,,,,0
DB1337,DWR_556,556,,,single_kmz,mapped,processed_data/boundaries/DB1337.geojson,,,,0
DB1341,DWR_908,908,,,single_kmz,mapped,processed_data/boundaries/DB1341.geojson,,,,0
DB1342,DWR_905,905,,,single_kmz,mapped,processed_data/boundaries/DB1342.geojson,,,,0
DB1347,DWR_509,509,,,single_kmz,mapped,processed_data/boundaries/DB1347.geojson,,,,0
DB1349,DWR_524,524,,,single_kmz,mapped,processed_data/boundaries/DB1349.geojson,,,,0
DB1351,DWR_923,923,,,single_kmz,mapped,processed_data/boundaries/DB1351.geojson,,,,0
DB1501,DWR_607,607,,,single_kmz,mapped,processed_data/boundaries/DB1501.geojson,,,,0
DB1502,DWR_29,29,,,single_kmz,mapped,processed_data/boundaries/DB1502.geojson,,,,0
DB1503,DWR_619,619,,,single_kmz,mapped,processed_data/boundaries/DB1503.geojson,,,,0
DB1504,DWR_616,616,,,single_kmz,mapped,processed_data/boundaries/DB1504.geojson,,,,0
DB1506,DWR_804,804,,,single_kmz,mapped,processed_data/boundaries/DB1506.geojson,,,,0
DB1508,DWR_611,611,,,single_kmz,mapped,processed_data/boundaries/DB1508.geojson,,,,0
DB1509,DWR_617,617,,,single_kmz,mapped,processed_data/boundaries/DB1509.geojson,,,,0
DB1510,DWR_629,629,,,single_kmz,mapped,processed_data/boundaries/DB1510.geojson,,,,0
DB1511,DWR_630,630,,,single_kmz,mapped,processed_data/boundaries/DB1511.geojson,,,,0
DB1512,DWR_615,615,,,single_kmz,mapped,processed_data/boundaries/DB1512.geojson,,,,0
DB1513,DWR_612,612,,,single_kmz,mapped,processed_data/boundaries/DB1513.geojson,,,,0
DB1514,DWR_609,609,,,single_kmz,mapped,processed_data/boundaries/DB1514.geojson,,,,0
DB1516,DWR_634,634,,,single_kmz,mapped,processed_data/boundaries/DB1516.geojson,,,,0
DB1517,DWR_636,636,,,single_kmz,mapped,processed_data/boundaries/DB1517.geojson,,,,0
DB1518,DWR_455,455,,,single_kmz,mapped,processed_data/boundaries/DB1518.geojson,,,,0
DB1519,DWR_633,633,,,single_kmz,mapped,processed_data/boundaries/DB1519.geojson,,,,0
DB1521,DWR_618,618,,,single_kmz,mapped,processed_data/boundaries/DB1521.geojson,,,,0
DB1522,DWR_614,614,,,single_kmz,mapped,processed_data/boundaries/DB1522.geojson,,,,0
DB1523,DWR_613,613,,,single_kmz,mapped,processed_data/boundaries/DB1523.geojson,,,,0
