year,hunt_number,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,access_type,permits_res,permits_nr,permits_total,hunters,harvest,success_percent,avg_days,satisfaction,source_type
2025,LO1523,Yellowstone,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1523,Yellowstone,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1524,Southwest Desert,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Public,,,,2.0,0.0,0.0,4.0,3.0,2025 carry-forward / hunt_join_2025
2026,LO1524,Southwest Desert,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1525,"Wasatch Mtns, East",Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1525,"Wasatch Mtns, East",Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1526,"Wasatch Mtns, West",Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1526,"Wasatch Mtns, West",Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1529,Zion,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Public,,,,6.0,0.0,0.0,6.8,3.3,2025 carry-forward / hunt_join_2025
2026,LO1529,Zion,Deer,Male Only,General Season - Private Land Only,Archery,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1531,Box Elder,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,18.0,12.0,66.7,4.5,4.3,2025 carry-forward / hunt_join_2025
2026,LO1531,Box Elder,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1533,Manti/San Rafael,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,22.0,14.0,63.6,4.0,3.9,2025 carry-forward / hunt_join_2025
2026,LO1533,Manti/San Rafael,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1534,Nebo,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,5.0,4.0,80.0,5.2,4.8,2025 carry-forward / hunt_join_2025
2026,LO1534,Nebo,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1536,Fillmore,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,32.0,19.0,59.4,3.3,3.8,2025 carry-forward / hunt_join_2025
2026,LO1536,Fillmore,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1538,Kamas,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1538,Kamas,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1539,"La Sal, La Sal Mtns",Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,LO1539,"La Sal, La Sal Mtns",Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private Land Only,,,,,,,,,2026 official/source build
2025,LO1540,Monroe,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,1.0,0.0,0.0,1.0,3.0,2025 carry-forward / hunt_join_2025
2026,LO1540,Monroe,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1541,Mt Dutton,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,3.0,3.0,100.0,3.0,5.0,2025 carry-forward / hunt_join_2025
2026,LO1541,Mt Dutton,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,,,,,,2026 official/source build
2025,LO1542,Nine Mile,Deer,Male Only,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Public,,,,13.0,7.0,53.8,4.9,4.6,2025 carry-forward / hunt_join_2025
