huntCode,permits,hunters,harvest,percentSuccess,avgDays,avgSatisfaction
EA1063,10,73,62,7.3,16.4,3
EA1064,9,50,40,5.1,23.5,3
EA1069,9,23,20,3.2,44.4,27
EA1073,3,20,11,6,30,27
EA1074,0,4,3,9.3,0,30
EA1077,14,20,19,4.6,76.5,1
EA1080,23,28,27,3.9,84.6,7
EA1081,30,124,112,4.8,27.1,14
EA1082,46,122,106,6.8,43,12
EA1084,0,4,2,11.5,0,20
EA1085,12,100,89,8.2,13.6,17
EA1087,27,98,91,5.9,29.5,17
EA1090,14,48,46,3.2,31.1,5
EA1101,52,84,80,4.2,64.9,20
EA1106,34,193,157,4,21.4,17
EA1110,15,41,35,7.9,42.4,17
EA1111,7,35,27,3.7,28,17
EA1112,8,51,44,6.3,17.9,17
EA1113,9,30,23,4.8,38.9,91
EA1114,17,34,29,5.2,57.7,19
EA1116,0,20,15,7.7,0,29
EA1117,20,177,136,7,14.5,92
EA1118,1,4,3,8.5,50,17
EA1120,4,17,17,3.9,21.4,3
EA1121,6,10,10,2.6,60,4
EA1122,2,5,5,3,40,4
EA1124,3,12,12,2.1,25,3
EA1125,14,20,19,1.8,72.2,1
EA1126,0,5,3,3,0,4
EA1130,1,7,6,5,20,17
EA1131,22,29,29,1.7,75,6
EA1132,24,66,59,4.3,40,6
EA1134,55,110,100,2.2,55.1,4
EA1135,11,19,18,2.1,60,6
EA1137,14,15,14,3.4,100,4
EA1138,11,20,20,3.3,52.6,5
EA1139,4,9,9,3.4,44.4,18
EA1141,9,15,13,3.1,71.4,17
EA1146,4,14,12,3.3,33.3,17
EA1149,0,8,8,7,0,17
EA1153,1,4,4,3,33.3,21
EA1157,21,33,32,2.7,66.7,1
EA1159,1,6,5,2.8,25,94
EA1163,13,26,22,3.3,57.9,3
EA1164,2,6,6,3.2,33.3,4
EA1166,5,16,15,2.5,30.8,3
EA1167,8,10,10,1.9,80,14
EA1168,13,20,17,3.8,80,2
EA1170,10,10,10,1.7,100,14
EA1171,8,10,10,4.9,75,17
EA1172,16,17,17,2.1,93.3,6
EA1174,40,56,53,1.6,76.5,17
EA1175,0,10,9,2.6,0,6
EA1177,4,8,8,4.3,50,95
EA1187,1,15,12,8.7,8.3,30
EA1193,6,19,14,4.7,46.2,2
EA1200,6,10,8,2.3,75,4
EA1203,3,5,5,4.5,50,1
EA1204,0,5,5,3.2,0,2
EA1206,4,10,9,7.5,50,6
EA1209,15,49,44,9.4,34.3,21
EA1217,26,149,129,4.3,20.5,17
EA1222,12,29,26,3.9,45.8,22
EA1223,15,29,24,4.1,60.9,10
EA1228,12,98,78,2.9,14.7,4
EA1229,85,174,159,3.5,53.6,4
EA1234,6,14,14,2.3,41.7,17
EA1235,5,8,7,2.3,71.4,2
