page,hunt,title,r_bonus,r_random,r_total,r_odd_only_class,nr_bonus,nr_random,nr_total,nr_odd_only_class
131,DB1261,Cwmu Buck Deer - Minnie Maud Ridge - Any Legal Weapon,3,2,5,new_rule_odd_to_max,0,0,0,
132,DB1263,Cwmu Buck Deer - Moon Ranch - Any Legal Weapon,0,1,1,,0,0,0,
133,DB1264,Cwmu Buck Deer - Mountain Meadow - Any Legal Weapon,0,1,1,,0,0,0,
134,DB1265,Cwmu Buck Deer - Mountain Top - Any Legal Weapon,1,1,2,,0,0,0,
135,DB1266,Cwmu Buck Deer - Mt Carmel - Any Legal Weapon,2,1,3,new_rule_odd_to_max,0,0,0,
136,DB1269,Cwmu Buck Deer - North Promontory - Any Legal Weapon,0,1,1,,0,0,0,
137,DB1270,Cwmu Buck Deer - Nucor West - Any Legal Weapon,0,1,1,,0,0,0,
138,DB1271,Cwmu Buck Deer - Oak Ranch - Any Legal Weapon,1,1,2,,0,0,0,
139,DB1272,Cwmu Buck Deer - Old Woman Plateau - Any Legal Weapon,2,1,3,new_rule_odd_to_max,0,0,0,
140,DB1273,Cwmu Buck Deer - Park Valley Hereford - Any Legal Weapon,3,3,6,,0,0,0,
141,DB1274,Cwmu Buck Deer - Patmos Ridge - Any Legal Weapon,0,1,1,,0,0,0,
142,DB1275,Cwmu Buck Deer - Pine Canyon -An y Legal Weapon,1,1,2,,0,0,0,
143,DB1277,Cwmu Buck Deer - Pocatello Valley - Any Legal Weapon,0,1,1,,0,0,0,
144,DB1279,Cwmu Buck Deer - Preston Nutter Ranch - Any Legal Weapon,0,1,1,,0,0,0,
145,DB1280,Cwmu Buck Deer - Promontory Point - Any Legal Weapon,0,1,1,,0,0,0,
146,DB1281,Cwmu Buck Deer - Rattlesnake Pass -An y Legal Weapon,1,1,2,,0,0,0,
147,DB1282,Cwmu Buck Deer - Redd Ranches - Any Legal Weapon,1,1,2,,0,0,0,
148,DB1283,Cwmu Buck Deer - Roan Cliffs - Any Legal Weapon,0,1,1,,0,0,0,
149,DB1285,Cwmu Buck Deer - Sand Creek - Any Legal Weapon,0,1,1,,0,0,0,
150,DB1286,Cwmu Buck Deer - Pisgah Mountain - Any Legal Weapon,1,1,2,,0,0,0,
151,DB1287,Cwmu Buck Deer - Scofield Canyons - Any Legal Weapon,0,1,1,,0,0,0,
152,DB1288,Cwmu Buck Deer - Scofield West - Any Legal Weapon,1,1,2,,0,0,0,
153,DB1289,Cwmu Buck Deer - Sharp Mountain - Any Legal Weapon,1,1,2,,0,0,0,
154,DB1290,Cwmu Buck Deer - Skull Crack - Any Legal Weapon,0,1,1,,0,0,0,
155,DB1291,Cwmu Buck Deer - Skull Valley South - Any Legal Weapon,0,1,1,,0,0,0,
156,DB1292,Cwmu Buck Deer - Soldier Summit - Any Legal Weapon,1,1,2,,0,0,0,
157,DB1293,Cwmu Buck Deer - South Canyon - Any Legal Weapon,0,1,1,,0,0,0,
158,DB1294,Cwmu Buck Deer - Spring Creek Acres - Any Legal Weapon,0,1,1,,0,0,0,
159,DB1295,Cwmu Buck Deer - Spring Creek/dodge - Any Legal Weapon,3,3,6,,0,0,0,
160,DB1298,Cwmu Buck Deer - Strawberry Ridge - Any Legal Weapon,0,1,1,,0,0,0,
161,DB1299,Cwmu Buck Deer - Summit Point - Any Legal Weapon,2,1,3,new_rule_odd_to_max,0,0,0,
162,DB1300,Cwmu Buck Deer - Thatcher Mountain - Any Legal Weapon,0,1,1,,0,0,0,
163,DB1301,Cwmu Buck Deer - Three C - Any Legal Weapon,1,1,2,,0,0,0,
164,DB1303,Cwmu Buck Deer - North Peaks - Any Legal Weapon,0,1,1,,0,0,0,
165,DB1304,Cwmu Buck Deer - Two Bear - Any Legal Weapon,0,1,1,,0,0,0,
166,DB1305,Cwmu Buck Deer - Wallsburg - Any Legal Weapon,0,1,1,,0,0,0,
167,DB1306,Cwmu Buck Deer - Washakie - Any Legal Weapon,0,1,1,,0,0,0,
168,DB1308,Cwmu Buck Deer - West Hills - Any Legal Weapon,1,1,2,,0,0,0,
169,DB1309,Cwmu Buck Deer - West Willow Creek Ranch -An y Legal Weapon,3,2,5,new_rule_odd_to_max,0,0,0,
170,DB1310,Cwmu Buck Deer - White's Valley - Any Legal Weapon,1,1,2,,0,0,0,
171,DB1312,Cwmu Buck Deer - Woodruff Creek South - Any Legal Weapon,0,1,1,,0,0,0,
172,DB1317,Cwmu Buck Deer - Jacob's Creek - Any Legal Weapon,0,1,1,,0,0,0,
173,DB1320,Cwmu Buck Deer - Deer Creek - Any Legal Weapon,0,1,1,,0,0,0,
174,DB1322,Cwmu Buck Deer - Pahvant Ensign - Any Legal Weapon,0,1,1,,0,0,0,
175,DB1323,Cwmu Buck Deer - Rock House - Any Legal Weapon,0,1,1,,0,0,0,
176,DB1324,Cwmu Buck Deer - Royal Ivory Outfitters - Any Legal Weapon,0,1,1,,0,0,0,
177,DB1325,Cwmu Buck Deer - Double Cone - Any Legal Weapon,0,1,1,,0,0,0,
178,DB1326,Cwmu Buck Deer - Rosette - Any Legal Weapon,0,1,1,,0,0,0,
179,DB1327,Cwmu Buck Deer - Mountain Sky Ranch - Any Legal Weapon,0,1,1,,0,0,0,
180,DB1328,Cwmu Buck Deer - Clear Creek - Any Legal Weapon,0,1,1,,0,0,0,
181,DB1330,Cwmu Buck Deer - Iron Spring - Any Legal Weapon,0,1,1,,0,0,0,
182,DB1331,Cwmu Buck Deer - Raft River - Any Legal Weapon,1,1,2,,0,0,0,
183,DB1332,Cwmu Buck Deer - West Ridge - Any Legal Weapon,3,2,5,new_rule_odd_to_max,0,0,0,
184,DB1333,Cwmu Buck Deer - 5s - Any Legal Weapon,1,1,2,,0,0,0,
185,DB1334,Cwmu Cactus Buck Deer - Alton - Any Legal Weapon,0,1,1,,0,0,0,
186,DB1335,Cwmu Buck Deer - Big Piney Ranch - Any Legal Weapon,0,1,1,,0,0,0,
187,DB1336,Cwmu Buck Deer - First Light - Any Legal Weapon,0,1,1,,0,0,0,
188,DB1337,Cwmu Buck Deer - Little Pole Canyon - Any Legal Weapon,0,1,1,,0,0,0,
189,DB1341,Cwmu Buck Deer - Dry Creek - Any Legal Weapon,0,1,1,,0,0,0,
190,DB1342,Cwmu Buck Deer - Faust Valley - Any Legal Weapon,0,1,1,,0,0,0,
191,DB1343,Cwmu Buck Deer - Red Iron - Any Legal Weapon,0,1,1,,0,0,0,
192,DB1344,Cwmu Buck Deer - Salt Wells - Any Legal Weapon,0,1,1,,0,0,0,
193,DB1345,Cwmu Buck Deer - Diamond Mountain Cwmu - Any Legal Weapon,0,1,1,,0,0,0,
194,DB1347,Cwmu Buck Deer - The Rose Of Snowville - Any Legal Weapon,1,1,2,,0,0,0,
195,DB1348,Cwmu Buck Deer - Kimberly -An y Legal Weapon,0,1,1,,0,0,0,
196,DB1349,Cwmu Buck Deer - Weber Florence Creek/stillman Creek - Any Legal Weapon,5,4,9,new_rule_odd_to_max,0,0,0,
