hunt_code,species,sex_type,hunt_type,weapon,hunt_class,hunt_name,season,access_type,eligibility_class,draw_family,youth_flag,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,has_harvest,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status
DA1011,Deer,Antlerless,CWMU,Any Legal Weapon,CWMU,George Creek CWMU,Contact operator for 2025 season dates,CWMU,STANDARD,ANTLERLESS,False,4.0,0.0,4.0,0.0,0.0,0.0,FULL_SPLIT,True,5.0,4.0,80.0,1.4,4.6,False,True,antlerless deer.xlsx,25_antlerless_drawing_odds_report.pdf,official_uploaded_source,COMPLETE
DA1012,Deer,Antlerless,CWMU,Any Legal Weapon,CWMU,Junction Valley CWMU,Contact operator for 2025 season dates,CWMU,STANDARD,ANTLERLESS,False,12.0,0.0,12.0,0.0,0.0,0.0,FULL_SPLIT,True,14.0,14.0,100.0,1.8,5.0,False,True,antlerless deer.xlsx,25_antlerless_drawing_odds_report.pdf,official_uploaded_source,COMPLETE
DA1013,Deer,Antlerless,CWMU,Any Legal Weapon,CWMU,Mt Carmel CWMU,Contact operator for 2025 season dates,CWMU,STANDARD,ANTLERLESS,False,4.0,0.0,4.0,0.0,0.0,0.0,FULL_SPLIT,True,4.0,3.0,75.0,2.0,4.8,False,True,antlerless deer.xlsx,25_antlerless_drawing_odds_report.pdf,official_uploaded_source,COMPLETE
DA1050,Deer,Antlerless,CWMU,Any Legal Weapon,CWMU,The Rose of Snowville CWMU,Contact operator for 2025 season dates,CWMU,STANDARD,ANTLERLESS,False,7.0,0.0,7.0,0.0,0.0,0.0,FULL_SPLIT,True,8.0,6.0,75.0,1.0,4.0,False,True,antlerless deer.xlsx,25_antlerless_drawing_odds_report.pdf,official_uploaded_source,COMPLETE
DB1200,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Alton - Premium Buck CWMU,Contact operator for 2026 season dates,CWMU,STANDARD,NONE,False,3.0,0.0,3.0,0.0,0.0,0.0,FULL_SPLIT,True,20.0,18.0,90.0,5.0,4.7,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1201,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Alton - Management Buck CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,5.0,5.0,100.0,2.6,4.8,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1202,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Antelope Creek CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,2.0,1.0,50.0,7.0,3.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1203,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Avintaquin Canyon CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,2.0,2.0,100.0,2.0,5.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1204,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Bally Watts CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,9.0,7.0,77.8,1.8,5.0,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
DB1205,Deer,Buck,CWMU,Any Legal Weapon,CWMU,Bar J Ranch CWMU,Contact Operator for 2026 season dates,CWMU,STANDARD,NONE,False,1.0,0.0,1.0,0.0,0.0,0.0,FULL_SPLIT,True,4.0,2.0,50.0,3.5,3.5,True,False,buck_deer.xlsx,25_bg-odds.pdf,official_uploaded_source,COMPLETE
