boundary_id,hunt_number,hunt_name,species,gender,weapon,hunt_type,years,season_date_text,quota_total,quota_resident,quota_nonresident,source
7,BR1011,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Late Summer,2026,"July 18 - July 31, 2026",28,26,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
7,BR1015,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Spring,2026,"March 28 - May 25, 2026",2,0,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
7,DB0007,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
7,DB1011,Book Cliffs,Deer,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,61,55,6,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
7,DB1025,Book Cliffs,Deer,Buck,Muzzleloader,Limited Entry,2026,Sept 23 2026 - Oct 01 2026,61,55,6,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
7,DB1044,Book Cliffs ,Deer,Buck,Multiseason,Limited Entry,2026,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",9,8,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
8,CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,2023,  ,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
8,PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
11,DA1030,"Nine Mile, Price River Valley",Deer,Antlerless,Archery,General Season,2025,Aug 16 2025 - Sep 12 2025,25,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
11,DA1046,"Nine Mile, Price River Valley",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,2025,Sep 13 2025 - Oct 12 2025,25,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,BR1000,Black Bear - Statewide Permit,Black Bear,Either Sex,Any Legal Weapon,Statewide,2026,Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,BR7102,"Book Cliffs, Little Creek Roadless",Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,2026,"May 25 - June 28, 2026",5,5,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,BR7224,"Book Cliffs, Little Creek Roadless",Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,2026,"March 28 - May 25, 2026",15,14,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,BR7225,"Book Cliffs, Little Creek Roadless",Black Bear,Either Sex,Any Legal Weapon,Spot and Stalk,2026,"Sept. 1 - Nov. 8, 2026",5,5,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,BR7301,"Book Cliffs, Little Creek Roadless",Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,2026,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,5,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB1000,Elk - Statewide Permit,Elk,Bull,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB1003,Spike Only Units,Elk,Bull,Any Legal Weapon,General Season - Spike Bull,2025,Oct 04 2025 - Oct 16 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB1004,Spike Only Units,Elk,Bull,Muzzleloader,General Season - Spike Bull,2025,Oct 29 2025 - Nov 06 2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB1005,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,2025,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) ",,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB1009,Spike Only Elk Units - Multiseason,Elk,Bull,Multiseason,General Season - Spike Bull,2025,"Spike Archery: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) Any Bull Archery: Aug 16-Sept 17, 2025 |  ALW: Oct 4 - 16, 2025 | Muzz: Oct 29-Nov 6, 2025",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB1011,Youth General Season Bull Elk,Elk,Bull,Any Legal Weapon,General Season - Youth,2025,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB3002,"Book Cliffs, Little Creek Roadless",Elk,Bull,Archery,Limited Entry,2026,Aug 15 2026 - Sept 15 2026,4,4,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB3028,"Book Cliffs, Little Creek Roadless",Elk,Bull,Any Legal Weapon,Limited Entry,2026,Sept 16 2026 - Sept 20 2026,3,3,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB3079,"Book Cliffs, Little Creek Roadless",Elk,Bull,Muzzleloader,Limited Entry,2026,Sept 21 2026 - Oct 02 2026,2,2,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB3104,"Book Cliffs, Little Creek Roadless",Elk,Bull,Multiseason,Limited Entry,2026,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",1,1,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EB3167,"Book Cliffs, Little Creek Roadless",Elk,Bull,Any Legal Weapon,Limited Entry,2026,Oct 03 2026 - Oct 15 2026,5,4,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EL3002,"Book Cliffs, Little Creek Roadless",Elk,Bull,Archery,Limited Entry - Private Land Only,2025,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EL3028,"Book Cliffs, Little Creek Roadless",Elk,Bull,Any Legal Weapon,Limited Entry - Private Land Only,2025,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EL3079,"Book Cliffs, Little Creek Roadless",Elk,Bull,Muzzleloader,Limited Entry - Private Land Only,2025,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
12,EL3167,"Book Cliffs, Little Creek Roadless",Elk,Bull,Any Legal Weapon,Limited Entry - Private Land Only,2025,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,DB0007,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,DB1018,"Book Cliffs, South",Deer,Buck,Any Legal Weapon,Limited Entry,2026,Oct 17 2026 - Oct 25 2026,38,34,4,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,DB1056,Book Cliffs (North & South),Deer,Buck,Any Legal Weapon,Conservation,2026,"Oct 17, 2026 - Oct 25, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,DB1075,Book Cliffs (North & South),Deer,Buck,Archery,Conservation,2025,Aug 16 2025 - Sept 12 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,DB1076,Book Cliffs (North & South),Deer,Buck,Muzzleloader,Conservation,2025,Sept 24 2025 - Oct 02 2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,PB5002,"Book Cliffs, South",Pronghorn,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,9,8,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,PB5027,"Book Cliffs, South",Pronghorn,Buck,Any Legal Weapon,Limited Entry,2026,Sept 12 2026 - Sept 20 2026,38,34,4,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,RS0001,Rocky Mountain Bighorn Sheep - Statewide Permit,Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Statewide,2026,"Sept 1 - Dec 31, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,RS1001,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,2025,"Nov 1 - Dec 31, 2025",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
15,RS6701,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,2026,Oct 31 2026 - Nov 30 2026,6,5,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
16,CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,2023,  ,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
17,EB1000,Elk - Statewide Permit,Elk,Bull,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
18,EA1266,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,General Season,2025,Aug 01 2025 - Jan 31 2026,20,18,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
18,EA2026,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,Private Lands Only,2025,Aug 01 2025 - Jan 31 2026,200,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
18,EB1001,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,2025,Oct 04 2025 - Oct 10 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
18,EB1002,Any Bull Elk Units,Elk,Bull,Muzzleloader,General Season - Any Bull,2025,Oct 29 2025 - Nov 06 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
18,EB1005,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,2025,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) ",,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
18,EB1007,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,Bull,Any Legal Weapon,General Season - Any Bull,2026,Sept 12 2026 - Sept 22 2026,750,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
18,EB1010,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,2025,Oct 11 2025 - Oct 17 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
18,EB1011,Youth General Season Bull Elk,Elk,Bull,Any Legal Weapon,General Season - Youth,2025,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
20,RE1000,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Ewe,Any Legal Weapon,General Season,2025,Sep 08 2025 - Sep 16 2025,5,4,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
20,RS0001,Rocky Mountain Bighorn Sheep - Statewide Permit,Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Statewide,2026,"Sept 1 - Dec 31, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
20,RS1003,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,2025,"Oct 25 - Dec 31, 2025",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
20,RS6703,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,2026,Oct 03 2026 - Oct 23 2026,4,4,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
20,RS6704,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,2026,Oct 24 2026 - Nov 13 2026,4,3,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
20,RS6722,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Male Only,Archery,Once-in-a-lifetime,2026,Nov 14 2026 - Dec 06 2026,2,2,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
21,DA1031,"Oquirrh-Stansbury, Settlement Cyn",Deer,Antlerless,Archery,General Season,2025,Aug 16 2025 - Sep 12 2025,20,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
23,DA1033,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,2025,Aug 01 2025 - Sep 14 2025,5,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
23,DA1042,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,2025,Nov 24 2025 - Dec 31 2025,5,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
24,PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
24,PB5003,"Box Elder, Promontory",Pronghorn,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,4,4,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
24,PB5028,"Box Elder, Promontory",Pronghorn,Buck,Any Legal Weapon,Limited Entry,2026,Sept 12 2026 - Sept 20 2026,16,14,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
24,PD1012,"Box Elder, Promontory",Pronghorn,Doe,Any Legal Weapon,General Season,2025,Oct 04 2025 - Oct 26 2025,25,22,3,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
25,PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
25,PB5004,"Box Elder, Puddle Valley",Pronghorn,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,4,3,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
25,PB5029,"Box Elder, Puddle Valley",Pronghorn,Buck,Any Legal Weapon,Limited Entry,2026,Sept 12 2026 - Sept 20 2026,16,14,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
26,CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,2023,  ,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
27,PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
27,PB5005,"Box Elder, Snowville",Pronghorn,Buck,Archery,Limited Entry,2026,Aug 15 2026 - Sept 11 2026,10,9,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
27,PB5030,"Box Elder, Snowville",Pronghorn,Buck,Any Legal Weapon,Limited Entry,2026,Sept 12 2026 - Sept 20 2026,31,28,3,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
27,PB5080,"Box Elder, Snowville",Pronghorn,Buck,Muzzleloader,Limited Entry,2026,Sept 23 2026 - Oct 01 2026,10,9,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
27,PD1000,"Box Elder, Snowville",Pronghorn,Doe,Any Legal Weapon,General Season,2025,Nov 08 2025 - Dec 07 2025,80,72,8,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
28,DA1001,"Box Elder, West Bear River",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,2025,Aug 18 2025 - Aug 30 2025,30,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
28,DA1002,"Box Elder, West Bear River",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,2025,Nov 24 2025 - Nov 29 2025,30,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
28,DB0008,Extended Archery Deer,Deer,Hunters Choice,Archery,Extended Archery,2026,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",2000,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,2023,  ,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,DB1078,Cache,Deer,Buck,Muzzleloader,Limited Entry,2026,Oct 28 2026 - Nov 05 2026,12,11,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,DB1502,Cache,Deer,Buck,Archery,General Season,2026,Aug 15 2026 - Sept 11 2026,1160,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,DB1627,Cache,Deer,Buck,Restricted Rifle,General Season,2026,Oct 17 2026 - Oct 25 2026,3480,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,DB1628,Cache,Deer,Buck,Restricted Muzzleloader,General Season,2026,Sept 23 2026 - Oct 01 2026,1160,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,DB1771,Cache,Deer,Buck,Dedicated Hunter,General Season,2026,Archery: Aug 15 2026 - Sept 11 2026 | Restricted Muzz: Sept 23 2026 - Oct 01 2026 | Restricted Rifle: Oct 17 2026 - Oct 25 2026,588,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,EA1267,Cache,Elk,Antlerless,Any Legal Weapon,General Season,2025,Oct 04 2025 - Oct 26 2025,90,81,9,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,EA2027,Cache,Elk,Antlerless,Any Legal Weapon,Private Lands Only,2025,Aug 01 2025 - Jan 31 2026,300,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,EA2041,Cache (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,2025,"Oct 4 - Oct 26, 2025",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,LO1502,Cache,Deer,Buck,Archery,General Season - Private Land Only,2025,Aug 16 2025 - Sept 12 2025 - PRIVATE LAND ONLY,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,LO1627,Cache,Deer,Buck,Restricted Rifle,General Season - Private Land Only,2025,Oct 18 2025 - Oct 26 2025 - PRIVATE LAND ONLY,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,LO1628,Cache,Deer,Buck,Restricted Muzzleloader,General Season - Private Land Only,2025,Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,MB1000,Moose - Statewide Permit,Moose,Bull,Any Legal Weapon,Statewide,2026,"Sept 1 - Nov 15, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
29,MB6000,Cache,Moose,Bull,Any Legal Weapon,Once-in-a-lifetime,2026,Sept 12 2026 - Oct 31 2026,17,14,3,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
32,DB0007,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
32,DB1026,"Cache, Crawford Mtn",Deer,Buck,Muzzleloader,Limited Entry,2026,Nov 07 2026 - Nov 22 2026,9,8,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB1000,Elk - Statewide Permit,Elk,Bull,Any Legal Weapon,Statewide,2026,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB1003,Spike Only Units,Elk,Bull,Any Legal Weapon,General Season - Spike Bull,2025,Oct 04 2025 - Oct 16 2025,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB1004,Spike Only Units,Elk,Bull,Muzzleloader,General Season - Spike Bull,2025,Oct 29 2025 - Nov 06 2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB1005,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,2025,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) ",,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB1009,Spike Only Elk Units - Multiseason,Elk,Bull,Multiseason,General Season - Spike Bull,2025,"Spike Archery: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) Any Bull Archery: Aug 16-Sept 17, 2025 |  ALW: Oct 4 - 16, 2025 | Muzz: Oct 29-Nov 6, 2025",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB1011,Youth General Season Bull Elk,Elk,Bull,Any Legal Weapon,General Season - Youth,2025,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB3003,"Cache, Meadowville",Elk,Bull,Archery,Limited Entry,2026,Aug 15 2026 - Sept 15 2026,10,9,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB3032,"Cache, Meadowville",Elk,Bull,Any Legal Weapon,Limited Entry,2026,Sept 16 2026 - Sept 20 2026,4,3,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB3033,"Cache, Meadowville",Elk,Bull,Any Legal Weapon,Limited Entry,2026,Nov 07 2026 - Nov 15 2026,7,6,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB3081,"Cache, Meadowville",Elk,Bull,Muzzleloader,Limited Entry,2026,Sept 21 2026 - Oct 02 2026,6,5,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB3105,"Cache, Meadowville",Elk,Bull,Multiseason,Limited Entry,2026,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",1,1,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB3168,"Cache, Meadowville",Elk,Bull,Archery,Limited Entry,2026,Nov 28 2026 - Dec 13 2026,5,4,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EB3169,"Cache, Meadowville",Elk,Bull,Any Legal Weapon,Limited Entry,2026,Oct 03 2026 - Oct 15 2026,12,11,1,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
33,EL3003,"Cache, Meadowville",Elk,Bull,Archery,Limited Entry - Private Land Only,2025,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
