hunt_code,year,residency,points,application_value_score,decision_label,modeled_draw_probability_score,hunt_quality_score,point_value_score,demand_opportunity_score,permit_stability_score
BI6503,2026,Nonresident,20,24.169,DO NOT BURN POINTS,1.852,68.237,20.0,23.077,0.0
BI6503,2026,Nonresident,19,22.969,DO NOT BURN POINTS,1.852,68.237,12.0,23.077,0.0
BI6503,2026,Nonresident,18,20.901,DO NOT BURN POINTS,1.471,68.237,4.0,18.182,0.0
BI6503,2026,Nonresident,17,17.401,DO NOT BURN POINTS,0.159,68.237,0.0,1.911,0.0
BI6503,2026,Nonresident,16,17.625,DO NOT BURN POINTS,0.262,68.237,0.0,3.158,0.0
BI6503,2026,Nonresident,15,17.826,DO NOT BURN POINTS,0.355,68.237,0.0,4.286,0.0
BI6503,2026,Nonresident,14,17.837,DO NOT BURN POINTS,0.36,68.237,0.0,4.348,0.0
BI6503,2026,Nonresident,13,17.879,DO NOT BURN POINTS,0.379,68.237,0.0,4.58,0.0
BI6503,2026,Nonresident,12,17.873,DO NOT BURN POINTS,0.376,68.237,0.0,4.545,0.0
BI6503,2026,Nonresident,11,17.785,DO NOT BURN POINTS,0.336,68.237,0.0,4.054,0.0
BI6503,2026,Nonresident,10,17.722,DO NOT BURN POINTS,0.307,68.237,0.0,3.704,0.0
BI6503,2026,Nonresident,9,17.616,DO NOT BURN POINTS,0.258,68.237,0.0,3.109,0.0
BI6503,2026,Nonresident,8,17.535,DO NOT BURN POINTS,0.22,68.237,0.0,2.655,0.0
BI6503,2026,Nonresident,7,17.489,DO NOT BURN POINTS,0.199,68.237,0.0,2.4,0.0
BI6503,2026,Nonresident,6,17.509,DO NOT BURN POINTS,0.208,68.237,0.0,2.51,0.0
BI6503,2026,Nonresident,5,17.566,DO NOT BURN POINTS,0.235,68.237,0.0,2.83,0.0
BI6503,2026,Nonresident,4,17.561,DO NOT BURN POINTS,0.233,68.237,0.0,2.804,0.0
BI6503,2026,Nonresident,3,17.5,DO NOT BURN POINTS,0.204,68.237,0.0,2.459,0.0
BI6503,2026,Nonresident,2,17.423,DO NOT BURN POINTS,0.169,68.237,0.0,2.034,0.0
BI6503,2026,Nonresident,1,20.624,DO NOT BURN POINTS,1.613,68.237,0.0,20.0,0.0
BI6503,2026,Nonresident,0,17.383,DO NOT BURN POINTS,0.15,68.237,0.0,1.807,0.0
BI6504,2026,Resident,32,34.162,INSUFFICIENT DATA,0.0,71.85,68.0,0.0,60.0
BI6504,2026,Resident,31,35.362,INSUFFICIENT DATA,0.0,71.85,76.0,0.0,60.0
BI6504,2026,Resident,30,36.562,INSUFFICIENT DATA,0.0,71.85,84.0,0.0,60.0
BI6504,2026,Resident,29,37.762,INSUFFICIENT DATA,0.0,71.85,92.0,0.0,60.0
BI6504,2026,Resident,28,38.962,INSUFFICIENT DATA,0.0,71.85,100.0,0.0,60.0
